Title:,BD+062932

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,103.153606,0.9520877598178157,0.979323,358.314793,-780744.386320,34.702172,156.613813,-197.864185,2809.338291,-4.606,0.000,2.889873,6.887969,-1.631,0,0.000
4200.00,2498.00,98.209617,0.9998978725695411,0.999957,348.498942,-790019.556824,33.977898,152.433738,-197.301330,2763.157279,-4.613,-0.000,2.890226,6.888850,-1.630,0,0.000
4200.00,2496.00,98.197914,0.9998976915746541,0.999957,348.354189,-790309.756203,33.969696,152.420468,-197.097420,2762.776044,-4.620,0.000,2.890579,6.889732,-1.628,0,0.000
4200.00,2494.00,98.186190,0.9998975101822904,0.999957,348.209312,-790599.878589,33.961491,152.407175,-196.893545,2762.394197,-4.627,-0.000,2.890932,6.890614,-1.627,0,0.000
4200.00,2492.00,98.174445,0.9998973283919881,0.999957,348.064311,-790889.923797,33.953283,152.393858,-196.689705,2762.011736,-4.634,-0.000,2.891284,6.891495,-1.625,0,0.000
4200.00,2490.00,98.162678,0.9998971462032354,0.999957,347.919186,-791179.891638,33.945071,152.380518,-196.485901,2761.628661,-4.641,-0.000,2.891637,6.892378,-1.624,0,0.000
4200.00,2488.00,98.150890,0.9998969636156703,0.999957,347.773936,-791469.781927,33.936857,152.367155,-196.282133,2761.244969,-4.648,0.000,2.891989,6.893260,-1.622,0,0.000
4200.00,2486.00,98.139080,0.9998967806287722,0.999957,347.628563,-791759.594475,33.928640,152.353769,-196.078400,2760.860661,-4.655,-0.000,2.892341,6.894142,-1.621,0,0.000
4200.00,2484.00,98.127249,0.9998965972421731,0.999957,347.483065,-792049.329095,33.920419,152.340359,-195.874704,2760.475734,-4.662,0.000,2.892693,6.895025,-1.619,0,0.000
4200.00,2482.00,98.115397,0.9998964134553814,0.999957,347.337442,-792338.985597,33.912196,152.326925,-195.671045,2760.090187,-4.669,0.000,2.893045,6.895908,-1.618,0,0.000
4200.00,2480.00,98.103522,0.9998962292679922,0.999956,347.191694,-792628.563794,33.903969,152.313468,-195.467422,2759.704019,-4.676,-0.000,2.893396,6.896792,-1.616,0,0.000
4200.00,2478.00,98.091627,0.9998960446796000,0.999956,347.045822,-792918.063495,33.895739,152.299988,-195.263835,2759.317229,-4.683,0.000,2.893747,6.897675,-1.614,0,0.000
4200.00,2476.00,98.079709,0.9998958596897536,0.999956,346.899824,-793207.484512,33.887506,152.286484,-195.060286,2758.929815,-4.690,-0.000,2.894099,6.898559,-1.613,0,0.000
4200.00,2474.00,98.067770,0.9998956742981334,0.999956,346.753700,-793496.826654,33.879270,152.272956,-194.856775,2758.541776,-4.697,-0.000,2.894449,6.899443,-1.611,0,0.000
4200.00,2472.00,98.055810,0.9998954885039711,0.999956,346.607451,-793786.089732,33.871030,152.259405,-194.653300,2758.153111,-4.704,0.000,2.894800,6.900327,-1.610,0,0.000
4200.00,2470.00,98.043827,0.9998953023075916,0.999956,346.461076,-794075.273554,33.862788,152.245830,-194.449864,2757.763818,-4.711,0.000,2.895151,6.901211,-1.608,0,0.000
4200.00,2468.00,98.031823,0.9998951157074940,0.999956,346.314576,-794364.377929,33.854542,152.232231,-194.246465,2757.373896,-4.719,-0.000,2.895501,6.902096,-1.607,0,0.000
4200.00,2466.00,98.019797,0.9998949287041360,0.999956,346.167949,-794653.402666,33.846293,152.218608,-194.043105,2756.983345,-4.726,0.000,2.895851,6.902981,-1.605,0,0.000
4200.00,2464.00,98.007749,0.9998947412975823,0.999956,346.021196,-794942.347574,33.838041,152.204962,-193.839783,2756.592162,-4.733,0.000,2.896201,6.903866,-1.603,0,0.000
4200.00,2462.00,97.995679,0.9998945534858265,0.999956,345.874316,-795231.212459,33.829786,152.191291,-193.636500,2756.200346,-4.740,0.000,2.896550,6.904751,-1.602,0,0.000
4200.00,2460.00,97.983587,0.9998943652698830,0.999956,345.727310,-795519.997130,33.821528,152.177597,-193.433256,2755.807897,-4.747,-0.000,2.896900,6.905637,-1.600,0,0.000
4200.00,2458.00,97.971473,0.9998941766484981,0.999956,345.580177,-795808.701394,33.813266,152.163878,-193.230051,2755.414812,-4.754,-0.000,2.897249,6.906522,-1.599,0,0.000
4200.00,2456.00,97.959337,0.9998939876224083,0.999956,345.432918,-796097.325057,33.805001,152.150136,-193.026885,2755.021091,-4.762,0.000,2.897598,6.907408,-1.597,0,0.000
4200.00,2454.00,97.947179,0.9998937981898642,0.999955,345.285530,-796385.867926,33.796734,152.136369,-192.823759,2754.626732,-4.769,0.000,2.897947,6.908295,-1.596,0,0.000
4200.00,2452.00,97.934998,0.9998936083513501,0.999955,345.138016,-796674.329806,33.788462,152.122578,-192.620672,2754.231734,-4.776,0.000,2.898296,6.909181,-1.594,0,0.000
4200.00,2450.00,97.922796,0.9998934181060638,0.999955,344.990374,-796962.710503,33.780188,152.108763,-192.417626,2753.836095,-4.783,-0.000,2.898644,6.910068,-1.592,0,0.000
4200.00,2448.00,97.910571,0.9998932274547094,0.999955,344.842605,-797251.009823,33.771911,152.094924,-192.214620,2753.439815,-4.791,0.000,2.898992,6.910955,-1.591,0,0.000
4200.00,2446.00,97.898324,0.9998930363952767,0.999955,344.694707,-797539.227571,33.763630,152.081060,-192.011654,2753.042892,-4.798,0.000,2.899340,6.911842,-1.589,0,0.000
4200.00,2444.00,97.886055,0.9998928449288463,0.999955,344.546682,-797827.363551,33.755346,152.067172,-191.808729,2752.645324,-4.805,-0.000,2.899688,6.912729,-1.588,0,0.000
4200.00,2442.00,97.873764,0.9998926530535140,0.999955,344.398528,-798115.417566,33.747059,152.053259,-191.605845,2752.247111,-4.812,-0.000,2.900035,6.913617,-1.586,0,0.000
4200.00,2440.00,97.861450,0.9998924607709639,0.999955,344.250246,-798403.389422,33.738768,152.039323,-191.403003,2751.848251,-4.820,-0.000,2.900383,6.914504,-1.584,0,0.000
4200.00,2438.00,97.849113,0.9998922680793719,0.999955,344.101836,-798691.278920,33.730474,152.025361,-191.200202,2751.448744,-4.827,-0.000,2.900730,6.915392,-1.583,0,0.000
4200.00,2436.00,97.836754,0.9998920749786907,0.999955,343.953296,-798979.085866,33.722177,152.011375,-190.997442,2751.048586,-4.834,0.000,2.901077,6.916281,-1.581,0,0.000
4200.00,2434.00,97.824373,0.9998918814690959,0.999955,343.804628,-799266.810060,33.713877,151.997365,-190.794725,2750.647778,-4.842,-0.000,2.901423,6.917169,-1.579,0,0.000
4200.00,2432.00,97.811969,0.9998916875496709,0.999955,343.655831,-799554.451306,33.705574,151.983330,-190.592049,2750.246318,-4.849,-0.000,2.901770,6.918058,-1.578,0,0.000
4200.00,2430.00,97.799543,0.9998914932204345,0.999954,343.506905,-799842.009406,33.697267,151.969270,-190.389416,2749.844205,-4.856,-0.000,2.902116,6.918947,-1.576,0,0.000
4200.00,2428.00,97.787093,0.9998912984809928,0.999954,343.357849,-800129.484161,33.688957,151.955186,-190.186826,2749.441437,-4.864,-0.000,2.902462,6.919836,-1.575,0,0.000
4200.00,2426.00,97.774621,0.9998911033308697,0.999954,343.208663,-800416.875372,33.680644,151.941077,-189.984279,2749.038014,-4.871,0.000,2.902808,6.920725,-1.573,0,0.000
4200.00,2424.00,97.762127,0.9998909077705810,0.999954,343.059348,-800704.182841,33.672327,151.926942,-189.781774,2748.633933,-4.878,-0.000,2.903154,6.921615,-1.571,0,0.000
4200.00,2422.00,97.749609,0.9998907117987395,0.999954,342.909903,-800991.406368,33.664007,151.912784,-189.579314,2748.229194,-4.886,0.000,2.903499,6.922505,-1.570,0,0.000
4200.00,2420.00,97.737069,0.9998905154149701,0.999954,342.760327,-801278.545753,33.655684,151.898600,-189.376896,2747.823795,-4.893,0.000,2.903844,6.923395,-1.568,0,0.000
4200.00,2418.00,97.724506,0.9998903186203834,0.999954,342.610622,-801565.600796,33.647358,151.884391,-189.174523,2747.417735,-4.900,-0.000,2.904189,6.924285,-1.566,0,0.000
4200.00,2416.00,97.711920,0.9998901214135945,0.999954,342.460786,-801852.571297,33.639028,151.870157,-188.972194,2747.011013,-4.908,-0.000,2.904534,6.925176,-1.565,0,0.000
4200.00,2414.00,97.699311,0.9998899237946606,0.999954,342.310819,-802139.457055,33.630695,151.855898,-188.769909,2746.603627,-4.915,-0.000,2.904878,6.926067,-1.563,0,0.000
4200.00,2412.00,97.686679,0.9998897257632411,0.999954,342.160721,-802426.257869,33.622359,151.841614,-188.567669,2746.195577,-4.923,0.000,2.905222,6.926958,-1.562,0,0.000
4200.00,2410.00,97.674024,0.9998895273189556,0.999954,342.010493,-802712.973537,33.614019,151.827305,-188.365473,2745.786860,-4.930,0.000,2.905566,6.927849,-1.560,0,0.000
4200.00,2408.00,97.661346,0.9998893284619249,0.999954,341.860133,-802999.603858,33.605676,151.812971,-188.163323,2745.377476,-4.938,-0.000,2.905910,6.928740,-1.558,0,0.000
4200.00,2406.00,97.648645,0.9998891291915836,0.999953,341.709642,-803286.148629,33.597330,151.798611,-187.961218,2744.967423,-4.945,0.000,2.906254,6.929632,-1.557,0,0.000
4200.00,2404.00,97.635921,0.9998889295078487,0.999953,341.559020,-803572.607647,33.588980,151.784226,-187.759159,2744.556700,-4.953,0.000,2.906597,6.930524,-1.555,0,0.000
4200.00,2402.00,97.623174,0.9998887294104020,0.999953,341.408265,-803858.980711,33.580627,151.769816,-187.557146,2744.145306,-4.960,-0.000,2.906940,6.931416,-1.553,0,0.000
4200.00,2400.00,97.610403,0.9998885288988253,0.999953,341.257379,-804145.267616,33.572271,151.755381,-187.355178,2743.733240,-4.968,-0.000,2.907283,6.932308,-1.552,0,0.000
4200.00,2398.00,97.597609,0.9998883279738933,0.999953,341.106361,-804431.468160,33.563911,151.740920,-187.153258,2743.320499,-4.975,0.000,2.907625,6.933201,-1.550,0,0.000
4200.00,2396.00,97.584792,0.9998881266338943,0.999953,340.955211,-804717.582138,33.555548,151.726433,-186.951383,2742.907084,-4.983,-0.000,2.907968,6.934094,-1.548,0,0.000
4200.00,2394.00,97.571951,0.9998879248795876,0.999953,340.803928,-805003.609346,33.547182,151.711921,-186.749556,2742.492992,-4.990,-0.000,2.908310,6.934987,-1.547,0,0.000
4200.00,2392.00,97.559087,0.9998877227105899,0.999953,340.652513,-805289.549580,33.538812,151.697384,-186.547776,2742.078222,-4.998,0.000,2.908652,6.935880,-1.545,0,0.000
4200.00,2390.00,97.546199,0.9998875201266546,0.999953,340.500964,-805575.402635,33.530439,151.682821,-186.346043,2741.662774,-5.005,0.000,2.908993,6.936774,-1.543,0,0.000
4200.00,2388.00,97.533288,0.9998873171276115,0.999953,340.349283,-805861.168305,33.522063,151.668232,-186.144358,2741.246645,-5.013,0.000,2.909335,6.937668,-1.542,0,0.000
4200.00,2386.00,97.520354,0.9998871137133183,0.999953,340.197469,-806146.846385,33.513683,151.653617,-185.942721,2740.829834,-5.020,0.000,2.909676,6.938561,-1.540,0,0.000
4200.00,2384.00,97.507396,0.9998869098835432,0.999953,340.045522,-806432.436670,33.505300,151.638977,-185.741132,2740.412341,-5.028,0.000,2.910017,6.939456,-1.538,0,0.000
4200.00,2382.00,97.494414,0.9998867056380949,0.999952,339.893441,-806717.938953,33.496913,151.624311,-185.539591,2739.994164,-5.036,-0.000,2.910358,6.940350,-1.536,0,0.000
4200.00,2380.00,97.481409,0.9998865009768846,0.999952,339.741227,-807003.353027,33.488523,151.609619,-185.338100,2739.575302,-5.043,0.000,2.910698,6.941245,-1.535,0,0.000
4200.00,2378.00,97.468379,0.9998862959002955,0.999952,339.588878,-807288.678686,33.480130,151.594901,-185.136657,2739.155752,-5.051,-0.000,2.911038,6.942140,-1.533,0,0.000
4200.00,2376.00,97.455327,0.9998860904068972,0.999952,339.436396,-807573.915723,33.471733,151.580157,-184.935263,2738.735515,-5.059,-0.000,2.911378,6.943035,-1.531,0,0.000
4200.00,2374.00,97.442250,0.9998858844976007,0.999952,339.283780,-807859.063930,33.463333,151.565388,-184.733919,2738.314589,-5.066,-0.000,2.911718,6.943930,-1.530,0,0.000
4200.00,2372.00,97.429150,0.9998856781719984,0.999952,339.131029,-808144.123100,33.454929,151.550592,-184.532625,2737.892972,-5.074,-0.000,2.912058,6.944826,-1.528,0,0.000
4200.00,2370.00,97.416025,0.9998854714299634,0.999952,338.978144,-808429.093024,33.446522,151.535770,-184.331381,2737.470664,-5.082,0.000,2.912397,6.945722,-1.526,0,0.000
4200.00,2368.00,97.402877,0.9998852642713818,0.999952,338.825124,-808713.973494,33.438111,151.520922,-184.130187,2737.047663,-5.089,0.000,2.912736,6.946618,-1.525,0,0.000
4200.00,2366.00,97.389705,0.9998850566961390,0.999952,338.671970,-808998.764302,33.429697,151.506048,-183.929043,2736.623967,-5.097,0.000,2.913075,6.947514,-1.523,0,0.000
4200.00,2364.00,97.376509,0.9998848487044533,0.999952,338.518680,-809283.465238,33.421280,151.491148,-183.727951,2736.199576,-5.105,-0.000,2.913413,6.948411,-1.521,0,0.000
4200.00,2362.00,97.363289,0.9998846402951168,0.999952,338.365255,-809568.076093,33.412859,151.476221,-183.526909,2735.774488,-5.112,0.000,2.913751,6.949307,-1.519,0,0.000
4200.00,2360.00,97.350044,0.9998844314696412,0.999952,338.211695,-809852.596658,33.404435,151.461268,-183.325919,2735.348702,-5.120,-0.000,2.914089,6.950204,-1.518,0,0.000
4200.00,2358.00,97.336776,0.9998842222269418,0.999951,338.058000,-810137.026722,33.396007,151.446289,-183.124981,2734.922217,-5.128,0.000,2.914427,6.951102,-1.516,0,0.000
