Title:,BD-195953

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,101.625296,0.9388295474401149,0.973007,347.076854,-718865.005714,33.434476,148.873793,-191.968811,2696.713012,-4.606,0.000,2.932772,6.887969,-1.616,0,0.000
4200.00,2498.00,95.406388,0.9998665940218519,0.999943,334.764028,-730434.783634,32.525091,143.615749,-191.316566,2638.620340,-4.613,-0.000,2.933092,6.888850,-1.615,0,0.000
4200.00,2496.00,95.391210,0.9998663174731229,0.999943,334.615337,-730703.429399,32.516368,143.598627,-191.115791,2638.133611,-4.620,0.000,2.933412,6.889732,-1.613,0,0.000
4200.00,2494.00,95.376001,0.9998660401836649,0.999943,334.466502,-730971.971796,32.507639,143.581471,-190.915056,2637.645965,-4.627,-0.000,2.933731,6.890614,-1.612,0,0.000
4200.00,2492.00,95.360760,0.9998657621517058,0.999943,334.317522,-731240.410536,32.498906,143.564281,-190.714360,2637.157402,-4.634,-0.000,2.934050,6.891495,-1.610,0,0.000
4200.00,2490.00,95.345488,0.9998654833755259,0.999943,334.168399,-731508.745330,32.490167,143.547057,-190.513703,2636.667919,-4.641,-0.000,2.934368,6.892378,-1.608,0,0.000
4200.00,2488.00,95.330185,0.9998652038533671,0.999943,334.019132,-731776.975889,32.481424,143.529797,-190.313087,2636.177513,-4.648,0.000,2.934687,6.893260,-1.607,0,0.000
4200.00,2486.00,95.314850,0.9998649235835155,0.999942,333.869719,-732045.101922,32.472676,143.512504,-190.112511,2635.686182,-4.655,-0.000,2.935005,6.894142,-1.605,0,0.000
4200.00,2484.00,95.299483,0.9998646425641990,0.999942,333.720162,-732313.123137,32.463923,143.495175,-189.911976,2635.193925,-4.662,0.000,2.935322,6.895025,-1.604,0,0.000
4200.00,2482.00,95.284085,0.9998643607937020,0.999942,333.570460,-732581.039241,32.455165,143.477812,-189.711481,2634.700737,-4.669,0.000,2.935639,6.895908,-1.602,0,0.000
4200.00,2480.00,95.268655,0.9998640782702257,0.999942,333.420612,-732848.849942,32.446402,143.460414,-189.511028,2634.206618,-4.676,-0.000,2.935956,6.896792,-1.600,0,0.000
4200.00,2478.00,95.253193,0.9998637949922375,0.999942,333.270619,-733116.554946,32.437634,143.442981,-189.310616,2633.711565,-4.683,0.000,2.936273,6.897675,-1.599,0,0.000
4200.00,2476.00,95.237699,0.9998635109577035,0.999942,333.120480,-733384.153959,32.428861,143.425513,-189.110246,2633.215576,-4.690,-0.000,2.936589,6.898559,-1.597,0,0.000
4200.00,2474.00,95.222173,0.9998632261650290,0.999942,332.970195,-733651.646684,32.420083,143.408010,-188.909917,2632.718648,-4.697,-0.000,2.936905,6.899443,-1.595,0,0.000
