Title:,CD-2310879

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,101.703799,0.9485523418878441,0.977738,352.649323,-763594.551468,34.122335,153.545971,-191.348037,2774.531282,-4.606,0.000,2.891595,6.887969,-1.627,0,0.000
4200.00,2498.00,96.469543,0.9998899505685027,0.999954,342.265948,-773389.719191,33.355939,149.120490,-190.774865,2725.640022,-4.613,-0.000,2.891940,6.888850,-1.625,0,0.000
4200.00,2496.00,96.457087,0.9998897466598310,0.999954,342.121350,-773672.513756,33.347648,149.106396,-190.581707,2725.236868,-4.620,0.000,2.892285,6.889732,-1.624,0,0.000
4200.00,2494.00,96.444608,0.9998895422808374,0.999954,341.976624,-773955.225633,33.339354,149.092277,-190.388586,2724.833033,-4.627,-0.000,2.892630,6.890614,-1.622,0,0.000
4200.00,2492.00,96.432105,0.9998893374308867,0.999954,341.831770,-774237.854615,33.331056,149.078132,-190.195501,2724.428517,-4.634,-0.000,2.892975,6.891495,-1.621,0,0.000
4200.00,2490.00,96.419579,0.9998891321093820,0.999953,341.686789,-774520.400491,33.322754,149.063961,-190.002454,2724.023317,-4.641,-0.000,2.893320,6.892378,-1.619,0,0.000
4200.00,2488.00,96.407029,0.9998889263150790,0.999953,341.541679,-774802.863054,33.314449,149.049765,-189.809443,2723.617432,-4.648,0.000,2.893664,6.893260,-1.617,0,0.000
4200.00,2486.00,96.394455,0.9998887200488502,0.999953,341.396441,-775085.242094,33.306141,149.035542,-189.616470,2723.210861,-4.655,-0.000,2.894008,6.894142,-1.616,0,0.000
4200.00,2484.00,96.381858,0.9998885133080524,0.999953,341.251075,-775367.537401,33.297829,149.021294,-189.423535,2722.803602,-4.662,0.000,2.894352,6.895025,-1.614,0,0.000
4200.00,2482.00,96.369237,0.9998883060932685,0.999953,341.105580,-775649.748763,33.289513,149.007019,-189.230637,2722.395653,-4.669,0.000,2.894695,6.895908,-1.613,0,0.000
4200.00,2480.00,96.356592,0.9998880984035285,0.999953,340.959957,-775931.875971,33.281194,148.992719,-189.037778,2721.987014,-4.676,-0.000,2.895038,6.896792,-1.611,0,0.000
4200.00,2478.00,96.343924,0.9998878902382504,0.999953,340.814204,-776213.918812,33.272871,148.978393,-188.844957,2721.577682,-4.683,0.000,2.895382,6.897675,-1.610,0,0.000
4200.00,2476.00,96.331231,0.9998876815966125,0.999953,340.668323,-776495.877075,33.264545,148.964040,-188.652174,2721.167657,-4.690,-0.000,2.895724,6.898559,-1.608,0,0.000
4200.00,2474.00,96.318514,0.9998874724781738,0.999953,340.522312,-776777.750548,33.256215,148.949661,-188.459430,2720.756936,-4.697,-0.000,2.896067,6.899443,-1.606,0,0.000
4200.00,2472.00,96.305774,0.9998872628822157,0.999953,340.376171,-777059.539018,33.247882,148.935256,-188.266725,2720.345519,-4.704,0.000,2.896409,6.900327,-1.605,0,0.000
4200.00,2470.00,96.293009,0.9998870528080839,0.999953,340.229901,-777341.242271,33.239545,148.920825,-188.074060,2719.933403,-4.711,0.000,2.896751,6.901211,-1.603,0,0.000
4200.00,2468.00,96.280221,0.9998868422551117,0.999952,340.083501,-777622.860094,33.231204,148.906367,-187.881434,2719.520588,-4.719,-0.000,2.897093,6.902096,-1.602,0,0.000
4200.00,2466.00,96.267408,0.9998866312227496,0.999952,339.936971,-777904.392273,33.222860,148.891883,-187.688848,2719.107071,-4.726,0.000,2.897435,6.902981,-1.600,0,0.000
4200.00,2464.00,96.254571,0.9998864197103623,0.999952,339.790310,-778185.838593,33.214513,148.877373,-187.496301,2718.692852,-4.733,0.000,2.897776,6.903866,-1.598,0,0.000
4200.00,2462.00,96.241709,0.9998862077172909,0.999952,339.643519,-778467.198839,33.206161,148.862835,-187.303795,2718.277928,-4.740,0.000,2.898117,6.904751,-1.597,0,0.000
4200.00,2460.00,96.228824,0.9998859952429517,0.999952,339.496598,-778748.472796,33.197807,148.848272,-187.111329,2717.862298,-4.747,-0.000,2.898458,6.905637,-1.595,0,0.000
4200.00,2458.00,96.215914,0.9998857822867253,0.999952,339.349546,-779029.660248,33.189448,148.833682,-186.918904,2717.445962,-4.754,-0.000,2.898799,6.906522,-1.594,0,0.000
4200.00,2456.00,96.202979,0.9998855688480005,0.999952,339.202363,-779310.760978,33.181086,148.819065,-186.726520,2717.028916,-4.762,0.000,2.899139,6.907408,-1.592,0,0.000
4200.00,2454.00,96.190020,0.9998853549261238,0.999952,339.055048,-779591.774770,33.172720,148.804421,-186.534178,2716.611161,-4.769,0.000,2.899479,6.908295,-1.590,0,0.000
4200.00,2452.00,96.177037,0.9998851405207358,0.999952,338.907602,-779872.701406,33.164351,148.789750,-186.341876,2716.192693,-4.776,0.000,2.899819,6.909181,-1.589,0,0.000
4200.00,2450.00,96.164029,0.9998849256308610,0.999952,338.760025,-780153.540669,33.155978,148.775053,-186.149617,2715.773513,-4.783,-0.000,2.900159,6.910068,-1.587,0,0.000
4200.00,2448.00,96.150997,0.9998847102561865,0.999952,338.612316,-780434.292341,33.147601,148.760329,-185.957399,2715.353618,-4.791,0.000,2.900498,6.910955,-1.586,0,0.000
4200.00,2446.00,96.137940,0.9998844943960472,0.999952,338.464475,-780714.956202,33.139221,148.745578,-185.765223,2714.933006,-4.798,0.000,2.900838,6.911842,-1.584,0,0.000
4200.00,2444.00,96.124858,0.9998842780498708,0.999951,338.316502,-780995.532035,33.130837,148.730800,-185.573090,2714.511677,-4.805,-0.000,2.901176,6.912729,-1.582,0,0.000
4200.00,2442.00,96.111751,0.9998840612170717,0.999951,338.168396,-781276.019618,33.122449,148.715994,-185.381000,2714.089629,-4.812,-0.000,2.901515,6.913617,-1.581,0,0.000
4200.00,2440.00,96.098620,0.9998838438971392,0.999951,338.020158,-781556.418734,33.114058,148.701162,-185.188952,2713.666860,-4.820,-0.000,2.901853,6.914504,-1.579,0,0.000
4200.00,2438.00,96.085464,0.9998836260893841,0.999951,337.871788,-781836.729160,33.105663,148.686303,-184.996948,2713.243368,-4.827,-0.000,2.902192,6.915392,-1.577,0,0.000
4200.00,2436.00,96.072282,0.9998834077933593,0.999951,337.723284,-782116.950677,33.097264,148.671416,-184.804987,2712.819153,-4.834,0.000,2.902529,6.916281,-1.576,0,0.000
4200.00,2434.00,96.059076,0.9998831890084448,0.999951,337.574648,-782397.083063,33.088862,148.656502,-184.613070,2712.394213,-4.842,-0.000,2.902867,6.917169,-1.574,0,0.000
4200.00,2432.00,96.045845,0.9998829697341444,0.999951,337.425878,-782677.126097,33.080456,148.641560,-184.421197,2711.968546,-4.849,-0.000,2.903204,6.918058,-1.573,0,0.000
4200.00,2430.00,96.032589,0.9998827499698782,0.999951,337.276975,-782957.079556,33.072046,148.626592,-184.229367,2711.542151,-4.856,-0.000,2.903541,6.918947,-1.571,0,0.000
4200.00,2428.00,96.019308,0.9998825297151082,0.999951,337.127938,-783236.943218,33.063632,148.611596,-184.037583,2711.115027,-4.864,-0.000,2.903878,6.919836,-1.569,0,0.000
4200.00,2426.00,96.006002,0.9998823089693170,0.999951,336.978768,-783516.716859,33.055215,148.596572,-183.845843,2710.687171,-4.871,0.000,2.904215,6.920725,-1.568,0,0.000
4200.00,2424.00,95.992670,0.9998820877319622,0.999951,336.829463,-783796.400258,33.046794,148.581521,-183.654148,2710.258582,-4.878,-0.000,2.904551,6.921615,-1.566,0,0.000
4200.00,2422.00,95.979314,0.9998818660025404,0.999950,336.680025,-784075.993188,33.038370,148.566442,-183.462499,2709.829259,-4.886,0.000,2.904887,6.922505,-1.564,0,0.000
4200.00,2420.00,95.965932,0.9998816437805241,0.999950,336.530452,-784355.495428,33.029941,148.551335,-183.270894,2709.399200,-4.893,0.000,2.905223,6.923395,-1.563,0,0.000
4200.00,2418.00,95.952524,0.9998814210653715,0.999950,336.380744,-784634.906750,33.021509,148.536201,-183.079336,2708.968405,-4.900,-0.000,2.905558,6.924285,-1.561,0,0.000
4200.00,2416.00,95.939092,0.9998811978566061,0.999950,336.230902,-784914.226932,33.013073,148.521039,-182.887824,2708.536870,-4.908,-0.000,2.905894,6.925176,-1.559,0,0.000
4200.00,2414.00,95.925634,0.9998809741537514,0.999950,336.080925,-785193.455746,33.004634,148.505849,-182.696358,2708.104595,-4.915,-0.000,2.906229,6.926067,-1.558,0,0.000
4200.00,2412.00,95.912150,0.9998807499562594,0.999950,335.930813,-785472.592968,32.996190,148.490631,-182.504938,2707.671579,-4.923,0.000,2.906563,6.926958,-1.556,0,0.000
