Title:,HD134929B

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,104.002001,0.9535885935275071,0.980033,362.815125,-793227.455179,35.095861,159.201576,-198.789220,2875.909813,-4.606,0.000,2.883409,6.887969,-1.648,0,0.000
4200.00,2498.00,99.173540,0.9999018290270927,0.999959,353.224255,-802298.663472,34.388255,155.119207,-198.236289,2830.810299,-4.613,-0.000,2.883772,6.888850,-1.647,0,0.000
4200.00,2496.00,99.162218,0.9999016583697399,0.999959,353.078703,-802594.661822,34.380005,155.106368,-198.033925,2830.441351,-4.620,0.000,2.884134,6.889732,-1.645,0,0.000
4200.00,2494.00,99.150875,0.9999014873483262,0.999959,352.933027,-802890.585960,34.371751,155.093506,-197.831595,2830.071820,-4.627,-0.000,2.884497,6.890614,-1.644,0,0.000
4200.00,2492.00,99.139513,0.9999013159622154,0.999959,352.787229,-803186.435709,34.363495,155.080622,-197.629300,2829.701705,-4.634,-0.000,2.884859,6.891495,-1.642,0,0.000
4200.00,2490.00,99.128129,0.9999011442120717,0.999959,352.641308,-803482.210892,34.355236,155.067715,-197.427041,2829.331004,-4.641,-0.000,2.885221,6.892378,-1.641,0,0.000
4200.00,2488.00,99.116726,0.9999009720961799,0.999959,352.495264,-803777.911331,34.346973,155.054787,-197.224816,2828.959717,-4.648,0.000,2.885582,6.893260,-1.639,0,0.000
4200.00,2486.00,99.105302,0.9999007996147915,0.999958,352.349096,-804073.536849,34.338708,155.041836,-197.022628,2828.587843,-4.655,-0.000,2.885944,6.894142,-1.638,0,0.000
4200.00,2484.00,99.093857,0.9999006267677603,0.999958,352.202804,-804369.087268,34.330440,155.028863,-196.820475,2828.215379,-4.662,0.000,2.886305,6.895025,-1.636,0,0.000
4200.00,2482.00,99.082392,0.9999004535545954,0.999958,352.056389,-804664.562409,34.322169,155.015868,-196.618358,2827.842326,-4.669,0.000,2.886667,6.895908,-1.635,0,0.000
4200.00,2480.00,99.070907,0.9999002799752009,0.999958,351.909850,-804959.962094,34.313895,155.002850,-196.416278,2827.468681,-4.676,-0.000,2.887028,6.896792,-1.633,0,0.000
4200.00,2478.00,99.059401,0.9999001060288748,0.999958,351.763187,-805255.286143,34.305618,154.989810,-196.214234,2827.094444,-4.683,0.000,2.887389,6.897675,-1.631,0,0.000
4200.00,2476.00,99.047874,0.9998999317153070,0.999958,351.616400,-805550.534378,34.297338,154.976747,-196.012227,2826.719613,-4.690,-0.000,2.887749,6.898559,-1.630,0,0.000
4200.00,2474.00,99.036327,0.9998997570346090,0.999958,351.469488,-805845.706617,34.289055,154.963662,-195.810257,2826.344188,-4.697,-0.000,2.888110,6.899443,-1.628,0,0.000
4200.00,2472.00,99.024759,0.9998995819859012,0.999958,351.322452,-806140.802682,34.280769,154.950554,-195.608323,2825.968166,-4.704,0.000,2.888470,6.900327,-1.627,0,0.000
4200.00,2470.00,99.013170,0.9998994065696160,0.999958,351.175291,-806435.822391,34.272480,154.937424,-195.406427,2825.591547,-4.711,0.000,2.888830,6.901211,-1.625,0,0.000
4200.00,2468.00,99.001560,0.9998992307846767,0.999958,351.028005,-806730.765565,34.264188,154.924271,-195.204569,2825.214330,-4.719,-0.000,2.889190,6.902096,-1.624,0,0.000
4200.00,2466.00,98.989930,0.9998990546312678,0.999958,350.880594,-807025.632020,34.255893,154.911095,-195.002749,2824.836514,-4.726,0.000,2.889550,6.902981,-1.622,0,0.000
4200.00,2464.00,98.978279,0.9998988781088999,0.999958,350.733057,-807320.421578,34.247595,154.897896,-194.800966,2824.458097,-4.733,0.000,2.889910,6.903866,-1.621,0,0.000
4200.00,2462.00,98.966607,0.9998987012172903,0.999958,350.585395,-807615.134054,34.239294,154.884675,-194.599222,2824.079077,-4.740,0.000,2.890269,6.904751,-1.619,0,0.000
4200.00,2460.00,98.954914,0.9998985239568885,0.999958,350.437608,-807909.769268,34.230991,154.871431,-194.397516,2823.699455,-4.747,-0.000,2.890628,6.905637,-1.618,0,0.000
4200.00,2458.00,98.943200,0.9998983463254306,0.999957,350.289695,-808204.327037,34.222684,154.858164,-194.195848,2823.319228,-4.754,-0.000,2.890988,6.906522,-1.616,0,0.000
4200.00,2456.00,98.931465,0.9998981683250351,0.999957,350.141656,-808498.807177,34.214374,154.844874,-193.994220,2822.938396,-4.762,0.000,2.891346,6.907408,-1.614,0,0.000
4200.00,2454.00,98.919709,0.9998979899540703,0.999957,349.993491,-808793.209507,34.206061,154.831561,-193.792631,2822.556957,-4.769,0.000,2.891705,6.908295,-1.613,0,0.000
4200.00,2452.00,98.907931,0.9998978112125625,0.999957,349.845199,-809087.533842,34.197745,154.818225,-193.591081,2822.174911,-4.776,0.000,2.892064,6.909181,-1.611,0,0.000
4200.00,2450.00,98.896133,0.9998976321002482,0.999957,349.696781,-809381.779999,34.189426,154.804866,-193.389571,2821.792255,-4.783,-0.000,2.892422,6.910068,-1.610,0,0.000
4200.00,2448.00,98.884314,0.9998974526168986,0.999957,349.548237,-809675.947793,34.181104,154.791484,-193.188100,2821.408989,-4.791,0.000,2.892780,6.910955,-1.608,0,0.000
4200.00,2446.00,98.872473,0.9998972727622791,0.999957,349.399565,-809970.037040,34.172779,154.778079,-192.986669,2821.025111,-4.798,0.000,2.893138,6.911842,-1.607,0,0.000
4200.00,2444.00,98.860611,0.9998970925360412,0.999957,349.250767,-810264.047556,34.164451,154.764651,-192.785279,2820.640621,-4.805,-0.000,2.893496,6.912729,-1.605,0,0.000
4200.00,2442.00,98.848728,0.9998969119384169,0.999957,349.101842,-810557.979155,34.156120,154.751199,-192.583929,2820.255517,-4.812,-0.000,2.893853,6.913617,-1.604,0,0.000
4200.00,2440.00,98.836823,0.9998967309680514,0.999957,348.952789,-810851.831652,34.147785,154.737724,-192.382620,2819.869798,-4.820,-0.000,2.894211,6.914504,-1.602,0,0.000
4200.00,2438.00,98.824898,0.9998965496260324,0.999957,348.803609,-811145.604861,34.139448,154.724226,-192.181352,2819.483463,-4.827,-0.000,2.894568,6.915392,-1.600,0,0.000
4200.00,2436.00,98.812950,0.9998963679114079,0.999957,348.654301,-811439.298595,34.131108,154.710705,-191.980125,2819.096511,-4.834,0.000,2.894925,6.916281,-1.599,0,0.000
4200.00,2434.00,98.800982,0.9998961858241087,0.999957,348.504865,-811732.912670,34.122764,154.697160,-191.778939,2818.708940,-4.842,-0.000,2.895282,6.917169,-1.597,0,0.000
4200.00,2432.00,98.788991,0.9998960033638531,0.999956,348.355301,-812026.446897,34.114418,154.683592,-191.577795,2818.320749,-4.849,-0.000,2.895638,6.918058,-1.596,0,0.000
4200.00,2430.00,98.776980,0.9998958205308127,0.999956,348.205610,-812319.901091,34.106068,154.670000,-191.376693,2817.931937,-4.856,-0.000,2.895995,6.918947,-1.594,0,0.000
4200.00,2428.00,98.764946,0.9998956373241593,0.999956,348.055790,-812613.275063,34.097716,154.656385,-191.175633,2817.542503,-4.864,-0.000,2.896351,6.919836,-1.592,0,0.000
4200.00,2426.00,98.752892,0.9998954537441567,0.999956,347.905841,-812906.568625,34.089360,154.642746,-190.974615,2817.152446,-4.871,0.000,2.896707,6.920725,-1.591,0,0.000
4200.00,2424.00,98.740815,0.9998952697906115,0.999956,347.755764,-813199.781591,34.081001,154.629083,-190.773640,2816.761764,-4.878,-0.000,2.897063,6.921615,-1.589,0,0.000
4200.00,2422.00,98.728717,0.9998950854630394,0.999956,347.605558,-813492.913772,34.072639,154.615397,-190.572707,2816.370457,-4.886,0.000,2.897418,6.922505,-1.588,0,0.000
4200.00,2420.00,98.716597,0.9998949007615143,0.999956,347.455223,-813785.964979,34.064274,154.601687,-190.371818,2815.978523,-4.893,0.000,2.897774,6.923395,-1.586,0,0.000
4200.00,2418.00,98.704455,0.9998947156858163,0.999956,347.304758,-814078.935023,34.055906,154.587954,-190.170972,2815.585960,-4.900,-0.000,2.898129,6.924285,-1.584,0,0.000
4200.00,2416.00,98.692292,0.9998945302357846,0.999956,347.154165,-814371.823715,34.047535,154.574196,-189.970169,2815.192769,-4.908,-0.000,2.898484,6.925176,-1.583,0,0.000
4200.00,2414.00,98.680107,0.9998943444112046,0.999956,347.003442,-814664.630865,34.039161,154.560415,-189.769410,2814.798947,-4.915,-0.000,2.898839,6.926067,-1.581,0,0.000
