Title:,HD193844

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,106.055978,0.9546008271034209,0.980522,370.438968,-815665.547623,35.888654,162.718659,-203.027847,2929.698054,-4.606,0.000,2.877016,6.887969,-1.642,0,0.000
4200.00,2498.00,101.239545,0.9999040072884897,0.999960,360.869152,-824721.953398,35.182686,158.646451,-202.471600,2884.710015,-4.613,-0.000,2.877378,6.888850,-1.640,0,0.000
4200.00,2496.00,101.228244,0.9999038424205462,0.999960,360.721106,-825025.023846,35.174330,158.633626,-202.265046,2884.341047,-4.620,0.000,2.877740,6.889732,-1.639,0,0.000
4200.00,2494.00,101.216923,0.9999036772080774,0.999960,360.572936,-825328.020462,35.165972,158.620780,-202.058527,2883.971505,-4.627,-0.000,2.878102,6.890614,-1.637,0,0.000
4200.00,2492.00,101.205581,0.9999035116508200,0.999960,360.424642,-825630.943075,35.157610,158.607913,-201.852043,2883.601387,-4.634,-0.000,2.878463,6.891495,-1.636,0,0.000
4200.00,2490.00,101.194220,0.9999033457480931,0.999960,360.276224,-825933.791511,35.149246,158.595023,-201.645595,2883.230693,-4.641,-0.000,2.878825,6.892378,-1.634,0,0.000
4200.00,2488.00,101.182839,0.9999031795005205,0.999960,360.127682,-826236.565595,35.140879,158.582111,-201.439182,2882.859421,-4.648,0.000,2.879186,6.893260,-1.633,0,0.000
4200.00,2486.00,101.171437,0.9999030129065857,0.999959,359.979016,-826539.265153,35.132509,158.569178,-201.232805,2882.487571,-4.655,-0.000,2.879547,6.894142,-1.631,0,0.000
4200.00,2484.00,101.160015,0.9999028459668606,0.999959,359.830225,-826841.890010,35.124136,158.556222,-201.026464,2882.115141,-4.662,0.000,2.879908,6.895025,-1.630,0,0.000
4200.00,2482.00,101.148573,0.9999026786808222,0.999959,359.681309,-827144.439991,35.115760,158.543245,-200.820159,2881.742130,-4.669,0.000,2.880269,6.895908,-1.628,0,0.000
4200.00,2480.00,101.137111,0.9999025110483799,0.999959,359.532268,-827446.914921,35.107381,158.530245,-200.613891,2881.368537,-4.676,-0.000,2.880630,6.896792,-1.627,0,0.000
4200.00,2478.00,101.125628,0.9999023430690208,0.999959,359.383102,-827749.314625,35.098999,158.517224,-200.407659,2880.994361,-4.683,0.000,2.880990,6.897675,-1.625,0,0.000
4200.00,2476.00,101.114125,0.9999021747424490,0.999959,359.233810,-828051.638925,35.090615,158.504180,-200.201464,2880.619600,-4.690,-0.000,2.881351,6.898559,-1.624,0,0.000
4200.00,2474.00,101.102602,0.9999020060693931,0.999959,359.084394,-828353.887647,35.082227,158.491113,-199.995307,2880.244254,-4.697,-0.000,2.881711,6.899443,-1.622,0,0.000
4200.00,2472.00,101.091058,0.9999018370481412,0.999959,358.934851,-828656.060613,35.073837,158.478025,-199.789187,2879.868321,-4.704,0.000,2.882071,6.900327,-1.621,0,0.000
4200.00,2470.00,101.079494,0.9999016676792691,0.999959,358.785183,-828958.157646,35.065444,158.464914,-199.583104,2879.491800,-4.711,0.000,2.882431,6.901211,-1.619,0,0.000
4200.00,2468.00,101.067909,0.9999014979625190,0.999959,358.635389,-829260.178569,35.057048,158.451781,-199.377059,2879.114690,-4.719,-0.000,2.882790,6.902096,-1.617,0,0.000
4200.00,2466.00,101.056304,0.9999013278975695,0.999959,358.485468,-829562.123205,35.048649,158.438626,-199.171052,2878.736991,-4.726,0.000,2.883150,6.902981,-1.616,0,0.000
4200.00,2464.00,101.044678,0.9999011574842391,0.999959,358.335422,-829863.991375,35.040247,158.425448,-198.965083,2878.358699,-4.733,0.000,2.883509,6.903866,-1.614,0,0.000
4200.00,2462.00,101.033031,0.9999009867225792,0.999959,358.185249,-830165.782902,35.031842,158.412248,-198.759152,2877.979816,-4.740,0.000,2.883868,6.904751,-1.613,0,0.000
