Title:,HD33473A

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,104.441103,0.9536000596942468,0.980060,364.397116,-799477.483932,35.284315,159.847019,-199.281998,2883.122805,-4.606,0.000,2.880071,6.887969,-1.642,0,0.000
4200.00,2498.00,99.593444,0.9999017132577687,0.999959,354.768074,-808584.734618,34.573902,155.748412,-198.727741,2837.843366,-4.613,-0.000,2.880431,6.888850,-1.640,0,0.000
4200.00,2496.00,99.582054,0.9999015423071398,0.999959,354.621856,-808881.928518,34.565622,155.735494,-198.525443,2837.472118,-4.620,0.000,2.880791,6.889732,-1.639,0,0.000
4200.00,2494.00,99.570642,0.9999013709926048,0.999959,354.475516,-809179.047784,34.557338,155.722553,-198.323179,2837.100283,-4.627,-0.000,2.881152,6.890614,-1.637,0,0.000
4200.00,2492.00,99.559211,0.9999011993138283,0.999959,354.329051,-809476.092240,34.549052,155.709591,-198.120951,2836.727861,-4.634,-0.000,2.881511,6.891495,-1.636,0,0.000
4200.00,2490.00,99.547759,0.9999010272704802,0.999959,354.182463,-809773.061706,34.540763,155.696605,-197.918758,2836.354851,-4.641,-0.000,2.881871,6.892378,-1.634,0,0.000
4200.00,2488.00,99.536286,0.9999008548622227,0.999959,354.035751,-810069.956005,34.532470,155.683598,-197.716601,2835.981250,-4.648,0.000,2.882231,6.893260,-1.633,0,0.000
4200.00,2486.00,99.524793,0.9999006820887218,0.999958,353.888916,-810366.774958,34.524175,155.670568,-197.514480,2835.607058,-4.655,-0.000,2.882590,6.894142,-1.631,0,0.000
4200.00,2484.00,99.513279,0.9999005089496765,0.999958,353.741956,-810663.518386,34.515877,155.657516,-197.312394,2835.232274,-4.662,0.000,2.882949,6.895025,-1.629,0,0.000
4200.00,2482.00,99.501745,0.9999003354447417,0.999958,353.594871,-810960.186110,34.507576,155.644441,-197.110345,2834.856897,-4.669,0.000,2.883308,6.895908,-1.628,0,0.000
4200.00,2480.00,99.490190,0.9999001615736289,0.999958,353.447662,-811256.777950,34.499272,155.631344,-196.908333,2834.480925,-4.676,-0.000,2.883667,6.896792,-1.626,0,0.000
4200.00,2478.00,99.478614,0.9998999873360156,0.999958,353.300329,-811553.293727,34.490964,155.618224,-196.706357,2834.104357,-4.683,0.000,2.884026,6.897675,-1.625,0,0.000
4200.00,2476.00,99.467018,0.9998998127316211,0.999958,353.152871,-811849.733260,34.482654,155.605081,-196.504418,2833.727192,-4.690,-0.000,2.884384,6.898559,-1.623,0,0.000
4200.00,2474.00,99.455401,0.9998996377599577,0.999958,353.005287,-812146.096368,34.474341,155.591916,-196.302516,2833.349428,-4.697,-0.000,2.884742,6.899443,-1.622,0,0.000
4200.00,2472.00,99.443762,0.9998994624210160,0.999958,352.857579,-812442.382871,34.466025,155.578728,-196.100651,2832.971066,-4.704,0.000,2.885100,6.900327,-1.620,0,0.000
4200.00,2470.00,99.432104,0.9998992867143520,0.999958,352.709745,-812738.592587,34.457706,155.565518,-195.898824,2832.592102,-4.711,0.000,2.885458,6.901211,-1.619,0,0.000
4200.00,2468.00,99.420424,0.9998991106397871,0.999958,352.561786,-813034.725334,34.449384,155.552284,-195.697035,2832.212537,-4.719,-0.000,2.885816,6.902096,-1.617,0,0.000
4200.00,2466.00,99.408723,0.9998989341966129,0.999958,352.413701,-813330.780931,34.441059,155.539028,-195.495283,2831.832369,-4.726,0.000,2.886174,6.902981,-1.616,0,0.000
4200.00,2464.00,99.397001,0.9998987573849297,0.999958,352.265490,-813626.759196,34.432731,155.525749,-195.293570,2831.451596,-4.733,0.000,2.886531,6.903866,-1.614,0,0.000
4200.00,2462.00,99.385259,0.9998985802050435,0.999958,352.117153,-813922.659945,34.424400,155.512447,-195.091895,2831.070218,-4.740,0.000,2.886888,6.904751,-1.612,0,0.000
4200.00,2460.00,99.373495,0.9998984026553399,0.999958,351.968690,-814218.482996,34.416066,155.499122,-194.890259,2830.688234,-4.747,-0.000,2.887245,6.905637,-1.611,0,0.000
4200.00,2458.00,99.361710,0.9998982247364611,0.999957,351.820101,-814514.228165,34.407729,155.485774,-194.688662,2830.305642,-4.754,-0.000,2.887602,6.906522,-1.609,0,0.000
4200.00,2456.00,99.349904,0.9998980464479685,0.999957,351.671385,-814809.895269,34.399388,155.472403,-194.487104,2829.922440,-4.762,0.000,2.887959,6.907408,-1.608,0,0.000
4200.00,2454.00,99.338077,0.9998978677895101,0.999957,351.522542,-815105.484124,34.391045,155.459009,-194.285585,2829.538629,-4.769,0.000,2.888315,6.908295,-1.606,0,0.000
