Title:,HIP105506

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,106.597820,0.9488340605234121,0.977824,369.191991,-795772.007041,35.706326,160.653523,-203.045719,2896.032133,-4.606,0.000,2.896896,6.887969,-1.629,0,0.000
4200.00,2498.00,101.141685,0.9998909405086349,0.999954,358.368031,-805983.502975,34.907433,156.040437,-202.441433,2845.067555,-4.613,-0.000,2.897242,6.888850,-1.627,0,0.000
4200.00,2496.00,101.128691,0.9998907382475793,0.999954,358.216847,-806279.416402,34.898778,156.025728,-202.233269,2844.646392,-4.620,0.000,2.897588,6.889732,-1.626,0,0.000
4200.00,2494.00,101.115673,0.9998905355185612,0.999954,358.065530,-806575.243582,34.890120,156.010992,-202.025143,2844.224523,-4.627,-0.000,2.897934,6.890614,-1.624,0,0.000
4200.00,2492.00,101.102630,0.9998903323208816,0.999954,357.914080,-806870.984298,34.881459,155.996229,-201.817055,2843.801944,-4.634,-0.000,2.898279,6.891495,-1.623,0,0.000
4200.00,2490.00,101.089563,0.9998901286538536,0.999954,357.762496,-807166.638332,34.872794,155.981440,-201.609005,2843.378656,-4.641,-0.000,2.898624,6.892378,-1.621,0,0.000
4200.00,2488.00,101.076472,0.9998899245167665,0.999954,357.610779,-807462.205466,34.864125,155.966623,-201.400994,2842.954656,-4.648,0.000,2.898969,6.893260,-1.620,0,0.000
4200.00,2486.00,101.063355,0.9998897199090024,0.999954,357.458928,-807757.685483,34.855452,155.951780,-201.193021,2842.529942,-4.655,-0.000,2.899314,6.894142,-1.618,0,0.000
4200.00,2484.00,101.050214,0.9998895148298570,0.999954,357.306943,-808053.078162,34.846776,155.936910,-200.985088,2842.104514,-4.662,0.000,2.899658,6.895025,-1.617,0,0.000
4200.00,2482.00,101.037049,0.9998893092786347,0.999953,357.154823,-808348.383285,34.838096,155.922013,-200.777194,2841.678369,-4.669,0.000,2.900003,6.895908,-1.615,0,0.000
4200.00,2480.00,101.023858,0.9998891032547055,0.999953,357.002570,-808643.600632,34.829413,155.907089,-200.569340,2841.251507,-4.676,-0.000,2.900347,6.896792,-1.613,0,0.000
4200.00,2478.00,101.010643,0.9998888967574301,0.999953,356.850182,-808938.729983,34.820725,155.892137,-200.361525,2840.823925,-4.683,0.000,2.900690,6.897675,-1.612,0,0.000
4200.00,2476.00,100.997403,0.9998886897860534,0.999953,356.697659,-809233.771116,34.812034,155.877159,-200.153750,2840.395622,-4.690,-0.000,2.901034,6.898559,-1.610,0,0.000
4200.00,2474.00,100.984138,0.9998884823400069,0.999953,356.545002,-809528.723810,34.803340,155.862153,-199.946016,2839.966596,-4.697,-0.000,2.901377,6.899443,-1.609,0,0.000
4200.00,2472.00,100.970848,0.9998882744186294,0.999953,356.392209,-809823.587843,34.794642,155.847120,-199.738322,2839.536846,-4.704,0.000,2.901720,6.900327,-1.607,0,0.000
4200.00,2470.00,100.957533,0.9998880660212126,0.999953,356.239281,-810118.362994,34.785940,155.832059,-199.530669,2839.106371,-4.711,0.000,2.902063,6.901211,-1.606,0,0.000
4200.00,2468.00,100.944192,0.9998878571471900,0.999953,356.086217,-810413.049040,34.777234,155.816971,-199.323057,2838.675168,-4.719,-0.000,2.902405,6.902096,-1.604,0,0.000
4200.00,2466.00,100.930827,0.9998876477958510,0.999953,355.933018,-810707.645757,34.768524,155.801856,-199.115486,2838.243236,-4.726,0.000,2.902748,6.902981,-1.602,0,0.000
4200.00,2464.00,100.917437,0.9998874379665843,0.999953,355.779683,-811002.152921,34.759811,155.786713,-198.907957,2837.810574,-4.733,0.000,2.903090,6.903866,-1.601,0,0.000
4200.00,2462.00,100.904021,0.9998872276587717,0.999953,355.626211,-811296.570310,34.751094,155.771543,-198.700469,2837.377180,-4.740,0.000,2.903432,6.904751,-1.599,0,0.000
4200.00,2460.00,100.890580,0.9998870168718194,0.999952,355.472604,-811590.897697,34.742374,155.756345,-198.493024,2836.943053,-4.747,-0.000,2.903773,6.905637,-1.598,0,0.000
4200.00,2458.00,100.877113,0.9998868056049548,0.999952,355.318860,-811885.134857,34.733649,155.741119,-198.285621,2836.508190,-4.754,-0.000,2.904115,6.906522,-1.596,0,0.000
4200.00,2456.00,100.863622,0.9998865938577035,0.999952,355.164979,-812179.281566,34.724921,155.725866,-198.078260,2836.072591,-4.762,0.000,2.904456,6.907408,-1.594,0,0.000
4200.00,2454.00,100.850105,0.9998863816292684,0.999952,355.010961,-812473.337598,34.716189,155.710584,-197.870942,2835.636253,-4.769,0.000,2.904796,6.908295,-1.593,0,0.000
4200.00,2452.00,100.836562,0.9998861689196031,0.999952,354.856807,-812767.302725,34.707453,155.695275,-197.663667,2835.199176,-4.776,0.000,2.905137,6.909181,-1.591,0,0.000
4200.00,2450.00,100.822994,0.9998859557268905,0.999952,354.702515,-813061.176721,34.698714,155.679938,-197.456436,2834.761358,-4.783,-0.000,2.905477,6.910068,-1.590,0,0.000
4200.00,2448.00,100.809400,0.9998857420523707,0.999952,354.548086,-813354.959358,34.689971,155.664573,-197.249248,2834.322796,-4.791,0.000,2.905818,6.910955,-1.588,0,0.000
4200.00,2446.00,100.795780,0.9998855278934535,0.999952,354.393519,-813648.650408,34.681224,155.649180,-197.042103,2833.883490,-4.798,0.000,2.906157,6.911842,-1.586,0,0.000
4200.00,2444.00,100.782135,0.9998853132507810,0.999952,354.238814,-813942.249644,34.672473,155.633758,-196.835003,2833.443438,-4.805,-0.000,2.906497,6.912729,-1.585,0,0.000
4200.00,2442.00,100.768464,0.9998850981234096,0.999952,354.083971,-814235.756836,34.663718,155.618309,-196.627947,2833.002639,-4.812,-0.000,2.906836,6.913617,-1.583,0,0.000
4200.00,2440.00,100.754768,0.9998848825108253,0.999952,353.928990,-814529.171755,34.654960,155.602832,-196.420936,2832.561090,-4.820,-0.000,2.907175,6.914504,-1.582,0,0.000
4200.00,2438.00,100.741045,0.9998846664123777,0.999952,353.773870,-814822.494171,34.646197,155.587326,-196.213970,2832.118790,-4.827,-0.000,2.907514,6.915392,-1.580,0,0.000
4200.00,2436.00,100.727297,0.9998844498272997,0.999951,353.618612,-815115.723853,34.637431,155.571792,-196.007048,2831.675739,-4.834,0.000,2.907853,6.916281,-1.578,0,0.000
4200.00,2434.00,100.713522,0.9998842327559215,0.999951,353.463215,-815408.860572,34.628661,155.556229,-195.800173,2831.231933,-4.842,-0.000,2.908191,6.917169,-1.577,0,0.000
4200.00,2432.00,100.699722,0.9998840151962907,0.999951,353.307679,-815701.904097,34.619888,155.540638,-195.593342,2830.787372,-4.849,-0.000,2.908529,6.918058,-1.575,0,0.000
4200.00,2430.00,100.685895,0.9998837971485552,0.999951,353.152004,-815994.854194,34.611110,155.525019,-195.386558,2830.342053,-4.856,-0.000,2.908867,6.918947,-1.573,0,0.000
4200.00,2428.00,100.672043,0.9998835786128735,0.999951,352.996190,-816287.710633,34.602328,155.509371,-195.179820,2829.895976,-4.864,-0.000,2.909205,6.919836,-1.572,0,0.000
4200.00,2426.00,100.658164,0.9998833595872390,0.999951,352.840236,-816580.473181,34.593543,155.493694,-194.973128,2829.449139,-4.871,0.000,2.909542,6.920725,-1.570,0,0.000
4200.00,2424.00,100.644259,0.9998831400720551,0.999951,352.684142,-816873.141605,34.584754,155.477989,-194.766483,2829.001541,-4.878,-0.000,2.909879,6.921615,-1.568,0,0.000
4200.00,2422.00,100.630328,0.9998829200665604,0.999951,352.527908,-817165.715671,34.575961,155.462255,-194.559885,2828.553178,-4.886,0.000,2.910216,6.922505,-1.567,0,0.000
4200.00,2420.00,100.616370,0.9998826995702195,0.999951,352.371534,-817458.195145,34.567164,155.446492,-194.353334,2828.104051,-4.893,0.000,2.910552,6.923395,-1.565,0,0.000
