Title:,CD-4512460

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.114806,1.0000000000000000,1.000000,378.104299,-1011323.583903,37.827595,-nan,-140.521917,2695.897042,-0.124,-0.000,2.646608,0.000000,-1.394,0,0.000
10000.00,2498.00,100.114712,1.0000000000000000,1.000000,377.979196,-1011668.004081,37.822073,-nan,-140.481333,2695.613331,-0.130,0.000,2.646992,0.000000,-1.393,0,0.000
10000.00,2496.00,100.114618,1.0000000000000000,1.000000,377.854005,-1012012.423207,37.816552,-nan,-140.440659,2695.329737,-0.136,-0.000,2.647376,0.000000,-1.391,0,0.000
10000.00,2494.00,100.114525,1.0000000000000000,1.000000,377.728726,-1012356.841283,37.811032,-nan,-140.399893,2695.046258,-0.143,-0.000,2.647760,0.000000,-1.389,0,0.000
10000.00,2492.00,100.114431,1.0000000000000000,1.000000,377.603357,-1012701.258315,37.805512,-nan,-140.359037,2694.762895,-0.149,-0.000,2.648144,0.000000,-1.388,0,0.000
10000.00,2490.00,100.114338,1.0000000000000000,1.000000,377.477900,-1013045.674305,37.799994,-nan,-140.318091,2694.479647,-0.156,0.000,2.648528,0.000000,-1.386,0,0.000
10000.00,2488.00,100.114245,1.0000000000000000,1.000000,377.352353,-1013390.089257,37.794476,-nan,-140.277054,2694.196513,-0.162,-0.000,2.648912,0.000000,-1.384,0,0.000
10000.00,2486.00,100.114151,1.0000000000000000,1.000000,377.226717,-1013734.503175,37.788959,-nan,-140.235926,2693.913494,-0.168,0.000,2.649296,0.000000,-1.382,0,0.000
10000.00,2484.00,100.114058,1.0000000000000000,1.000000,377.100992,-1014078.916062,37.783442,-nan,-140.194708,2693.630589,-0.175,0.000,2.649681,0.000000,-1.381,0,0.000
10000.00,2482.00,100.113965,1.0000000000000000,1.000000,376.975177,-1014423.327924,37.777926,-nan,-140.153399,2693.347798,-0.181,-0.000,2.650065,0.000000,-1.379,0,0.000
