Title:,HD33473A

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.121139,1.0000000000000000,1.000000,379.591924,-1004635.602338,37.509859,-nan,-143.452903,2743.068906,-0.124,-0.000,2.669195,0.000000,-1.485,0,0.000
10000.00,2498.00,100.121039,1.0000000000000000,1.000000,379.465271,-1004984.157840,37.504235,-nan,-143.392191,2742.824341,-0.130,0.000,2.669593,0.000000,-1.483,0,0.000
10000.00,2496.00,100.120940,1.0000000000000000,1.000000,379.338528,-1005332.712159,37.498612,-nan,-143.331402,2742.579842,-0.136,-0.000,2.669991,0.000000,-1.482,0,0.000
10000.00,2494.00,100.120841,1.0000000000000000,1.000000,379.211696,-1005681.265298,37.492990,-nan,-143.270538,2742.335408,-0.143,-0.000,2.670388,0.000000,-1.480,0,0.000
10000.00,2492.00,100.120742,1.0000000000000000,1.000000,379.084773,-1006029.817261,37.487368,-nan,-143.209598,2742.091040,-0.149,-0.000,2.670786,0.000000,-1.479,0,0.000
10000.00,2490.00,100.120643,1.0000000000000000,1.000000,378.957761,-1006378.368053,37.481747,-nan,-143.148581,2741.846737,-0.156,0.000,2.671184,0.000000,-1.477,0,0.000
10000.00,2488.00,100.120545,1.0000000000000000,1.000000,378.830659,-1006726.917678,37.476127,-nan,-143.087490,2741.602499,-0.162,-0.000,2.671582,0.000000,-1.475,0,0.000
10000.00,2486.00,100.120446,1.0000000000000000,1.000000,378.703466,-1007075.466139,37.470507,-nan,-143.026322,2741.358325,-0.168,0.000,2.671980,0.000000,-1.474,0,0.000
10000.00,2484.00,100.120347,1.0000000000000000,1.000000,378.576183,-1007424.013441,37.464888,-nan,-142.965079,2741.114215,-0.175,0.000,2.672378,0.000000,-1.472,0,0.000
10000.00,2482.00,100.120249,1.0000000000000000,1.000000,378.448810,-1007772.559588,37.459270,-nan,-142.903760,2740.870169,-0.181,-0.000,2.672776,0.000000,-1.471,0,0.000
10000.00,2480.00,100.120151,1.0000000000000000,1.000000,378.321346,-1008121.104583,37.453653,-nan,-142.842366,2740.626187,-0.188,-0.000,2.673175,0.000000,-1.469,0,0.000
10000.00,2478.00,100.120053,1.0000000000000000,1.000000,378.193791,-1008469.648432,37.448036,-nan,-142.780896,2740.382268,-0.194,0.000,2.673573,0.000000,-1.467,0,0.000
10000.00,2476.00,100.119955,1.0000000000000000,1.000000,378.066145,-1008818.191137,37.442420,-nan,-142.719350,2740.138412,-0.201,-0.000,2.673971,0.000000,-1.466,0,0.000
10000.00,2474.00,100.119857,1.0000000000000000,1.000000,377.938408,-1009166.732704,37.436805,-nan,-142.657729,2739.894619,-0.207,0.000,2.674370,0.000000,-1.464,0,0.000
10000.00,2472.00,100.119759,1.0000000000000000,1.000000,377.810580,-1009515.273136,37.431190,-nan,-142.596033,2739.650888,-0.214,-0.000,2.674768,0.000000,-1.462,0,0.000
10000.00,2470.00,100.119661,1.0000000000000000,1.000000,377.682661,-1009863.812437,37.425577,-nan,-142.534261,2739.407219,-0.220,-0.000,2.675167,0.000000,-1.461,0,0.000
10000.00,2468.00,100.119563,1.0000000000000000,1.000000,377.554650,-1010212.350612,37.419963,-nan,-142.472413,2739.163613,-0.227,0.000,2.675566,0.000000,-1.459,0,0.000
10000.00,2466.00,100.119466,1.0000000000000000,1.000000,377.426548,-1010560.887664,37.414351,-nan,-142.410491,2738.920068,-0.233,-0.000,2.675964,0.000000,-1.457,0,0.000
10000.00,2464.00,100.119368,1.0000000000000000,1.000000,377.298354,-1010909.423598,37.408739,-nan,-142.348493,2738.676584,-0.240,-0.000,2.676363,0.000000,-1.456,0,0.000
10000.00,2462.00,100.119271,1.0000000000000000,1.000000,377.170068,-1011257.958418,37.403128,-nan,-142.286420,2738.433161,-0.246,0.000,2.676762,0.000000,-1.454,0,0.000
10000.00,2460.00,100.119174,1.0000000000000000,1.000000,377.041690,-1011606.492129,37.397518,-nan,-142.224271,2738.189799,-0.253,0.000,2.677161,0.000000,-1.453,0,0.000
10000.00,2458.00,100.119077,1.0000000000000000,1.000000,376.913220,-1011955.024733,37.391908,-nan,-142.162047,2737.946497,-0.259,0.000,2.677560,0.000000,-1.451,0,0.000
10000.00,2456.00,100.118980,1.0000000000000000,1.000000,376.784658,-1012303.556236,37.386299,-nan,-142.099749,2737.703256,-0.266,-0.000,2.677959,0.000000,-1.449,0,0.000
10000.00,2454.00,100.118883,1.0000000000000000,1.000000,376.656004,-1012652.086641,37.380691,-nan,-142.037375,2737.460075,-0.272,-0.000,2.678358,0.000000,-1.448,0,0.000
10000.00,2452.00,100.118786,1.0000000000000000,1.000000,376.527256,-1013000.615953,37.375084,-nan,-141.974925,2737.216953,-0.279,0.000,2.678758,0.000000,-1.446,0,0.000
10000.00,2450.00,100.118690,1.0000000000000000,1.000000,376.398417,-1013349.144176,37.369477,-nan,-141.912401,2736.973891,-0.286,0.000,2.679157,0.000000,-1.444,0,0.000
10000.00,2448.00,100.118593,1.0000000000000000,1.000000,376.269484,-1013697.671314,37.363871,-nan,-141.849802,2736.730887,-0.292,0.000,2.679556,0.000000,-1.443,0,0.000
10000.00,2446.00,100.118497,1.0000000000000000,1.000000,376.140458,-1014046.197371,37.358266,-nan,-141.787128,2736.487943,-0.299,-0.000,2.679956,0.000000,-1.441,0,0.000
10000.00,2444.00,100.118401,1.0000000000000000,1.000000,376.011340,-1014394.722352,37.352661,-nan,-141.724379,2736.245057,-0.305,-0.000,2.680355,0.000000,-1.439,0,0.000
10000.00,2442.00,100.118304,1.0000000000000000,1.000000,375.882128,-1014743.246261,37.347057,-nan,-141.661555,2736.002229,-0.312,0.000,2.680755,0.000000,-1.438,0,0.000
10000.00,2440.00,100.118208,1.0000000000000000,1.000000,375.752823,-1015091.769101,37.341454,-nan,-141.598656,2735.759459,-0.319,0.000,2.681155,0.000000,-1.436,0,0.000
10000.00,2438.00,100.118112,1.0000000000000000,1.000000,375.623424,-1015440.290878,37.335852,-nan,-141.535682,2735.516747,-0.325,-0.000,2.681554,0.000000,-1.434,0,0.000
10000.00,2436.00,100.118016,1.0000000000000000,1.000000,375.493932,-1015788.811596,37.330250,-nan,-141.472633,2735.274092,-0.332,-0.000,2.681954,0.000000,-1.433,0,0.000
10000.00,2434.00,100.117921,1.0000000000000000,1.000000,375.364345,-1016137.331258,37.324649,-nan,-141.409510,2735.031495,-0.339,0.000,2.682354,0.000000,-1.431,0,0.000
10000.00,2432.00,100.117825,1.0000000000000000,1.000000,375.234665,-1016485.849869,37.319049,-nan,-141.346311,2734.788954,-0.345,-0.000,2.682754,0.000000,-1.429,0,0.000
10000.00,2430.00,100.117730,1.0000000000000000,1.000000,375.104891,-1016834.367434,37.313449,-nan,-141.283038,2734.546470,-0.352,0.000,2.683154,0.000000,-1.428,0,0.000
10000.00,2428.00,100.117634,1.0000000000000000,1.000000,374.975023,-1017182.883956,37.307850,-nan,-141.219690,2734.304042,-0.359,-0.000,2.683554,0.000000,-1.426,0,0.000
10000.00,2426.00,100.117539,1.0000000000000000,1.000000,374.845060,-1017531.399440,37.302252,-nan,-141.156268,2734.061671,-0.365,-0.000,2.683954,0.000000,-1.424,0,0.000
10000.00,2424.00,100.117444,1.0000000000000000,1.000000,374.715003,-1017879.913890,37.296654,-nan,-141.092771,2733.819355,-0.372,-0.000,2.684355,0.000000,-1.423,0,0.000
10000.00,2422.00,100.117349,1.0000000000000000,1.000000,374.584851,-1018228.427310,37.291058,-nan,-141.029199,2733.577094,-0.379,0.000,2.684755,0.000000,-1.421,0,0.000
