Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
HD13808,10000.0,1128.0,2.124316,57.85988653880397,1.8684627139406003,15.295780210397277,0.0,16.50415002880056,0.5554918429926465,5.378517163643819,2.5377115014211205,100.0
HD181428,10000.0,1128.0,1.8302770000000002,59.20918978082666,2.0872297081548736,14.74114774480165,0.0,15.752455046524059,0.5898206165180542,4.700678465119674,2.9194786380550286,100.0
HD121504,10000.0,1128.0,3.1504939999999997,57.71502160707838,2.550067710818195,15.307784915601372,0.0,15.570082265545103,0.65414525262083,5.7845806682698955,2.4183175800662244,100.0
HD30278,10000.0,1128.0,2.947877,57.34403321427126,2.318238751907385,15.555205520882575,0.0,15.952500568238499,0.6293111611282227,5.886402169856442,2.31430861371562,100.00000000000003
HD203413,10000.0,1128.0,3.097512,57.5903698044816,2.2578682836768658,15.265955011179825,0.0,16.04195665814478,0.6017501069095826,5.82392108319685,2.4181790524105002,99.99999999999999
HD106275,10000.0,1128.0,2.4775970000000003,57.88201408601993,2.570991402291401,15.259754363133224,0.0,15.4848691335751,0.659757240286674,5.678534647280855,2.4640791274128335,100.00000000000001
HD221356,10000.0,1128.0,2.616286,57.442209074670224,2.362571086258917,15.593827624452071,0.0,15.831700132293507,0.6439919606789646,5.795688007388502,2.330012114257808,100.0
HD208672,10000.0,1128.0,3.1010020000000003,57.527473566046375,2.5312868544375986,15.652971035178314,0.0,15.544032370466073,0.6790632572213908,5.733283188937637,2.331889727712595,99.99999999999997
CD-4512460,10000.0,1128.0,3.278397,57.06529041094156,2.8774540153530377,15.694116079405479,0.0,15.321408641820728,0.6809024206010398,6.164279539230192,2.1965488926479844,100.00000000000001
HD21977,10000.0,1128.0,3.194314,57.738752751971646,2.5459511736713893,15.276511243532271,0.0,15.576875473798534,0.651343734985777,5.782228918319274,2.428336703721119,100.00000000000001
HD20492,10000.0,1128.0,1.338251,58.24536764011431,1.4442892516872885,14.446909452630601,0.0,17.440551987258992,0.4339797486816556,5.12686531927168,2.8620366003554594,99.99999999999997
HD211369,10000.0,1128.0,0.9798610000000001,58.330940665560234,1.6871858154072545,14.418690098999454,0.0,16.9606024722327,0.4714899418067722,5.309093995178842,2.8219970108147363,99.99999999999999
HD96116,10000.0,1128.0,2.078706,57.710595923192024,2.1191465962166665,15.16979395354136,0.0,16.229513192140793,0.5770729242571472,5.716573826201407,2.477303584450591,100.00000000000001
HD214094,10000.0,1128.0,3.0576830000000004,57.75920628779284,2.5584551446444994,15.274471601966496,0.0,15.552014153097518,0.6538903069948946,5.769175312747221,2.4327871927565248,100.0
HD160836,10000.0,1128.0,2.540089,57.48786758318472,2.339469865973463,15.604507468365453,0.0,15.838627649523135,0.6434621706057484,5.743891376359975,2.3421738859874996,99.99999999999999
HD218379,10000.0,1128.0,2.321799,58.21140693752569,2.196212763989244,15.116889655942181,0.0,15.907429756780346,0.6033801127175916,5.365448102734565,2.5992326703103803,99.99999999999999
HD224230,10000.0,1128.0,0.929788,59.925355257556646,1.5561199737059777,13.211530375284783,0.0,16.945823137793095,0.4208573343964625,4.452994483270212,3.487319437992832,100.00000000000001
HD13789,10000.0,1128.0,2.3058330000000002,57.65655732638578,1.8511095074510586,14.964170784784322,0.0,16.758448866615204,0.5165794642496431,5.717564398092271,2.5355696524217137,99.99999999999997
HD19423,10000.0,1128.0,3.014669,57.367514667439565,2.3222017729205104,15.563198707801712,0.0,15.933282444124771,0.6317069778380572,5.863311202026443,2.3187842278489477,100.00000000000001
HD750,10000.0,1128.0,1.938361,57.58246037361344,1.8290114378948799,15.06995236272066,0.0,16.78477869703888,0.519937696984584,5.707893645930479,2.5059657858170725,100.0
HD101367,10000.0,1128.0,1.414455,58.94932184681644,2.372734680024119,14.894789057211844,0.0,15.393775047415323,0.6385365450152175,4.956221634035511,2.7946211894815445,99.99999999999999
HD149724,10000.0,1128.0,1.7410130000000001,59.18582566557765,1.8853980776562262,14.668326712236086,0.0,16.11866738382974,0.5505556027872422,4.6308853194030775,2.9603412385099777,100.00000000000001
HD91267,10000.0,1128.0,1.981528,58.020065976377744,1.8548150873365155,15.147599611168674,0.0,16.515313456725238,0.5460701709311196,5.315660951762103,2.6004747456986066,100.0
HD57568,10000.0,1128.0,0.18624200000000002,57.386765597360565,0.26971737492740344,8.778657217606025,0.0,19.61728997413548,0.9073793041692195,1.4848346523469778,11.555355879454332,100.0
HD18822,10000.0,1128.0,1.588865,57.82985345644875,1.7779706155728843,14.894979270471593,0.0,16.832601650522406,0.5062104603329197,5.555389676636699,2.6029948700147347,99.99999999999999
HD106589,10000.0,1128.0,3.345939,57.56025681693872,2.326073846706577,15.30312799231956,0.0,15.944413605498642,0.614109597098859,5.853055983968862,2.398962157468771,99.99999999999999
HD109723,10000.0,1128.0,2.060908,57.43451766305333,1.8711693970136112,15.521082815346684,0.0,16.59644207172968,0.5611323989422182,5.61580923331856,2.39984642059592,100.0
HD15337,10000.0,1128.0,1.9840349999999998,58.419294517204875,2.071620728091262,15.090862206771988,0.0,16.008977124137882,0.5893454766597983,5.147114869970693,2.6727850771635,100.0
HD14452,10000.0,1128.0,2.8962939999999997,37.87030954251381,0.45260604819672573,17.55740795525557,0.0,14.22633540842185,0.3830553477378592,16.090292418975555,13.419993278898648,100.00000000000001
HD16141,10000.0,1128.0,2.8775169999999997,57.463203708431074,2.24963651053572,15.581357486773728,0.0,15.985049538611259,0.6265140531223835,5.7467224237011445,2.3475162788246946,100.00000000000001
HD203897,10000.0,1128.0,1.405392,57.93113414529605,1.8304617331620303,14.893221913683096,0.0,16.69972994857227,0.5175969796669576,5.509890339397864,2.6179649402217287,100.0
HD106116,10000.0,1128.0,2.555739,57.914382709288084,2.2238405657293114,15.601844443424381,0.0,15.807775417284384,0.6417255519291092,5.347747720696063,2.462683591648666,100.00000000000001
HD204287,10000.0,1128.0,2.80577,57.391319194235,2.190082940590691,15.548830055486695,0.0,16.11590802512497,0.6114107185065147,5.802400647130612,2.3400484189255324,100.00000000000001
HD23030,10000.0,1128.0,1.584051,58.59178875154091,2.291067851507201,14.77420028541495,0.0,15.729113315518125,0.6011775894195776,5.284268750243601,2.728383456355641,100.0
HD38772,10000.0,1128.0,2.699008,57.60339427819299,2.2927608274553273,15.635119421592947,0.0,15.838985117629484,0.6439388342896551,5.613689504492574,2.372112016347038,100.0
HIP9398,10000.0,1128.0,2.166986,41.46232390923395,0.5295134577125904,18.931036856289907,0.0,15.270105282970134,0.7519278688874049,6.5168337175174464,16.538258907388585,100.00000000000001
HD139879,10000.0,1128.0,0.550896,51.40903823082689,0.24386558181458065,13.57750536781775,0.0,17.97527873680585,1.8657536386570064,1.4628125158260445,13.465745928251897,100.00000000000001
HD165131,10000.0,1128.0,2.65073,57.977269410213694,2.194898858543062,15.533237083734155,0.0,15.848728254743202,0.6329809437526773,5.32294585063513,2.489939598378085,100.00000000000001
HD212918,10000.0,1128.0,3.559246,57.32064594870758,2.5432937734651806,15.58952836559158,0.0,15.647615860213076,0.6650473229236373,5.946650577306788,2.2872181517921626,100.0
HD68978A,10000.0,1128.0,3.174269,57.70615899757116,2.5368916031154436,15.310234263251282,0.0,15.590397897219418,0.6520795791674661,5.787514235823959,2.4167234238512805,100.0
HD119629,10000.0,1128.0,6.225903,54.459106282658276,4.317046094373294,15.224799859941543,0.0,17.053144924682062,0.7384076024138645,5.951134110840949,2.256361125090012,100.0
HD212580,10000.0,1128.0,2.09105,57.44637201734244,1.7745842995921646,15.423147592188805,0.0,16.790505741714664,0.5376233397667352,5.59437233254907,2.433394676846121,100.0
HD8985,10000.0,1128.0,3.663922,57.589739408251894,3.4936013351603568,15.55056866276027,0.0,14.467283999884986,0.8126094799969827,5.735131090325918,2.351066023619593,100.0
HD73121,10000.0,1128.0,3.1967939999999997,57.70278589560548,2.5401662796552436,15.303685317361465,0.0,15.59025003888086,0.6517152758853852,5.79492741763662,2.416469774974953,100.0
HD211188,10000.0,1128.0,1.154166,58.09320166630278,1.714366572909386,14.530331448922995,0.0,16.973698351370615,0.4759151148857095,5.474040366983481,2.738446478625049,100.00000000000003
HD8535,10000.0,1128.0,2.898531,57.78333916354691,2.4232095749238045,15.200518396088347,0.0,15.74987890258573,0.6276697054279698,5.7571254802081135,2.4582587772191205,100.0
