Title:,BD-034797

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.121094,1.0000000000000000,1.000000,379.598712,-1005464.842713,37.530975,-nan,-142.886818,2749.698570,-0.124,-0.000,2.667692,0.000000,-1.484,0,0.000
10000.00,2498.00,100.120995,1.0000000000000000,1.000000,379.472297,-1005812.730555,37.525338,-nan,-142.824434,2749.458165,-0.130,0.000,2.668090,0.000000,-1.483,0,0.000
10000.00,2496.00,100.120896,1.0000000000000000,1.000000,379.345793,-1006160.617205,37.519701,-nan,-142.761975,2749.217816,-0.136,-0.000,2.668489,0.000000,-1.481,0,0.000
10000.00,2494.00,100.120796,1.0000000000000000,1.000000,379.219199,-1006508.502667,37.514065,-nan,-142.699443,2748.977523,-0.143,-0.000,2.668887,0.000000,-1.480,0,0.000
10000.00,2492.00,100.120697,1.0000000000000000,1.000000,379.092516,-1006856.386944,37.508430,-nan,-142.636837,2748.737284,-0.149,-0.000,2.669285,0.000000,-1.478,0,0.000
10000.00,2490.00,100.120599,1.0000000000000000,1.000000,378.965743,-1007204.270040,37.502796,-nan,-142.574156,2748.497101,-0.156,0.000,2.669684,0.000000,-1.476,0,0.000
10000.00,2488.00,100.120500,1.0000000000000000,1.000000,378.838880,-1007552.151960,37.497162,-nan,-142.511403,2748.256972,-0.162,-0.000,2.670082,0.000000,-1.475,0,0.000
10000.00,2486.00,100.120401,1.0000000000000000,1.000000,378.711926,-1007900.032707,37.491529,-nan,-142.448575,2748.016897,-0.168,0.000,2.670481,0.000000,-1.473,0,0.000
10000.00,2484.00,100.120302,1.0000000000000000,1.000000,378.584883,-1008247.912286,37.485897,-nan,-142.385673,2747.776877,-0.175,0.000,2.670879,0.000000,-1.472,0,0.000
10000.00,2482.00,100.120204,1.0000000000000000,1.000000,378.457749,-1008595.790701,37.480265,-nan,-142.322698,2747.536910,-0.181,-0.000,2.671278,0.000000,-1.470,0,0.000
10000.00,2480.00,100.120106,1.0000000000000000,1.000000,378.330525,-1008943.667955,37.474634,-nan,-142.259649,2747.296997,-0.188,-0.000,2.671677,0.000000,-1.468,0,0.000
10000.00,2478.00,100.120007,1.0000000000000000,1.000000,378.203210,-1009291.544054,37.469004,-nan,-142.196527,2747.057137,-0.194,0.000,2.672075,0.000000,-1.467,0,0.000
10000.00,2476.00,100.119909,1.0000000000000000,1.000000,378.075805,-1009639.419000,37.463375,-nan,-142.133331,2746.817330,-0.201,-0.000,2.672474,0.000000,-1.465,0,0.000
10000.00,2474.00,100.119811,1.0000000000000000,1.000000,377.948308,-1009987.292799,37.457746,-nan,-142.070061,2746.577575,-0.207,0.000,2.672873,0.000000,-1.463,0,0.000
