Title:,HD72374

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.119123,1.0000000000000000,1.000000,379.690569,-1006270.161601,37.567751,-nan,-142.677305,2741.164299,-0.124,-0.000,2.665028,0.000000,-1.475,0,0.000
10000.00,2498.00,100.119025,1.0000000000000000,1.000000,379.563971,-1006618.607528,37.562133,-nan,-142.619903,2740.914226,-0.130,0.000,2.665424,0.000000,-1.473,0,0.000
10000.00,2496.00,100.118928,1.0000000000000000,1.000000,379.437283,-1006967.052305,37.556516,-nan,-142.562424,2740.664227,-0.136,-0.000,2.665820,0.000000,-1.472,0,0.000
10000.00,2494.00,100.118830,1.0000000000000000,1.000000,379.310505,-1007315.495935,37.550900,-nan,-142.504866,2740.414301,-0.143,-0.000,2.666217,0.000000,-1.470,0,0.000
10000.00,2492.00,100.118733,1.0000000000000000,1.000000,379.183638,-1007663.938423,37.545284,-nan,-142.447230,2740.164448,-0.149,-0.000,2.666613,0.000000,-1.468,0,0.000
10000.00,2490.00,100.118636,1.0000000000000000,1.000000,379.056680,-1008012.379771,37.539669,-nan,-142.389516,2739.914668,-0.156,0.000,2.667009,0.000000,-1.467,0,0.000
10000.00,2488.00,100.118539,1.0000000000000000,1.000000,378.929633,-1008360.819985,37.534055,-nan,-142.331725,2739.664961,-0.162,-0.000,2.667405,0.000000,-1.465,0,0.000
10000.00,2486.00,100.118442,1.0000000000000000,1.000000,378.802495,-1008709.259068,37.528441,-nan,-142.273855,2739.415325,-0.168,0.000,2.667802,0.000000,-1.464,0,0.000
10000.00,2484.00,100.118345,1.0000000000000000,1.000000,378.675267,-1009057.697023,37.522829,-nan,-142.215908,2739.165762,-0.175,0.000,2.668198,0.000000,-1.462,0,0.000
10000.00,2482.00,100.118248,1.0000000000000000,1.000000,378.547948,-1009406.133856,37.517217,-nan,-142.157883,2738.916270,-0.181,-0.000,2.668595,0.000000,-1.460,0,0.000
10000.00,2480.00,100.118151,1.0000000000000000,1.000000,378.420539,-1009754.569570,37.511605,-nan,-142.099780,2738.666850,-0.188,-0.000,2.668991,0.000000,-1.459,0,0.000
10000.00,2478.00,100.118054,1.0000000000000000,1.000000,378.293039,-1010103.004169,37.505995,-nan,-142.041599,2738.417500,-0.194,0.000,2.669388,0.000000,-1.457,0,0.000
10000.00,2476.00,100.117958,1.0000000000000000,1.000000,378.165448,-1010451.437657,37.500385,-nan,-141.983341,2738.168222,-0.201,-0.000,2.669785,0.000000,-1.455,0,0.000
10000.00,2474.00,100.117862,1.0000000000000000,1.000000,378.037766,-1010799.870039,37.494776,-nan,-141.925005,2737.919013,-0.207,0.000,2.670182,0.000000,-1.454,0,0.000
10000.00,2472.00,100.117765,1.0000000000000000,1.000000,377.909993,-1011148.301317,37.489167,-nan,-141.866592,2737.669875,-0.214,-0.000,2.670579,0.000000,-1.452,0,0.000
10000.00,2470.00,100.117669,1.0000000000000000,1.000000,377.782128,-1011496.731496,37.483559,-nan,-141.808101,2737.420807,-0.220,-0.000,2.670976,0.000000,-1.451,0,0.000
10000.00,2468.00,100.117573,1.0000000000000000,1.000000,377.654173,-1011845.160581,37.477952,-nan,-141.749532,2737.171808,-0.227,0.000,2.671373,0.000000,-1.449,0,0.000
10000.00,2466.00,100.117477,1.0000000000000000,1.000000,377.526125,-1012193.588575,37.472346,-nan,-141.690886,2736.922879,-0.233,-0.000,2.671770,0.000000,-1.447,0,0.000
10000.00,2464.00,100.117381,1.0000000000000000,1.000000,377.397986,-1012542.015482,37.466740,-nan,-141.632163,2736.674018,-0.240,-0.000,2.672167,0.000000,-1.446,0,0.000
10000.00,2462.00,100.117285,1.0000000000000000,1.000000,377.269755,-1012890.441306,37.461136,-nan,-141.573362,2736.425227,-0.246,0.000,2.672564,0.000000,-1.444,0,0.000
10000.00,2460.00,100.117190,1.0000000000000000,1.000000,377.141432,-1013238.866052,37.455531,-nan,-141.514484,2736.176503,-0.253,0.000,2.672961,0.000000,-1.442,0,0.000
10000.00,2458.00,100.117094,1.0000000000000000,1.000000,377.013017,-1013587.289723,37.449928,-nan,-141.455528,2735.927848,-0.259,0.000,2.673359,0.000000,-1.441,0,0.000
10000.00,2456.00,100.116999,1.0000000000000000,1.000000,376.884510,-1013935.712324,37.444325,-nan,-141.396496,2735.679261,-0.266,-0.000,2.673756,0.000000,-1.439,0,0.000
10000.00,2454.00,100.116904,1.0000000000000000,1.000000,376.755910,-1014284.133859,37.438723,-nan,-141.337386,2735.430741,-0.272,-0.000,2.674154,0.000000,-1.437,0,0.000
10000.00,2452.00,100.116808,1.0000000000000000,1.000000,376.627218,-1014632.554331,37.433122,-nan,-141.278199,2735.182288,-0.279,0.000,2.674551,0.000000,-1.436,0,0.000
10000.00,2450.00,100.116713,1.0000000000000000,1.000000,376.498433,-1014980.973745,37.427522,-nan,-141.218934,2734.933902,-0.286,0.000,2.674949,0.000000,-1.434,0,0.000
10000.00,2448.00,100.116618,1.0000000000000000,1.000000,376.369555,-1015329.392105,37.421922,-nan,-141.159593,2734.685583,-0.292,0.000,2.675347,0.000000,-1.432,0,0.000
10000.00,2446.00,100.116523,1.0000000000000000,1.000000,376.240584,-1015677.809415,37.416323,-nan,-141.100174,2734.437330,-0.299,-0.000,2.675745,0.000000,-1.431,0,0.000
10000.00,2444.00,100.116429,1.0000000000000000,1.000000,376.111521,-1016026.225679,37.410724,-nan,-141.040679,2734.189143,-0.305,-0.000,2.676142,0.000000,-1.429,0,0.000
10000.00,2442.00,100.116334,1.0000000000000000,1.000000,375.982364,-1016374.640902,37.405127,-nan,-140.981106,2733.941023,-0.312,0.000,2.676540,0.000000,-1.427,0,0.000
10000.00,2440.00,100.116240,1.0000000000000000,1.000000,375.853113,-1016723.055087,37.399530,-nan,-140.921457,2733.692967,-0.319,0.000,2.676938,0.000000,-1.426,0,0.000
10000.00,2438.00,100.116145,1.0000000000000000,1.000000,375.723770,-1017071.468239,37.393933,-nan,-140.861731,2733.444977,-0.325,-0.000,2.677337,0.000000,-1.424,0,0.000
10000.00,2436.00,100.116051,1.0000000000000000,1.000000,375.594332,-1017419.880362,37.388338,-nan,-140.801927,2733.197052,-0.332,-0.000,2.677735,0.000000,-1.422,0,0.000
10000.00,2434.00,100.115957,1.0000000000000000,1.000000,375.464801,-1017768.291460,37.382743,-nan,-140.742047,2732.949191,-0.339,0.000,2.678133,0.000000,-1.420,0,0.000
10000.00,2432.00,100.115863,1.0000000000000000,1.000000,375.335176,-1018116.701536,37.377149,-nan,-140.682090,2732.701395,-0.345,-0.000,2.678531,0.000000,-1.419,0,0.000
10000.00,2430.00,100.115769,1.0000000000000000,1.000000,375.205457,-1018465.110597,37.371556,-nan,-140.622057,2732.453662,-0.352,0.000,2.678930,0.000000,-1.417,0,0.000
10000.00,2428.00,100.115675,1.0000000000000000,1.000000,375.075643,-1018813.518644,37.365963,-nan,-140.561946,2732.205994,-0.359,-0.000,2.679328,0.000000,-1.415,0,0.000
10000.00,2426.00,100.115581,1.0000000000000000,1.000000,374.945736,-1019161.925684,37.360371,-nan,-140.501759,2731.958389,-0.365,-0.000,2.679727,0.000000,-1.414,0,0.000
10000.00,2424.00,100.115487,1.0000000000000000,1.000000,374.815733,-1019510.331719,37.354780,-nan,-140.441495,2731.710847,-0.372,-0.000,2.680125,0.000000,-1.412,0,0.000
10000.00,2422.00,100.115394,1.0000000000000000,1.000000,374.685637,-1019858.736755,37.349189,-nan,-140.381155,2731.463368,-0.379,0.000,2.680524,0.000000,-1.410,0,0.000
10000.00,2420.00,100.115300,1.0000000000000000,1.000000,374.555445,-1020207.140795,37.343600,-nan,-140.320738,2731.215952,-0.386,0.000,2.680923,0.000000,-1.409,0,0.000
10000.00,2418.00,100.115207,1.0000000000000000,1.000000,374.425159,-1020555.543843,37.338011,-nan,-140.260244,2730.968598,-0.392,-0.000,2.681321,0.000000,-1.407,0,0.000
10000.00,2416.00,100.115114,1.0000000000000000,1.000000,374.294777,-1020903.945905,37.332422,-nan,-140.199674,2730.721306,-0.399,-0.000,2.681720,0.000000,-1.405,0,0.000
10000.00,2414.00,100.115021,1.0000000000000000,1.000000,374.164300,-1021252.346983,37.326835,-nan,-140.139027,2730.474076,-0.406,-0.000,2.682119,0.000000,-1.403,0,0.000
10000.00,2412.00,100.114928,1.0000000000000000,1.000000,374.033728,-1021600.747083,37.321248,-nan,-140.078304,2730.226907,-0.413,0.000,2.682518,0.000000,-1.402,0,0.000
10000.00,2410.00,100.114835,1.0000000000000000,1.000000,373.903061,-1021949.146209,37.315662,-nan,-140.017505,2729.979800,-0.419,-0.000,2.682917,0.000000,-1.400,0,0.000
10000.00,2408.00,100.114742,1.0000000000000000,1.000000,373.772298,-1022297.544364,37.310076,-nan,-139.956629,2729.732753,-0.426,-0.000,2.683316,0.000000,-1.398,0,0.000
10000.00,2406.00,100.114650,1.0000000000000000,1.000000,373.641439,-1022645.941554,37.304491,-nan,-139.895677,2729.485767,-0.433,0.000,2.683716,0.000000,-1.397,0,0.000
10000.00,2404.00,100.114557,1.0000000000000000,1.000000,373.510484,-1022994.337782,37.298907,-nan,-139.834648,2729.238842,-0.440,0.000,2.684115,0.000000,-1.395,0,0.000
10000.00,2402.00,100.114465,1.0000000000000000,1.000000,373.379433,-1023342.733053,37.293324,-nan,-139.773543,2728.991976,-0.447,0.000,2.684514,0.000000,-1.393,0,0.000
10000.00,2400.00,100.114372,1.0000000000000000,1.000000,373.248286,-1023691.127371,37.287741,-nan,-139.712362,2728.745171,-0.453,0.000,2.684914,0.000000,-1.391,0,0.000
10000.00,2398.00,100.114280,1.0000000000000000,1.000000,373.117043,-1024039.520740,37.282159,-nan,-139.651105,2728.498425,-0.460,0.000,2.685313,0.000000,-1.390,0,0.000
10000.00,2396.00,100.114188,1.0000000000000000,1.000000,372.985703,-1024387.913165,37.276578,-nan,-139.589771,2728.251738,-0.467,-0.000,2.685713,0.000000,-1.388,0,0.000
10000.00,2394.00,100.114096,1.0000000000000000,1.000000,372.854267,-1024736.304651,37.270998,-nan,-139.528362,2728.005110,-0.474,-0.000,2.686113,0.000000,-1.386,0,0.000
10000.00,2392.00,100.114004,1.0000000000000000,1.000000,372.722733,-1025084.695200,37.265418,-nan,-139.466876,2727.758541,-0.481,0.000,2.686512,0.000000,-1.384,0,0.000
10000.00,2390.00,100.113913,1.0000000000000000,1.000000,372.591103,-1025433.084819,37.259839,-nan,-139.405314,2727.512030,-0.488,-0.000,2.686912,0.000000,-1.383,0,0.000
10000.00,2388.00,100.113821,1.0000000000000000,1.000000,372.459376,-1025781.473510,37.254261,-nan,-139.343676,2727.265577,-0.495,-0.000,2.687312,0.000000,-1.381,0,0.000
10000.00,2386.00,100.113729,1.0000000000000000,1.000000,372.327551,-1026129.861279,37.248683,-nan,-139.281963,2727.019182,-0.502,-0.000,2.687712,0.000000,-1.379,0,0.000
10000.00,2384.00,100.113638,1.0000000000000000,1.000000,372.195629,-1026478.248130,37.243106,-nan,-139.220173,2726.772845,-0.509,-0.000,2.688112,0.000000,-1.377,0,0.000
10000.00,2382.00,100.113547,1.0000000000000000,1.000000,372.063610,-1026826.634068,37.237530,-nan,-139.158307,2726.526565,-0.515,-0.000,2.688512,0.000000,-1.376,0,0.000
10000.00,2380.00,100.113456,1.0000000000000000,1.000000,371.931493,-1027175.019096,37.231955,-nan,-139.096365,2726.280341,-0.522,0.000,2.688912,0.000000,-1.374,0,0.000
10000.00,2378.00,100.113365,1.0000000000000000,1.000000,371.799278,-1027523.403219,37.226380,-nan,-139.034347,2726.034175,-0.529,-0.000,2.689312,0.000000,-1.372,0,0.000
10000.00,2376.00,100.113274,1.0000000000000000,1.000000,371.666965,-1027871.786441,37.220806,-nan,-138.972254,2725.788065,-0.536,-0.000,2.689713,0.000000,-1.370,0,0.000
10000.00,2374.00,100.113183,1.0000000000000000,1.000000,371.534554,-1028220.168768,37.215233,-nan,-138.910085,2725.542011,-0.543,0.000,2.690113,0.000000,-1.369,0,0.000
10000.00,2372.00,100.113092,1.0000000000000000,1.000000,371.402045,-1028568.550202,37.209660,-nan,-138.847840,2725.296013,-0.550,0.000,2.690513,0.000000,-1.367,0,0.000
10000.00,2370.00,100.113001,1.0000000000000000,1.000000,371.269437,-1028916.930750,37.204088,-nan,-138.785519,2725.050071,-0.557,-0.000,2.690914,0.000000,-1.365,0,0.000
10000.00,2368.00,100.112911,1.0000000000000000,1.000000,371.136731,-1029265.310415,37.198517,-nan,-138.723122,2724.804184,-0.564,-0.000,2.691315,0.000000,-1.363,0,0.000
10000.00,2366.00,100.112821,1.0000000000000000,1.000000,371.003926,-1029613.689201,37.192946,-nan,-138.660650,2724.558352,-0.571,-0.000,2.691715,0.000000,-1.362,0,0.000
10000.00,2364.00,100.112730,1.0000000000000000,1.000000,370.871022,-1029962.067114,37.187377,-nan,-138.598102,2724.312575,-0.578,-0.000,2.692116,0.000000,-1.360,0,0.000
10000.00,2362.00,100.112640,1.0000000000000000,1.000000,370.738019,-1030310.444157,37.181808,-nan,-138.535478,2724.066852,-0.585,0.000,2.692517,0.000000,-1.358,0,0.000
10000.00,2360.00,100.112550,1.0000000000000000,1.000000,370.604917,-1030658.820336,37.176239,-nan,-138.472779,2723.821184,-0.592,0.000,2.692918,0.000000,-1.356,0,0.000
10000.00,2358.00,100.112460,1.0000000000000000,1.000000,370.471716,-1031007.195654,37.170672,-nan,-138.410004,2723.575569,-0.599,0.000,2.693319,0.000000,-1.354,0,0.000
10000.00,2356.00,100.112371,1.0000000000000000,1.000000,370.338415,-1031355.570116,37.165105,-nan,-138.347154,2723.330008,-0.607,0.000,2.693720,0.000000,-1.353,0,0.000
10000.00,2354.00,100.112281,1.0000000000000000,1.000000,370.205015,-1031703.943727,37.159539,-nan,-138.284228,2723.084501,-0.614,-0.000,2.694121,0.000000,-1.351,0,0.000
10000.00,2352.00,100.112191,1.0000000000000000,1.000000,370.071514,-1032052.316491,37.153973,-nan,-138.221226,2722.839047,-0.621,0.000,2.694522,0.000000,-1.349,0,0.000
10000.00,2350.00,100.112102,1.0000000000000000,1.000000,369.937914,-1032400.688413,37.148408,-nan,-138.158150,2722.593645,-0.628,0.000,2.694923,0.000000,-1.347,0,0.000
