Title:,HD78964B

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.121054,1.0000000000000000,1.000000,379.090572,-1005483.250842,37.641456,-nan,-142.476346,2723.193633,-0.124,-0.000,2.659861,0.000000,-1.447,0,0.000
10000.00,2498.00,100.120955,1.0000000000000000,1.000000,378.964603,-1005829.926840,37.635872,-nan,-142.425158,2722.928542,-0.130,0.000,2.660253,0.000000,-1.446,0,0.000
10000.00,2496.00,100.120856,1.0000000000000000,1.000000,378.838545,-1006176.601683,37.630289,-nan,-142.373887,2722.663542,-0.136,-0.000,2.660645,0.000000,-1.444,0,0.000
10000.00,2494.00,100.120757,1.0000000000000000,1.000000,378.712397,-1006523.275375,37.624707,-nan,-142.322532,2722.398632,-0.143,-0.000,2.661038,0.000000,-1.442,0,0.000
10000.00,2492.00,100.120658,1.0000000000000000,1.000000,378.586160,-1006869.947920,37.619125,-nan,-142.271094,2722.133812,-0.149,-0.000,2.661430,0.000000,-1.441,0,0.000
10000.00,2490.00,100.120559,1.0000000000000000,1.000000,378.459834,-1007216.619323,37.613544,-nan,-142.219572,2721.869082,-0.156,0.000,2.661822,0.000000,-1.439,0,0.000
10000.00,2488.00,100.120461,1.0000000000000000,1.000000,378.333418,-1007563.289586,37.607964,-nan,-142.167967,2721.604442,-0.162,-0.000,2.662214,0.000000,-1.437,0,0.000
10000.00,2486.00,100.120362,1.0000000000000000,1.000000,378.206912,-1007909.958715,37.602385,-nan,-142.116279,2721.339891,-0.168,0.000,2.662607,0.000000,-1.436,0,0.000
10000.00,2484.00,100.120264,1.0000000000000000,1.000000,378.080317,-1008256.626713,37.596806,-nan,-142.064508,2721.075429,-0.175,0.000,2.662999,0.000000,-1.434,0,0.000
10000.00,2482.00,100.120166,1.0000000000000000,1.000000,377.953631,-1008603.293584,37.591228,-nan,-142.012654,2720.811055,-0.181,-0.000,2.663392,0.000000,-1.432,0,0.000
