Title:,HIP9398

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,117.953023,1.0000000000000000,1.000000,448.185445,-1175677.595001,43.479437,-nan,-177.260624,3292.861211,-0.124,-0.000,2.712846,0.000000,-1.649,0,0.000
10000.00,2498.00,117.952901,1.0000000000000000,1.000000,448.033454,-1176095.650425,43.472681,-nan,-177.135182,3292.678256,-0.130,0.000,2.713265,0.000000,-1.648,0,0.000
10000.00,2496.00,117.952778,1.0000000000000000,1.000000,447.881355,-1176513.704211,43.465926,-nan,-177.009690,3292.495238,-0.136,-0.000,2.713684,0.000000,-1.647,0,0.000
10000.00,2494.00,117.952656,1.0000000000000000,1.000000,447.729149,-1176931.756364,43.459172,-nan,-176.884149,3292.312156,-0.143,-0.000,2.714103,0.000000,-1.645,0,0.000
10000.00,2492.00,117.952534,1.0000000000000000,1.000000,447.576835,-1177349.806890,43.452418,-nan,-176.758557,3292.129012,-0.149,-0.000,2.714522,0.000000,-1.644,0,0.000
10000.00,2490.00,117.952412,1.0000000000000000,1.000000,447.424413,-1177767.855794,43.445665,-nan,-176.632916,3291.945805,-0.156,0.000,2.714941,0.000000,-1.642,0,0.000
10000.00,2488.00,117.952291,1.0000000000000000,1.000000,447.271884,-1178185.903081,43.438913,-nan,-176.507226,3291.762534,-0.162,-0.000,2.715360,0.000000,-1.641,0,0.000
10000.00,2486.00,117.952169,1.0000000000000000,1.000000,447.119246,-1178603.948757,43.432161,-nan,-176.381485,3291.579199,-0.168,0.000,2.715779,0.000000,-1.640,0,0.000
10000.00,2484.00,117.952048,1.0000000000000000,1.000000,446.966500,-1179021.992826,43.425410,-nan,-176.255695,3291.395801,-0.175,0.000,2.716199,0.000000,-1.638,0,0.000
10000.00,2482.00,117.951926,1.0000000000000000,1.000000,446.813646,-1179440.035295,43.418659,-nan,-176.129855,3291.212340,-0.181,-0.000,2.716618,0.000000,-1.637,0,0.000
10000.00,2480.00,117.951805,1.0000000000000000,1.000000,446.660683,-1179858.076167,43.411910,-nan,-176.003964,3291.028814,-0.188,-0.000,2.717038,0.000000,-1.635,0,0.000
10000.00,2478.00,117.951684,1.0000000000000000,1.000000,446.507611,-1180276.115450,43.405160,-nan,-175.878024,3290.845224,-0.194,0.000,2.717458,0.000000,-1.634,0,0.000
10000.00,2476.00,117.951563,1.0000000000000000,1.000000,446.354431,-1180694.153147,43.398412,-nan,-175.752034,3290.661570,-0.201,-0.000,2.717877,0.000000,-1.633,0,0.000
10000.00,2474.00,117.951442,1.0000000000000000,1.000000,446.201141,-1181112.189265,43.391664,-nan,-175.625994,3290.477851,-0.207,0.000,2.718297,0.000000,-1.631,0,0.000
10000.00,2472.00,117.951322,1.0000000000000000,1.000000,446.047742,-1181530.223809,43.384917,-nan,-175.499904,3290.294068,-0.214,-0.000,2.718717,0.000000,-1.630,0,0.000
10000.00,2470.00,117.951201,1.0000000000000000,1.000000,445.894234,-1181948.256783,43.378170,-nan,-175.373764,3290.110220,-0.220,-0.000,2.719137,0.000000,-1.628,0,0.000
10000.00,2468.00,117.951081,1.0000000000000000,1.000000,445.740616,-1182366.288194,43.371424,-nan,-175.247573,3289.926307,-0.227,0.000,2.719557,0.000000,-1.627,0,0.000
10000.00,2466.00,117.950960,1.0000000000000000,1.000000,445.586889,-1182784.318047,43.364679,-nan,-175.121333,3289.742330,-0.233,-0.000,2.719978,0.000000,-1.625,0,0.000
10000.00,2464.00,117.950840,1.0000000000000000,1.000000,445.433052,-1183202.346347,43.357934,-nan,-174.995042,3289.558287,-0.240,-0.000,2.720398,0.000000,-1.624,0,0.000
10000.00,2462.00,117.950720,1.0000000000000000,1.000000,445.279105,-1183620.373099,43.351190,-nan,-174.868702,3289.374178,-0.246,0.000,2.720819,0.000000,-1.623,0,0.000
10000.00,2460.00,117.950601,1.0000000000000000,1.000000,445.125047,-1184038.398310,43.344447,-nan,-174.742311,3289.190004,-0.253,0.000,2.721239,0.000000,-1.621,0,0.000
10000.00,2458.00,117.950481,1.0000000000000000,1.000000,444.970879,-1184456.421983,43.337704,-nan,-174.615870,3289.005765,-0.259,0.000,2.721660,0.000000,-1.620,0,0.000
10000.00,2456.00,117.950361,1.0000000000000000,1.000000,444.816601,-1184874.444126,43.330962,-nan,-174.489378,3288.821459,-0.266,-0.000,2.722080,0.000000,-1.618,0,0.000
10000.00,2454.00,117.950242,1.0000000000000000,1.000000,444.662212,-1185292.464743,43.324220,-nan,-174.362837,3288.637088,-0.272,-0.000,2.722501,0.000000,-1.617,0,0.000
10000.00,2452.00,117.950123,1.0000000000000000,1.000000,444.507712,-1185710.483839,43.317479,-nan,-174.236245,3288.452651,-0.279,0.000,2.722922,0.000000,-1.615,0,0.000
10000.00,2450.00,117.950003,1.0000000000000000,1.000000,444.353102,-1186128.501420,43.310739,-nan,-174.109602,3288.268147,-0.286,0.000,2.723343,0.000000,-1.614,0,0.000
10000.00,2448.00,117.949884,1.0000000000000000,1.000000,444.198380,-1186546.517492,43.304000,-nan,-173.982909,3288.083577,-0.292,0.000,2.723764,0.000000,-1.612,0,0.000
10000.00,2446.00,117.949766,1.0000000000000000,1.000000,444.043546,-1186964.532060,43.297261,-nan,-173.856166,3287.898940,-0.299,-0.000,2.724185,0.000000,-1.611,0,0.000
10000.00,2444.00,117.949647,1.0000000000000000,1.000000,443.888602,-1187382.545129,43.290523,-nan,-173.729372,3287.714237,-0.305,-0.000,2.724607,0.000000,-1.610,0,0.000
10000.00,2442.00,117.949528,1.0000000000000000,1.000000,443.733545,-1187800.556705,43.283785,-nan,-173.602528,3287.529466,-0.312,0.000,2.725028,0.000000,-1.608,0,0.000
