Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD13808,10000.00,1328.00,19.708019,54.003765,-218096.643762,6.739715,29.617746,1.249,46.0095,1.52806,12.7298,1.93594,0,14.7397,10.7147,10.7441,1.59814
HD181428,10000.00,1328.00,23.120795,63.752739,-260496.525842,8.025398,34.874502,1.410,47.7338,1.55879,12.9683,1.76432,0,12.9094,10.7402,10.1788,2.14632
HD121504,10000.00,1328.00,21.765667,59.669307,-244403.096666,7.504713,32.779810,1.375,46.9168,1.6171,13.3892,1.78615,0,13.4453,10.4892,10.8731,1.48303
HD30278,10000.00,1328.00,20.215549,55.267121,-224425.929093,6.898520,30.446058,1.224,45.4812,1.63968,13.2917,1.88688,0,14.6043,10.8611,10.9798,1.25535
HD203413,10000.00,1328.00,19.134353,52.408582,-213338.566560,6.597701,28.630614,1.441,47.7157,1.58877,12.5817,1.86364,0,14.0114,9.87467,10.8842,1.47998
HD106275,10000.00,1328.00,20.237342,55.538383,-225830.674617,6.968873,30.391481,1.377,47.2368,1.8542,12.7345,1.82886,0,13.9481,10.4963,10.3062,1.59502
HD221356,10000.00,1328.00,20.965614,57.290261,-232171.585111,7.125816,31.636174,1.140,44.6483,1.79694,13.3398,1.90954,0,14.7946,11.1722,11.1127,1.22596
HD208672,10000.00,1328.00,21.311889,58.367159,-237724.578164,7.310770,32.076148,1.300,46.2506,1.74578,13.1522,1.84852,0,14.0274,10.6199,10.9253,1.43023
CD-4512460,10000.00,1328.00,17.079693,46.512486,-187527.321157,5.797389,25.503668,1.244,45.6164,2.5926,12.1061,1.98024,0,15.2596,10.0117,11.4875,0.945832
HD21977,10000.00,1328.00,22.909841,62.957167,-259422.542556,7.953456,34.560931,1.464,47.8109,1.42437,13.6889,1.69759,0,12.7396,10.5349,10.4594,1.64435
HD20492,10000.00,1328.00,18.247835,49.941297,-199030.321220,6.185586,27.360447,1.129,45.0867,1.56269,12.0512,2.07306,0,16.0109,10.9207,10.6929,1.60187
HD211369,10000.00,1328.00,18.931279,51.912683,-207402.709274,6.455797,28.331735,1.224,46.1182,1.81242,11.7022,2.03827,0,15.403,10.5561,10.5766,1.79317
HD96116,10000.00,1328.00,20.188047,55.260744,-224244.288131,6.916472,30.315506,1.301,46.3323,1.69675,12.8608,1.89358,0,14.3946,10.4477,10.9431,1.43105
HD214094,10000.00,1328.00,22.453757,61.573447,-252513.421626,7.741883,33.869229,1.357,46.7267,1.60024,13.5696,1.77042,0,13.3259,10.6471,10.8638,1.49625
HD160836,10000.00,1328.00,20.075456,54.835370,-220590.716988,6.811901,30.145138,1.156,44.9599,1.93239,12.5983,1.98835,0,15.3618,10.7794,11.097,1.28292
HD218379,10000.00,1328.00,22.463504,61.792862,-253033.304556,7.773869,33.909812,1.388,47.2904,1.41707,13.466,1.75164,0,13.1883,10.848,10.2261,1.81243
HD224230,10000.00,1328.00,22.618433,62.185092,-250706.954136,7.734535,34.151950,1.168,45.4638,1.77505,12.6507,1.92343,0,14.4037,11.3795,10.455,1.94891
HD13789,10000.00,1328.00,18.749805,51.339789,-207762.925915,6.438820,28.050008,1.369,47.1237,1.46727,12.4517,1.92944,0,14.5957,10.0376,10.8653,1.52924
HD19423,10000.00,1328.00,21.962484,60.064800,-245042.198806,7.498985,33.204532,1.197,45.1268,1.5719,13.8031,1.83603,0,14.229,11.2073,10.9972,1.22867
HD750,10000.00,1328.00,17.479359,47.792764,-191048.037879,5.951777,26.074438,1.260,46.2968,1.74608,11.7051,2.05235,0,15.7371,10.1495,10.832,1.48108
HD101367,10000.00,1328.00,22.565318,62.320524,-254716.154484,7.847734,34.047146,1.456,48.2377,1.61654,13.2423,1.70086,0,12.9702,10.9879,9.08258,2.16187
HD149724,10000.00,1328.00,22.329004,61.699236,-251595.139130,7.751782,33.739245,1.411,47.8336,1.39227,13.5458,1.71102,0,13.2975,11.2889,8.70665,2.22418
HD91267,10000.00,1328.00,20.430049,56.009759,-225850.715869,6.970908,30.770377,1.199,45.5994,1.55527,12.8913,1.9226,0,14.9573,11.1772,10.3191,1.57781
HD57568,10000.00,1328.00,24.175636,66.046855,-264911.714519,8.099483,36.758747,0.786,41.1588,2.41053,13.1543,2.06883,0,15.1977,12.1808,12.2937,1.53535
HD18822,10000.00,1328.00,17.963408,49.145828,-196319.325001,6.112307,26.832453,1.229,46.0243,1.78157,11.7423,2.05488,0,15.7172,10.3349,10.7929,1.5519
HD106589,10000.00,1328.00,23.105664,63.252363,-260645.243773,7.943055,35.011437,1.288,45.8406,1.37528,14.4027,1.72985,0,13.3157,11.1348,10.9757,1.22533
HD109723,10000.00,1328.00,19.623707,53.583518,-214335.623097,6.633996,29.458868,1.099,44.5266,1.74701,12.4365,2.04586,0,15.9653,10.9676,11.0064,1.30479
HD15337,10000.00,1328.00,20.719980,56.903579,-230268.159752,7.112406,31.173204,1.285,46.4775,1.67744,12.6616,1.88959,0,14.2664,10.8192,10.429,1.77926
HD14452,10000.00,1328.00,30.473073,82.570406,-335110.006658,10.113602,46.768913,0.440,36.8427,1.90134,14.1373,2.30132,0,13.9356,11.7035,17.5348,1.64343
HD16141,10000.00,1328.00,22.061573,60.375785,-245859.477932,7.537512,33.323007,1.210,45.3413,1.568,13.6084,1.84855,0,14.2995,11.1512,10.8672,1.31582
HD203897,10000.00,1328.00,18.695121,51.150177,-205071.464581,6.360033,28.010596,1.202,45.6489,1.80354,12.1686,2.01214,0,15.4552,10.6185,10.7983,1.49474
HD106116,10000.00,1328.00,21.694427,59.577422,-242684.980662,7.463736,32.722636,1.313,46.5718,1.55781,13.2971,1.81034,0,13.8548,10.9775,10.2731,1.65766
HD204287,10000.00,1328.00,21.700622,59.352914,-241931.843721,7.403973,32.824879,1.179,44.9801,1.51112,13.8284,1.84379,0,14.3263,11.3102,10.9584,1.24169
HD23030,10000.00,1328.00,20.857444,57.441322,-233375.233659,7.216564,31.349168,1.410,47.8268,1.71888,12.532,1.81515,0,13.5859,10.5966,9.91995,2.0048
HD38772,10000.00,1328.00,21.628551,59.230441,-241328.778281,7.403966,32.646060,1.237,45.6065,1.62903,13.4816,1.84691,0,14.0756,10.972,10.9681,1.4202
HIP9398,10000.00,1328.00,31.457268,85.472855,-350200.307153,10.528481,48.397769,0.556,38.0077,1.63392,14.8712,2.11979,0,13.1588,11.8687,16.7093,1.63055
HD139879,10000.00,1328.00,18.510575,50.500975,-200312.261155,6.126433,28.228319,0.566,38.6315,1.63196,14.5771,2.16048,0,16.851,12.7849,11.7098,1.65324
HD165131,10000.00,1328.00,22.470385,61.755920,-252727.972440,7.766796,33.892599,1.378,47.1452,1.46704,13.3662,1.77349,0,13.2787,10.7228,10.4948,1.75182
HD212918,10000.00,1328.00,21.013124,57.355938,-233477.649332,7.157833,31.671342,1.205,45.1286,1.76345,13.531,1.86967,0,14.5815,10.8976,11.1773,1.05076
HD68978A,10000.00,1328.00,21.909741,60.102857,-246638.575861,7.571665,33.001963,1.408,47.2466,1.55592,13.4421,1.76202,0,13.2219,10.4454,10.7957,1.53032
HD119629,10000.00,1328.00,20.344344,55.721413,-231054.375525,7.095088,30.468822,1.650,49.3281,1.89981,13.0354,1.66581,0,12.2627,9.38302,11.1745,1.25069
HD212580,10000.00,1328.00,18.349022,50.161373,-200822.776288,6.233353,27.476852,1.190,45.4978,1.59137,12.2255,2.03769,0,15.7408,10.5831,10.8798,1.44396
HD8985,10000.00,1328.00,23.264017,63.874775,-261729.830573,8.003169,35.177205,1.317,46.3899,2.24545,13.7677,1.70265,0,13.3919,11.2641,9.81538,1.42297
HD73121,10000.00,1328.00,23.596806,64.758822,-266938.515364,8.152776,35.714011,1.365,46.7355,1.45541,14.1276,1.69968,0,12.9452,10.9769,10.5897,1.47013
HD211188,10000.00,1328.00,19.823210,54.351824,-219211.491317,6.787131,29.749780,1.273,46.3282,1.5821,12.4721,1.94728,0,14.724,10.5673,10.6922,1.68676
HD8535,10000.00,1328.00,22.683936,62.239339,-255421.819137,7.825640,34.256882,1.354,46.7177,1.49021,13.715,1.75606,0,13.2697,10.7998,10.72,1.53157
HD127124,10000.00,1328.00,18.468068,50.625528,-205018.986919,6.359602,27.603560,1.415,47.6708,1.6722,12.1749,1.90848,0,14.3091,9.91878,10.7257,1.62012
HD83529,10000.00,1328.00,22.015699,60.151545,-245745.866031,7.507551,33.310826,1.176,44.8101,1.58634,13.9879,1.83227,0,14.2159,11.2422,11.2002,1.12514
HD96423,10000.00,1328.00,21.931632,60.144183,-245504.152978,7.530843,33.131382,1.275,46.0461,1.45831,13.6054,1.81155,0,13.8497,11.0609,10.6498,1.51831
HD90081,10000.00,1328.00,18.830101,51.515744,-206066.110862,6.389396,28.249110,1.146,45.1344,1.73731,12.2211,2.0358,0,15.6955,10.8634,10.7996,1.51285
HD213628,10000.00,1328.00,20.772735,57.063124,-231636.913569,7.150793,31.246138,1.337,46.9373,1.56641,12.8168,1.8542,0,14.0196,10.6963,10.342,1.76743
HD199933,10000.00,1328.00,17.371268,47.393003,-189200.477554,5.888832,25.916751,1.206,45.6203,1.66601,11.9051,2.08043,0,16.1696,10.2141,11.0691,1.27534
HD85725,10000.00,1328.00,21.906059,60.244295,-248858.725866,7.639840,32.979770,1.564,48.8004,1.45017,13.5225,1.65858,0,12.4257,10.2312,10.2364,1.67505
HD145666,10000.00,1328.00,20.786824,56.939145,-231229.028756,7.125813,31.254673,1.293,46.2666,1.66396,12.9675,1.88071,0,14.2649,10.5814,10.8806,1.49439
HD138799,10000.00,1328.00,18.999222,52.093664,-209763.176648,6.511859,28.428828,1.318,46.8506,1.84442,11.9923,1.95956,0,14.7353,10.2621,10.6616,1.69415
HD137303,10000.00,1328.00,22.797986,62.462306,-254447.049533,7.795391,34.492076,1.192,45.2062,1.52627,13.6691,1.84421,0,14.1033,11.3008,10.891,1.45905
HD29428,10000.00,1328.00,31.274305,85.896465,-366405.412315,10.943658,48.029887,1.491,47.0726,1.0538,17.49,1.29486,0,10.4404,11.8854,9.75566,1.00728
BD-223528,10000.00,1328.00,22.804782,62.570434,-256856.789425,7.868904,34.443524,1.351,46.6705,1.43384,13.7552,1.76031,0,13.2263,10.7605,10.8347,1.55861
HD16270,10000.00,1328.00,20.791087,57.164457,-234413.654172,7.234369,31.189229,1.538,48.7396,1.54,12.778,1.75739,0,12.8911,9.91468,10.5632,1.81601
HD37990,10000.00,1328.00,21.221668,58.349759,-239295.354083,7.378594,31.861407,1.516,48.5006,1.61634,12.8388,1.75538,0,12.8586,10.0051,10.6065,1.81861
HD202209,10000.00,1328.00,22.228752,60.828766,-246867.996759,7.569759,33.611252,1.144,44.7672,1.58549,13.5399,1.88202,0,14.6077,11.4197,10.8609,1.33713
HD72374,10000.00,1328.00,21.005981,57.565015,-234803.550283,7.213183,31.670110,1.299,46.2579,1.47307,13.44,1.82817,0,13.9606,10.8148,10.7574,1.46801
HD114613,10000.00,1328.00,21.523418,59.209117,-241447.532356,7.440305,32.424219,1.385,47.3801,1.49019,13.0732,1.79411,0,13.4944,10.7323,10.1713,1.86439
HD90702,10000.00,1328.00,21.975626,60.344439,-245730.961417,7.566766,33.100680,1.327,46.7001,1.62872,13.0403,1.8342,0,13.7238,10.6948,10.6486,1.72945
HD104067,10000.00,1328.00,19.459498,53.334805,-214964.938020,6.653287,29.218213,1.249,46.0837,1.54237,12.5409,1.95549,0,14.8604,10.665,10.7033,1.64878
HD191847,10000.00,1328.00,18.817685,51.538684,-206896.781849,6.416023,28.216228,1.226,45.9303,1.59869,12.2997,1.99085,0,15.3123,10.6911,10.596,1.58101
HD67,10000.00,1328.00,20.772778,56.968252,-230721.024233,7.123381,31.225965,1.287,46.3744,1.66819,12.7335,1.89784,0,14.3446,10.6515,10.6863,1.64358
HD69655,10000.00,1328.00,22.064726,60.564817,-248116.983979,7.620803,33.253518,1.384,47.0851,1.53724,13.3938,1.77573,0,13.2948,10.5613,10.7324,1.61949
HD16417,10000.00,1328.00,22.099897,60.595697,-247090.779720,7.574921,33.414626,1.242,45.7419,1.48788,13.6829,1.81391,0,14.0149,11.259,10.522,1.47747
HIP5158,10000.00,1328.00,24.517426,67.419463,-276956.173571,8.475489,37.140725,1.330,46.5847,1.30091,13.9192,1.73743,0,12.9355,11.0987,10.6254,1.79813
HD23356,10000.00,1328.00,19.404964,53.177816,-215204.142450,6.651871,29.123160,1.309,46.5862,1.66341,12.6367,1.90326,0,14.5414,10.5281,10.597,1.54394
HD210573,10000.00,1328.00,22.373949,61.403043,-251769.961700,7.712318,33.799666,1.348,46.6954,1.58066,13.7882,1.74031,0,13.4264,10.9845,10.2996,1.48482
HD147512,10000.00,1328.00,21.133660,57.973798,-235927.654820,7.253215,31.884487,1.273,46.1344,1.49455,13.3318,1.83959,0,14.0467,10.9998,10.5678,1.58539
HD149747,10000.00,1328.00,18.937562,51.925062,-207680.890389,6.456062,28.360163,1.215,45.9906,1.96977,11.75,2.02371,0,15.2817,10.6121,10.6139,1.75824
HD167359,10000.00,1328.00,18.729013,51.230253,-206270.779339,6.384714,28.079172,1.236,45.8546,1.69618,12.4688,1.9738,0,15.165,10.5434,10.8689,1.42936
HD72769,10000.00,1328.00,20.510996,56.489240,-229204.360611,7.085148,30.861882,1.388,47.645,1.53098,12.826,1.80467,0,13.9457,10.9174,9.39396,1.93638
HD200349,10000.00,1328.00,31.578129,86.834105,-373917.238850,11.468314,47.019974,2.495,57.3857,1.31461,12.1454,1.19546,0,8.35381,7.84938,10.6766,1.07915
HD202871,10000.00,1328.00,20.113427,55.042527,-223158.191647,6.882838,30.207955,1.282,46.1512,1.71331,12.8564,1.90322,0,14.5078,10.5053,10.9533,1.40956
HD2567,10000.00,1328.00,25.664406,70.568636,-292637.953473,8.898432,39.005792,1.388,46.8959,1.36786,14.8749,1.59566,0,12.4229,11.4228,9.90522,1.51484
HD4021,10000.00,1328.00,17.180405,47.079956,-187964.309967,5.878102,25.549678,1.340,47.352,2.20574,10.8791,2.05145,0,15.3025,9.78785,10.69,1.73131
HD143638,10000.00,1328.00,19.290863,52.844339,-213015.488335,6.587957,28.959162,1.240,45.9545,1.84184,12.4438,1.94887,0,14.8365,10.6662,10.748,1.56029
BD-033746,10000.00,1328.00,36.009621,97.307081,-400547.672494,11.998174,55.393258,0.478,37.0052,2.02093,14.4314,2.20041,0,12.7626,11.4123,18.8406,1.32645
HD151772,10000.00,1328.00,23.401891,63.975110,-261161.372948,7.947696,35.587575,1.073,43.9449,1.72561,14.2586,1.80227,0,14.3861,12.1437,10.6939,1.04498
HD95533,10000.00,1328.00,21.360728,58.559125,-237660.439929,7.311648,32.209050,1.241,45.8445,1.62878,13.1864,1.86512,0,14.3441,11.0551,10.5515,1.52447
HIP26542,10000.00,1328.00,22.881875,62.709471,-256006.070159,7.845261,34.560897,1.249,45.7053,1.84678,13.4685,1.81928,0,13.7219,10.9671,10.9921,1.47899
HD61447,10000.00,1328.00,24.328964,67.187703,-278932.973854,8.548315,36.754138,1.629,49.5523,1.28713,13.882,1.55882,0,11.5946,10.5237,9.55224,2.04912
HD69830,10000.00,1328.00,20.216527,55.402599,-225029.807906,6.935186,30.409418,1.300,46.3819,1.56547,13.0187,1.8716,0,14.2576,10.6586,10.7237,1.52252
HD104760A,10000.00,1328.00,23.640421,64.906587,-266751.807632,8.161141,35.764800,1.343,46.6257,1.41031,13.9224,1.73452,0,13.1167,10.9866,10.626,1.57789
HD564,10000.00,1328.00,20.067858,54.941511,-222100.650579,6.852967,30.168499,1.233,45.7631,1.72461,12.7907,1.92649,0,14.7219,10.7435,10.8547,1.47492
HD168769,10000.00,1328.00,18.819402,51.462789,-207259.139580,6.419913,28.177321,1.262,46.0914,1.78564,12.3356,1.97434,0,15.1235,10.3578,10.9296,1.40199
HD28254,10000.00,1328.00,23.021643,63.509917,-259821.783645,7.975413,34.836102,1.388,47.3677,1.53069,13.9724,1.67944,0,13.261,11.4054,8.81746,1.96592
HD25120,10000.00,1328.00,18.784085,51.414113,-204514.131251,6.363280,28.141753,1.123,45.0866,1.71062,11.8248,2.08949,0,16.0928,10.8831,10.6837,1.62884
HD168159,10000.00,1328.00,19.307153,52.872667,-216691.164691,6.688449,28.873911,1.532,48.4201,1.6611,12.7068,1.80033,0,13.3669,9.54425,11.0928,1.40768
BD-002387,10000.00,1328.00,25.561087,70.676937,-300442.745836,9.215907,38.304616,2.179,54.599,1.50168,12.8195,1.29101,0,8.80424,8.64997,10.3236,2.01103
HD176986,10000.00,1328.00,21.233979,58.537774,-243299.762119,7.498111,31.810695,1.802,51.2512,1.62255,12.6571,1.58185,0,11.2831,9.33662,10.3386,1.92888
HD109423,10000.00,1328.00,17.695751,48.453071,-195665.920949,6.081713,26.388948,1.414,47.694,1.79006,11.869,1.94248,0,14.6464,9.75856,10.7838,1.51577
HD138549,10000.00,1328.00,20.280826,55.665455,-225833.995891,6.974429,30.481556,1.334,46.8635,1.55406,12.7765,1.8705,0,14.1541,10.5988,10.4844,1.69817
HD74698,10000.00,1328.00,21.803145,59.697581,-243635.254042,7.463632,32.948375,1.234,45.5434,1.53503,13.707,1.82544,0,14.0453,11.1172,10.8744,1.35225
HIP105506,10000.00,1328.00,23.111798,63.249137,-258995.013997,7.919392,34.949700,1.245,45.5208,1.47994,13.955,1.80401,0,13.7991,11.0359,11.1062,1.29895
BD-050578,10000.00,1328.00,20.791582,57.055733,-232387.286539,7.163660,31.269102,1.366,47.0629,1.46955,13.0469,1.83259,0,13.88,10.5438,10.5299,1.63434
HD149396,10000.00,1328.00,20.940130,57.579644,-234677.606479,7.246015,31.462768,1.429,47.8253,1.6093,12.7458,1.80589,0,13.4973,10.4027,10.2783,1.83542
HIP58348,10000.00,1328.00,21.447961,58.810189,-240864.116650,7.401163,32.291168,1.387,47.0391,1.46778,13.4059,1.79245,0,13.4488,10.4194,10.8938,1.5328
HD39427,10000.00,1328.00,19.513259,53.430330,-215653.803803,6.670543,29.268992,1.269,46.1842,1.75622,12.4926,1.94241,0,14.7963,10.5078,10.8087,1.51169
HD144585,10000.00,1328.00,24.750184,67.993779,-279035.298856,8.499249,37.650389,1.221,45.4558,1.52557,14.5782,1.69833,0,13.4734,11.9717,9.80697,1.48995
