Title:,2M19262685+4206574

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,107.374264,0.9506464239924023,0.978628,372.499954,-802917.085707,35.998057,162.532375,-206.627663,2926.484079,-4.606,0.000,2.897494,6.887969,-1.641,0,0.000
4200.00,2498.00,102.073101,0.9998953010918490,0.999956,361.978867,-812851.542916,35.221633,158.050324,-206.029003,2876.967669,-4.613,-0.000,2.897847,6.888850,-1.639,0,0.000
4200.00,2496.00,102.060549,0.9998951111655003,0.999956,361.827555,-813151.921215,35.213012,158.036103,-205.815220,2876.559769,-4.620,0.000,2.898200,6.889732,-1.638,0,0.000
4200.00,2494.00,102.047974,0.9998949208096947,0.999956,361.676112,-813452.216539,35.204388,158.021856,-205.601474,2876.151199,-4.627,-0.000,2.898552,6.890614,-1.636,0,0.000
4200.00,2492.00,102.035376,0.9998947300238218,0.999956,361.524537,-813752.428683,35.195761,158.007584,-205.387765,2875.741959,-4.634,-0.000,2.898905,6.891495,-1.635,0,0.000
4200.00,2490.00,102.022755,0.9998945388072931,0.999956,361.372832,-814052.557443,35.187130,157.993287,-205.174094,2875.332048,-4.641,-0.000,2.899257,6.892378,-1.633,0,0.000
4200.00,2488.00,102.010110,0.9998943471595615,0.999956,361.220994,-814352.602611,35.178496,157.978965,-204.960461,2874.921463,-4.648,0.000,2.899609,6.893260,-1.631,0,0.000
4200.00,2486.00,101.997442,0.9998941550800727,0.999955,361.069025,-814652.563983,35.169858,157.964616,-204.746865,2874.510203,-4.655,-0.000,2.899960,6.894142,-1.630,0,0.000
4200.00,2484.00,101.984751,0.9998939625682058,0.999955,360.916924,-814952.441350,35.161217,157.950243,-204.533309,2874.098267,-4.662,0.000,2.900312,6.895025,-1.628,0,0.000
4200.00,2482.00,101.972036,0.9998937696234700,0.999955,360.764691,-815252.234507,35.152572,157.935843,-204.319790,2873.685653,-4.669,0.000,2.900663,6.895908,-1.627,0,0.000
4200.00,2480.00,101.959297,0.9998935762452683,0.999955,360.612326,-815551.943244,35.143924,157.921418,-204.106310,2873.272361,-4.676,-0.000,2.901014,6.896792,-1.625,0,0.000
4200.00,2478.00,101.946535,0.9998933824330654,0.999955,360.459829,-815851.567355,35.135273,157.906968,-203.892870,2872.858388,-4.683,0.000,2.901365,6.897675,-1.624,0,0.000
4200.00,2476.00,101.933750,0.9998931881862955,0.999955,360.307198,-816151.106631,35.126618,157.892491,-203.679468,2872.443732,-4.690,-0.000,2.901715,6.898559,-1.622,0,0.000
4200.00,2474.00,101.920941,0.9998929935044342,0.999955,360.154435,-816450.560862,35.117960,157.877989,-203.466106,2872.028394,-4.697,-0.000,2.902066,6.899443,-1.621,0,0.000
