Title:,Sun

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,104.284364,0.9503092506703801,0.978483,361.820113,-780997.095575,34.964499,157.906180,-198.967538,2844.348199,-4.606,0.000,2.896699,6.887969,-1.639,0,0.000
4200.00,2498.00,99.100602,0.9998943541652010,0.999956,351.532774,-790709.532644,34.205306,153.523396,-198.386816,2795.928942,-4.613,-0.000,2.897052,6.888850,-1.638,0,0.000
4200.00,2496.00,99.088333,0.9998941621588443,0.999955,351.385568,-791001.240791,34.196913,153.509500,-198.182447,2795.530665,-4.620,0.000,2.897404,6.889732,-1.636,0,0.000
4200.00,2494.00,99.076042,0.9998939697172086,0.999955,351.238233,-791292.867765,34.188517,153.495580,-197.978115,2795.131732,-4.627,-0.000,2.897755,6.890614,-1.635,0,0.000
4200.00,2492.00,99.063727,0.9998937768396667,0.999955,351.090771,-791584.413367,34.180118,153.481634,-197.773819,2794.732140,-4.634,-0.000,2.898107,6.891495,-1.633,0,0.000
4200.00,2490.00,99.051390,0.9998935835253415,0.999955,350.943180,-791875.877394,34.171715,153.467664,-197.569560,2794.331888,-4.641,-0.000,2.898458,6.892378,-1.632,0,0.000
4200.00,2488.00,99.039030,0.9998933897741165,0.999955,350.795462,-792167.259643,34.163309,153.453669,-197.365338,2793.930975,-4.648,0.000,2.898809,6.893260,-1.630,0,0.000
4200.00,2486.00,99.026647,0.9998931955850983,0.999955,350.647614,-792458.559914,34.154900,153.439648,-197.161154,2793.529399,-4.655,-0.000,2.899160,6.894142,-1.629,0,0.000
4200.00,2484.00,99.014241,0.9998930009577979,0.999955,350.499638,-792749.778002,34.146487,153.425603,-196.957006,2793.127159,-4.662,0.000,2.899511,6.895025,-1.627,0,0.000
4200.00,2482.00,99.001812,0.9998928058916222,0.999955,350.351533,-793040.913704,34.138071,153.411532,-196.752897,2792.724253,-4.669,0.000,2.899861,6.895908,-1.626,0,0.000
4200.00,2480.00,98.989360,0.9998926103860097,0.999955,350.203299,-793331.966816,34.129651,153.397437,-196.548825,2792.320681,-4.676,-0.000,2.900211,6.896792,-1.624,0,0.000
4200.00,2478.00,98.976885,0.9998924144403925,0.999955,350.054936,-793622.937135,34.121229,153.383316,-196.344791,2791.916440,-4.683,0.000,2.900561,6.897675,-1.622,0,0.000
4200.00,2476.00,98.964387,0.9998922180542328,0.999955,349.906444,-793913.824455,34.112802,153.369170,-196.140796,2791.511529,-4.690,-0.000,2.900911,6.898559,-1.621,0,0.000
4200.00,2474.00,98.951866,0.9998920212269253,0.999955,349.757821,-794204.628571,34.104373,153.354998,-195.936840,2791.105947,-4.697,-0.000,2.901261,6.899443,-1.619,0,0.000
4200.00,2472.00,98.939321,0.9998918239579671,0.999955,349.609069,-794495.349278,34.095939,153.340801,-195.732922,2790.699692,-4.704,0.000,2.901610,6.900327,-1.618,0,0.000
