Title:,2M19351595+4212449

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.100090,1.0000000000000000,1.000000,376.578099,-1029785.275608,38.461752,-nan,-130.747217,2630.781796,-0.124,-0.000,2.602588,0.000000,-1.224,0,0.000
10000.00,2498.00,100.100008,1.0000000000000000,1.000000,376.455583,-1030122.826868,38.456376,-nan,-130.736236,2630.449849,-0.130,0.000,2.602950,0.000000,-1.222,0,0.000
10000.00,2496.00,100.099926,1.0000000000000000,1.000000,376.332980,-1030460.377313,38.451002,-nan,-130.725146,2630.118071,-0.136,-0.000,2.603311,0.000000,-1.220,0,0.000
10000.00,2494.00,100.099843,1.0000000000000000,1.000000,376.210290,-1030797.926946,38.445628,-nan,-130.713948,2629.786461,-0.143,-0.000,2.603673,0.000000,-1.219,0,0.000
10000.00,2492.00,100.099761,1.0000000000000000,1.000000,376.087513,-1031135.475769,38.440255,-nan,-130.702642,2629.455019,-0.149,-0.000,2.604035,0.000000,-1.217,0,0.000
10000.00,2490.00,100.099680,1.0000000000000000,1.000000,375.964649,-1031473.023787,38.434883,-nan,-130.691228,2629.123745,-0.156,0.000,2.604397,0.000000,-1.215,0,0.000
10000.00,2488.00,100.099598,1.0000000000000000,1.000000,375.841697,-1031810.571003,38.429511,-nan,-130.679705,2628.792637,-0.162,-0.000,2.604759,0.000000,-1.213,0,0.000
10000.00,2486.00,100.099516,1.0000000000000000,1.000000,375.718658,-1032148.117418,38.424141,-nan,-130.668075,2628.461696,-0.168,0.000,2.605120,0.000000,-1.211,0,0.000
10000.00,2484.00,100.099435,1.0000000000000000,1.000000,375.595530,-1032485.663037,38.418771,-nan,-130.656337,2628.130920,-0.175,0.000,2.605482,0.000000,-1.209,0,0.000
10000.00,2482.00,100.099353,1.0000000000000000,1.000000,375.472315,-1032823.207862,38.413403,-nan,-130.644491,2627.800311,-0.181,-0.000,2.605844,0.000000,-1.207,0,0.000
10000.00,2480.00,100.099272,1.0000000000000000,1.000000,375.349012,-1033160.751897,38.408035,-nan,-130.632537,2627.469866,-0.188,-0.000,2.606207,0.000000,-1.205,0,0.000
10000.00,2478.00,100.099190,1.0000000000000000,1.000000,375.225621,-1033498.295145,38.402668,-nan,-130.620476,2627.139586,-0.194,0.000,2.606569,0.000000,-1.203,0,0.000
