Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
2M19443187+4858386,10000.00,1328.00,22.015631,60.704278,-249370.312007,7.697634,33.141268,1.552,48.9892,0.512579,13.443,1.7395,0,12.7146,10.2124,10.1682,2.22047
2M19254039+3840204,10000.00,1328.00,19.607877,53.721135,-217922.194104,6.725554,29.524601,1.290,46.3299,0.52964,13.5429,1.90028,0,14.791,10.8501,10.4876,1.56859
2M19342205+4105425,10000.00,1328.00,33.951841,92.921223,-386886.180952,11.590463,52.403675,0.894,41.5495,0.733376,16.398,1.73815,0,12.0982,12.4388,13.4255,1.61841
2M19284485+4143373,10000.00,1328.00,24.959665,68.676075,-287609.592307,8.716625,38.016108,1.516,47.8459,0.500108,16.2287,1.47486,0,12.0254,11.4724,9.00841,1.44426
2M19352029+4237298,10000.00,1328.00,28.403861,78.111742,-318905.454430,9.668508,43.584183,0.909,42.2216,1.34323,15.2655,1.81836,0,13.4733,12.6905,11.1354,2.05211
2M19144528+4109042,10000.00,1328.00,21.902683,60.191856,-250449.472813,7.671940,32.999050,1.668,49.5892,0.731412,14.3754,1.58052,0,12.303,10.2176,9.73565,1.46719
2M19364610+3937084,10000.00,1328.00,24.108073,66.276784,-275232.732538,8.398034,36.558927,1.478,47.7897,0.419795,14.9472,1.62292,0,12.4661,10.9715,10.1494,1.63347
2M19294013+4125007,10000.00,1328.00,23.007380,63.241138,-260774.601117,7.992638,34.782755,1.437,47.5281,0.627365,14.2026,1.72026,0,12.8341,10.6636,10.6325,1.79143
2M19052120+4844387,10000.00,1328.00,19.880940,54.712369,-223220.691284,6.898723,29.901079,1.488,48.4255,0.545451,13.628,1.76266,0,13.9733,10.6958,9.12613,1.84326
2M18561467+4530246,10000.00,1328.00,18.639737,51.035947,-204291.417502,6.354429,27.927236,1.224,45.9709,0.805726,12.4653,2.045,0,15.8041,10.6236,10.612,1.67339
2M19340476+4116386,10000.00,1328.00,30.152134,83.275536,-359243.059828,10.767783,46.163349,1.894,50.7743,0.328343,18.1412,1.10547,0,9.23069,11.2657,7.75095,1.40344
2M19325217+4243145,10000.00,1328.00,33.174765,91.789460,-398126.676933,11.874793,51.086431,1.900,51.1264,0.423338,18.4285,1.00879,0,8.74639,12.2372,6.76291,1.26648
2M19370743+4217274,10000.00,1328.00,17.865487,49.479204,-195967.336673,6.196647,26.610686,1.409,49.1963,0.919548,10.2202,2.10077,0,14.9066,10.1347,9.36895,3.15302
