Star,FeO,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,Cr2O3
2M19481670+4031304,7.997061133342961,0.22462079901474163,39.75122039408232,2.376852880442758,46.38589112774898,3.141626662872491,0.1227270024957552,0.0
2M19040872+4936522,6.4686995447024245,0.4437088320253478,33.890182242659634,2.6747584810778555,54.59376269148552,1.910009786604382,0.018878421444842683,0.0
2M18590868+4825236
2M19441136+4244348,6.865742037216627,0.2655814914242206,35.82699703916723,3.5535121706072417,50.71970227072704,2.748192437178055,0.020272553679580908,0.0
2M19220642+3808347,7.088847559878298,0.23387379687637377,37.0945557199216,3.1241494055197574,49.86214197775246,2.5056888026128954,0.09074273743862148,0.0
2M19342609+4211516
2M19283191+4132511
2M19313914+4103393
2M19312961+4257580,6.832605940573261,0.35621410870240944,35.872550660346356,4.093806353984926,50.369731340682954,2.439752566206648,0.035339029503439805,0.0
2M19491018+4958538
2M19342205+4105425,8.359726626314526,0.4152318812942387,38.82940894429171,5.513891458886733,41.54707470164012,5.081508674467259,0.2531577131054165,0.0
2M19342073+4255440,6.1507118064922945,0.40512150936563096,32.002824405378654,4.702552944717942,53.838317491231166,2.861741743764911,0.03873009904940435,0.0
2M19253263+4159249,7.462869708976237,0.28793420180815443,39.026647637035396,3.3451025564150116,47.21947811252248,2.580084169049721,0.07788361419300785,0.0
2M19052120+4844387,7.3108112760111075,0.31624886044401834,37.96960128843093,3.100459968859769,48.823896359287595,2.391342255460374,0.08763999150623272,0.0
2M18561431+4431052
2M19284485+4143373,7.213012173261416,0.2702413295459472,38.38387875862416,4.4064841903175305,47.06036908722453,2.6129503302212367,0.053064130805181214,0.0
2M19353364+4231408
2M19284107+4054587,7.091997559531806,0.4071010998011197,37.21086261840668,8.813668065845237,43.74077922720521,2.709676932894479,0.02591449631547172,0.0
2M19284793+4202459
2M19405434+5033323,8.021521854129684,0.17139496437708784,42.63613041356228,2.755373264570073,41.523790867169055,4.428272561830591,0.4635160743612248,0.0
2M19505021+4804508,7.6805487996591,0.4306316579011987,38.00037358108946,3.76321715084948,46.74109890526415,3.1691700073447424,0.2149598978918728,0.0
2M19174175+4643342,8.337355774312643,0.23639123269767795,41.88604654701041,2.773002029900064,43.44608663561323,3.1255425214878096,0.1955752589781724,0.0
2M19343286+4249298,8.039199916271691,0.27055790383475864,40.14506999725134,3.2805978018705884,44.467805189043496,3.627837381555393,0.1689318101727285,0.0
2M19364610+3937084,7.340661323396808,0.3138765636427253,38.719962730552666,3.817754723633495,46.81229109821989,2.9569716056714777,0.03848195488296201,0.0
2M19240775+4902249,5.737944147183665,0.0003365398102230719,52.33941489708085,0.002938776904006552,41.59733334460377,0.3219645228926894,6.777152481300989e-05,0.0
2M19063321+3929164,7.509121463825168,0.4655571625039481,37.194156224639684,3.3890795319175355,48.48728692459979,2.7879472096081654,0.1668514829057047,0.0
2M19144528+4109042,6.605950337554675,0.21726201353533175,34.73986678704643,3.4456911543068283,52.15788375528311,2.7737562204801924,0.0595897317934331,0.0
2M19262685+4206574,8.251827777791505,0.36737158957320154,39.95316238302834,2.818279756122781,44.987214637537946,3.425225950961539,0.1969179049846932,0.0
2M19004979+4523036,7.51727805112566,0.294618275924436,38.14609261654581,2.9932622769039283,48.0332008146434,2.874354995541034,0.14119296931574143,0.0
2M19340476+4116386,6.3302226312797245,0.26935267712665023,32.53386169435806,6.148114346193453,51.995722845199424,2.678059921869394,0.044665883973283166,0.0
2M19492496+4118001,7.913762899869532,0.35271323174409397,39.518652076590286,3.217588139096592,45.73039611657535,3.0638872439808207,0.203000292143327,0.0
2M19325217+4243145,7.573711087123048,0.24532603259121477,39.03579516854989,7.554179581985091,43.166484936521215,2.371829741943737,0.052673451285796244,0.0
2M19322220+4121198,6.4020248502731025,0.26978444823371284,32.808693218195344,4.087775866128397,53.220356982519505,3.1876818585104405,0.023682776139498714,0.0
2M19562938+4152003,7.719737449691235,0.42522592796364844,38.04580349685768,3.030683833398431,47.07497945630188,3.6084747621508435,0.09509507363628256,0.0
