Star,Mg,Si,Fe,Na,Al,Ca,Ti,Cr,Ni
2M19481670+4031304,37476476.31,34090557.22,30959953.52,1267635.228,1881374.702,2173767.043,61345.72451,0,0
2M19040872+4936522,64992987.44,83349692.13,55997030.87,5250189.753,4821759.002,2873161.247,74023.05417,0,0
2M18590868+4825236,27673940.32,22459537.05,18132596.61,921457.4804,1666280.838,1559037.997,23349.14596,0,0
2M19441136+4244348,35111962.18,39996583.91,30651780.01,1802666.965,3215138.604,2117115.248,31083.48465,0,0
2M19220642+3808347,51283044.52,55122118.45,43995473.89,2243788.408,3969218.437,2720107.075,117747.2302,0,0
2M19342609+4211516,11663945.99,11466978.55,8433852.474,520267.9824,1070557.504,698846.5089,19798.3182,0,0
2M19283191+4132511,33618938.76,27337827.57,18343322.43,965515.0995,1993485.128,1425646,58378.3613,0,0
2M19313914+4103393,27681900.29,24752011.61,24968387.74,1257536.792,4658504.293,2026012.404,115931.7789,0,0
2M19312961+4257580,45968041.42,51839547.26,41479833.07,2938157.01,4732329.763,2457041.546,74758.05608,0,0
2M19491018+4958538,43938011.68,37028182.88,38396178.32,1499432.777,3223278.342,2725747.108,103222.9342,0,0
2M19342205+4105425,29951460.2,25105767.35,29850354.97,2161854.693,3491648.361,2845977.747,99924.75682,0,0
2M19342073+4255440,53812417.13,74111226.39,54951936.31,4614439.964,7450630.055,3838437.734,109161.3756,0,0
2M19253263+4159249,38705483.77,37057097.49,29116850.73,1769689.198,2891415.468,1954405.157,57261.45775,0,0
2M19052120+4844387,45735349.27,46420359.55,36753440.52,2298941.393,3257778.854,2200037.584,73915.58186,0,0
2M18561431+4431052,20212414.69,18895635.38,14289597.63,617135.4582,1249716.489,1040099.17,27315.67897,0,0
2M19284485+4143373,33051928.15,32881710.4,26143257.47,1645272.732,3455410.909,1794302.243,63907.06904,0,0
2M19353364+4231408,28540409.49,23636545.26,24821344.37,678830.4265,3118223.929,1492893.407,103603.9468,0,0
2M19284107+4054587,41945743.81,43923678.09,33487505.66,3626926.879,9506700.236,2631773.442,49516.48408,0,0
2M19284793+4202459,38693984.91,38000227.79,32229487.53,1954226.958,4338008.514,2203993.452,107619.7057,0,0
