Title:,BD-053596

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,109.537776,0.9443183837235473,0.975812,377.695893,-811587.675234,36.608505,163.198647,-206.538355,2936.919789,-4.606,0.000,2.895571,6.887969,-1.601,0,0.000
4200.00,2498.00,103.436180,0.9998801055595969,0.999950,365.603066,-822973.819209,35.715695,158.039794,-205.885444,2879.923084,-4.613,-0.000,2.895898,6.888850,-1.599,0,0.000
4200.00,2496.00,103.421417,0.9998798712294439,0.999949,365.445155,-823271.786247,35.706574,158.023108,-205.675499,2879.446884,-4.620,0.000,2.896223,6.889732,-1.597,0,0.000
4200.00,2494.00,103.406625,0.9998796363292113,0.999949,365.287099,-823569.654438,35.697449,158.006391,-205.465595,2878.969844,-4.627,-0.000,2.896549,6.890614,-1.596,0,0.000
4200.00,2492.00,103.391804,0.9998794008578957,0.999949,365.128898,-823867.423525,35.688320,157.989642,-205.255732,2878.491964,-4.634,-0.000,2.896874,6.891495,-1.594,0,0.000
4200.00,2490.00,103.376954,0.9998791648142044,0.999949,364.970553,-824165.093249,35.679186,157.972861,-205.045911,2878.013239,-4.641,-0.000,2.897199,6.892378,-1.593,0,0.000
4200.00,2488.00,103.362075,0.9998789281977726,0.999949,364.812062,-824462.663349,35.670048,157.956049,-204.836133,2877.533670,-4.648,0.000,2.897524,6.893260,-1.591,0,0.000
4200.00,2486.00,103.347167,0.9998786910072137,0.999949,364.653426,-824760.133564,35.660905,157.939205,-204.626396,2877.053253,-4.655,-0.000,2.897848,6.894142,-1.589,0,0.000
4200.00,2484.00,103.332230,0.9998784532416712,0.999949,364.494645,-825057.503636,35.651758,157.922329,-204.416703,2876.571987,-4.662,0.000,2.898173,6.895025,-1.588,0,0.000
4200.00,2482.00,103.317264,0.9998782149002233,0.999949,364.335717,-825354.773300,35.642607,157.905421,-204.207052,2876.089870,-4.669,0.000,2.898496,6.895908,-1.586,0,0.000
4200.00,2480.00,103.302269,0.9998779759816188,0.999949,364.176643,-825651.942297,35.633451,157.888481,-203.997444,2875.606900,-4.676,-0.000,2.898820,6.896792,-1.585,0,0.000
4200.00,2478.00,103.287244,0.9998777364853736,0.999949,364.017424,-825949.010362,35.624291,157.871509,-203.787880,2875.123076,-4.683,0.000,2.899143,6.897675,-1.583,0,0.000
4200.00,2476.00,103.272189,0.9998774964102146,0.999949,363.858057,-826245.977233,35.615126,157.854505,-203.578359,2874.638394,-4.690,-0.000,2.899466,6.898559,-1.581,0,0.000
4200.00,2474.00,103.257106,0.9998772557552820,0.999948,363.698544,-826542.842645,35.605957,157.837469,-203.368883,2874.152854,-4.697,-0.000,2.899789,6.899443,-1.580,0,0.000
4200.00,2472.00,103.241992,0.9998770145196026,0.999948,363.538884,-826839.606334,35.596783,157.820400,-203.159450,2873.666453,-4.704,0.000,2.900111,6.900327,-1.578,0,0.000
4200.00,2470.00,103.226850,0.9998767727022787,0.999948,363.379077,-827136.268035,35.587605,157.803299,-202.950063,2873.179190,-4.711,0.000,2.900433,6.901211,-1.576,0,0.000
4200.00,2468.00,103.211677,0.9998765303023817,0.999948,363.219122,-827432.827483,35.578422,157.786165,-202.740720,2872.691062,-4.719,-0.000,2.900755,6.902096,-1.575,0,0.000
4200.00,2466.00,103.196475,0.9998762873188233,0.999948,363.059020,-827729.284409,35.569235,157.768999,-202.531422,2872.202068,-4.726,0.000,2.901077,6.902981,-1.573,0,0.000
4200.00,2464.00,103.181243,0.9998760437508298,0.999948,362.898770,-828025.638549,35.560043,157.751800,-202.322170,2871.712205,-4.733,0.000,2.901398,6.903866,-1.571,0,0.000
4200.00,2462.00,103.165981,0.9998757995976836,0.999948,362.738372,-828321.889634,35.550847,157.734569,-202.112963,2871.221472,-4.740,0.000,2.901719,6.904751,-1.570,0,0.000
4200.00,2460.00,103.150689,0.9998755548574754,0.999948,362.577826,-828618.037396,35.541646,157.717304,-201.903802,2870.729867,-4.747,-0.000,2.902039,6.905637,-1.568,0,0.000
4200.00,2458.00,103.135368,0.9998753095307288,0.999948,362.417131,-828914.081567,35.532441,157.700007,-201.694688,2870.237388,-4.754,-0.000,2.902359,6.906522,-1.566,0,0.000
4200.00,2456.00,103.120016,0.9998750636155879,0.999947,362.256288,-829210.021876,35.523231,157.682678,-201.485620,2869.744033,-4.762,0.000,2.902679,6.907408,-1.565,0,0.000
