Title:,CD-4512460

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,99.946384,0.9961957534905809,0.998420,357.663942,-829961.450628,34.941235,158.305718,-198.640952,2867.190937,-4.606,0.000,2.854041,6.887969,-1.641,0,0.000
4200.00,2498.00,99.564892,0.9999130516537256,0.999964,356.791957,-830941.783257,34.879286,157.980534,-198.413844,2863.414740,-4.613,-0.000,2.854411,6.888850,-1.640,0,0.000
4200.00,2496.00,99.554961,0.9999129117601014,0.999964,356.648440,-831245.172489,34.871280,157.969241,-198.213807,2863.088453,-4.620,0.000,2.854781,6.889732,-1.638,0,0.000
4200.00,2494.00,99.545013,0.9999127715999944,0.999964,356.504807,-831548.497695,34.863271,157.957929,-198.013801,2862.761689,-4.627,-0.000,2.855152,6.890614,-1.637,0,0.000
4200.00,2492.00,99.535048,0.9999126311733503,0.999964,356.361058,-831851.758733,34.855261,157.946599,-197.813828,2862.434448,-4.634,-0.000,2.855522,6.891495,-1.635,0,0.000
4200.00,2490.00,99.525066,0.9999124904801637,0.999964,356.217193,-832154.955462,34.847248,157.935252,-197.613887,2862.106729,-4.641,-0.000,2.855892,6.892378,-1.634,0,0.000
4200.00,2488.00,99.515068,0.9999123495204189,0.999964,356.073211,-832458.087740,34.839233,157.923885,-197.413978,2861.778531,-4.648,0.000,2.856262,6.893260,-1.632,0,0.000
4200.00,2486.00,99.505053,0.9999122082940834,0.999964,355.929113,-832761.155423,34.831215,157.912501,-197.214103,2861.449853,-4.655,-0.000,2.856631,6.894142,-1.631,0,0.000
4200.00,2484.00,99.495020,0.9999120668010012,0.999964,355.784899,-833064.158369,34.823195,157.901098,-197.014260,2861.120694,-4.662,0.000,2.857001,6.895025,-1.629,0,0.000
4200.00,2482.00,99.484971,0.9999119250414064,0.999964,355.640567,-833367.096436,34.815173,157.889677,-196.814450,2860.791053,-4.669,0.000,2.857370,6.895908,-1.628,0,0.000
4200.00,2480.00,99.474905,0.9999117830149407,0.999963,355.496119,-833669.969480,34.807149,157.878237,-196.614674,2860.460930,-4.676,-0.000,2.857740,6.896792,-1.626,0,0.000
4200.00,2478.00,99.464822,0.9999116407219556,0.999963,355.351554,-833972.777357,34.799122,157.866779,-196.414931,2860.130323,-4.683,0.000,2.858109,6.897675,-1.625,0,0.000
4200.00,2476.00,99.454722,0.9999114981623042,0.999963,355.206872,-834275.519925,34.791093,157.855303,-196.215222,2859.799233,-4.690,-0.000,2.858478,6.898559,-1.623,0,0.000
4200.00,2474.00,99.444605,0.9999113553359081,0.999963,355.062072,-834578.197040,34.783061,157.843808,-196.015547,2859.467657,-4.697,-0.000,2.858847,6.899443,-1.621,0,0.000
4200.00,2472.00,99.434471,0.9999112122428850,0.999963,354.917154,-834880.808557,34.775027,157.832294,-195.815905,2859.135595,-4.704,0.000,2.859216,6.900327,-1.620,0,0.000
4200.00,2470.00,99.424320,0.9999110688832964,0.999963,354.772119,-835183.354332,34.766991,157.820762,-195.616299,2858.803046,-4.711,0.000,2.859584,6.901211,-1.618,0,0.000
4200.00,2468.00,99.414152,0.9999109252567241,0.999963,354.626966,-835485.834221,34.758953,157.809211,-195.416726,2858.470009,-4.719,-0.000,2.859953,6.902096,-1.617,0,0.000
4200.00,2466.00,99.403967,0.9999107813638862,0.999963,354.481695,-835788.248080,34.750912,157.797642,-195.217188,2858.136484,-4.726,0.000,2.860321,6.902981,-1.615,0,0.000
4200.00,2464.00,99.393764,0.9999106372043265,0.999963,354.336306,-836090.595762,34.742869,157.786054,-195.017685,2857.802469,-4.733,0.000,2.860690,6.903866,-1.614,0,0.000
4200.00,2462.00,99.383544,0.9999104927782166,0.999963,354.190799,-836392.877125,34.734823,157.774447,-194.818218,2857.467964,-4.740,0.000,2.861058,6.904751,-1.612,0,0.000
4200.00,2460.00,99.373307,0.9999103480856083,0.999963,354.045173,-836695.092022,34.726775,157.762822,-194.618785,2857.132968,-4.747,-0.000,2.861426,6.905637,-1.611,0,0.000
4200.00,2458.00,99.363053,0.9999102031264818,0.999963,353.899429,-836997.240307,34.718725,157.751178,-194.419388,2856.797479,-4.754,-0.000,2.861794,6.906522,-1.609,0,0.000
4200.00,2456.00,99.352782,0.9999100579009461,0.999963,353.753566,-837299.321835,34.710672,157.739515,-194.220026,2856.461498,-4.762,0.000,2.862162,6.907408,-1.608,0,0.000
4200.00,2454.00,99.342493,0.9999099124089899,0.999963,353.607584,-837601.336461,34.702617,157.727833,-194.020701,2856.125023,-4.769,0.000,2.862529,6.908295,-1.606,0,0.000
4200.00,2452.00,99.332187,0.9999097666507589,0.999963,353.461483,-837903.284038,34.694559,157.716133,-193.821411,2855.788053,-4.776,0.000,2.862897,6.909181,-1.605,0,0.000
