Title:,HD11964A

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,106.013319,0.9556414989396294,0.980981,370.795324,-817413.184304,35.896332,163.266320,-202.655514,2942.925615,-4.606,0.000,2.877034,6.887969,-1.651,0,0.000
4200.00,2498.00,101.309222,0.9999065524889426,0.999961,361.445642,-826267.187407,35.206670,159.289102,-202.107929,2898.987877,-4.613,-0.000,2.877401,6.888850,-1.649,0,0.000
4200.00,2496.00,101.298245,0.9999063944796375,0.999961,361.298102,-826571.901702,35.198359,159.276642,-201.901885,2898.629122,-4.620,0.000,2.877768,6.889732,-1.648,0,0.000
4200.00,2494.00,101.287249,0.9999062361453434,0.999961,361.150439,-826876.544487,35.190045,159.264160,-201.695876,2898.269816,-4.627,-0.000,2.878136,6.890614,-1.646,0,0.000
4200.00,2492.00,101.276234,0.9999060774877444,0.999961,361.002655,-827181.115596,35.181728,159.251658,-201.489901,2897.909959,-4.634,-0.000,2.878503,6.891495,-1.645,0,0.000
4200.00,2490.00,101.265199,0.9999059185058382,0.999961,360.854748,-827485.614862,35.173409,159.239135,-201.283962,2897.549550,-4.641,-0.000,2.878869,6.892378,-1.643,0,0.000
4200.00,2488.00,101.254146,0.9999057591995364,0.999961,360.706718,-827790.042119,35.165087,159.226591,-201.078057,2897.188588,-4.648,0.000,2.879236,6.893260,-1.642,0,0.000
4200.00,2486.00,101.243073,0.9999055995686307,0.999961,360.558565,-828094.397202,35.156762,159.214026,-200.872187,2896.827071,-4.655,-0.000,2.879603,6.894142,-1.640,0,0.000
4200.00,2484.00,101.231980,0.9999054396129272,0.999961,360.410289,-828398.679941,35.148434,159.201439,-200.666353,2896.464999,-4.662,0.000,2.879969,6.895025,-1.639,0,0.000
4200.00,2482.00,101.220868,0.9999052793321700,0.999960,360.261890,-828702.890172,35.140104,159.188832,-200.460555,2896.102370,-4.669,0.000,2.880335,6.895908,-1.637,0,0.000
4200.00,2480.00,101.209737,0.9999051187262342,0.999960,360.113368,-829007.027725,35.131771,159.176203,-200.254792,2895.739184,-4.676,-0.000,2.880702,6.896792,-1.636,0,0.000
4200.00,2478.00,101.198586,0.9999049577948900,0.999960,359.964722,-829311.092434,35.123435,159.163553,-200.049066,2895.375439,-4.683,0.000,2.881067,6.897675,-1.634,0,0.000
4200.00,2476.00,101.187416,0.9999047965381328,0.999960,359.815952,-829615.084129,35.115096,159.150882,-199.843375,2895.011134,-4.690,-0.000,2.881433,6.898559,-1.633,0,0.000
4200.00,2474.00,101.176226,0.9999046349550833,0.999960,359.667059,-829919.002643,35.106755,159.138190,-199.637722,2894.646268,-4.697,-0.000,2.881799,6.899443,-1.631,0,0.000
4200.00,2472.00,101.165016,0.9999044730465750,0.999960,359.518041,-830222.847808,35.098411,159.125476,-199.432104,2894.280841,-4.704,0.000,2.882164,6.900327,-1.630,0,0.000
4200.00,2470.00,101.153787,0.9999043108116367,0.999960,359.368900,-830526.619452,35.090064,159.112741,-199.226524,2893.914850,-4.711,0.000,2.882530,6.901211,-1.628,0,0.000
4200.00,2468.00,101.142538,0.9999041482509067,0.999960,359.219634,-830830.317409,35.081714,159.099984,-199.020981,2893.548295,-4.719,-0.000,2.882895,6.902096,-1.626,0,0.000
4200.00,2466.00,101.131270,0.9999039853631878,0.999960,359.070243,-831133.941508,35.073362,159.087206,-198.815475,2893.181176,-4.726,0.000,2.883260,6.902981,-1.625,0,0.000
4200.00,2464.00,101.119982,0.9999038221490398,0.999960,358.920728,-831437.491579,35.065006,159.074407,-198.610007,2892.813489,-4.733,0.000,2.883625,6.903866,-1.623,0,0.000
4200.00,2462.00,101.108674,0.9999036586081336,0.999960,358.771088,-831740.967451,35.056648,159.061586,-198.404577,2892.445236,-4.740,0.000,2.883989,6.904751,-1.622,0,0.000
4200.00,2460.00,101.097346,0.9999034947402887,0.999960,358.621323,-832044.368956,35.048287,159.048743,-198.199184,2892.076414,-4.747,-0.000,2.884354,6.905637,-1.620,0,0.000
4200.00,2458.00,101.085998,0.9999033305453801,0.999960,358.471432,-832347.695921,35.039924,159.035879,-197.993830,2891.707023,-4.754,-0.000,2.884718,6.906522,-1.619,0,0.000
4200.00,2456.00,101.074631,0.9999031660232731,0.999960,358.321417,-832650.948175,35.031557,159.022993,-197.788514,2891.337061,-4.762,0.000,2.885082,6.907408,-1.617,0,0.000
4200.00,2454.00,101.063244,0.9999030011738483,0.999959,358.171276,-832954.125549,35.023188,159.010086,-197.583237,2890.966527,-4.769,0.000,2.885446,6.908295,-1.616,0,0.000
4200.00,2452.00,101.051836,0.9999028359969105,0.999959,358.021009,-833257.227869,35.014816,158.997156,-197.377998,2890.595421,-4.776,0.000,2.885810,6.909181,-1.614,0,0.000
4200.00,2450.00,101.040409,0.9999026704924472,0.999959,357.870616,-833560.254964,35.006441,158.984205,-197.172799,2890.223741,-4.783,-0.000,2.886174,6.910068,-1.613,0,0.000
4200.00,2448.00,101.028962,0.9999025046601527,0.999959,357.720098,-833863.206662,34.998063,158.971233,-196.967639,2889.851486,-4.791,0.000,2.886538,6.910955,-1.611,0,0.000
4200.00,2446.00,101.017494,0.9999023385001427,0.999959,357.569453,-834166.082790,34.989683,158.958238,-196.762518,2889.478655,-4.798,0.000,2.886901,6.911842,-1.609,0,0.000
4200.00,2444.00,101.006007,0.9999021720121286,0.999959,357.418682,-834468.883176,34.981299,158.945221,-196.557437,2889.105247,-4.805,-0.000,2.887264,6.912729,-1.608,0,0.000
4200.00,2442.00,100.994500,0.9999020051960346,0.999959,357.267784,-834771.607647,34.972913,158.932183,-196.352396,2888.731261,-4.812,-0.000,2.887627,6.913617,-1.606,0,0.000
4200.00,2440.00,100.982972,0.9999018380521798,0.999959,357.116759,-835074.256029,34.964524,158.919122,-196.147395,2888.356696,-4.820,-0.000,2.887990,6.914504,-1.605,0,0.000
4200.00,2438.00,100.971424,0.9999016705794188,0.999959,356.965608,-835376.828149,34.956132,158.906040,-195.942435,2887.981551,-4.827,-0.000,2.888353,6.915392,-1.603,0,0.000
