Title:,HD168769

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,103.929283,0.9486931644144001,0.977692,359.375249,-768885.358791,34.703200,156.317046,-198.969264,2820.809792,-4.606,0.000,2.905975,6.887969,-1.637,0,0.000
4200.00,2498.00,98.595112,0.9998905396530482,0.999954,348.793813,-778867.106937,33.922187,151.807084,-198.375893,2770.984824,-4.613,-0.000,2.906324,6.888850,-1.635,0,0.000
4200.00,2496.00,98.582427,0.9998903366877997,0.999954,348.646613,-779154.890303,33.913751,151.792724,-198.169790,2770.573604,-4.620,0.000,2.906673,6.889732,-1.634,0,0.000
4200.00,2494.00,98.569718,0.9998901332485813,0.999954,348.499283,-779442.589362,33.905312,151.778337,-197.963724,2770.161692,-4.627,-0.000,2.907021,6.890614,-1.632,0,0.000
4200.00,2492.00,98.556985,0.9998899293346489,0.999954,348.351823,-779730.203901,33.896869,151.763924,-197.757695,2769.749087,-4.634,-0.000,2.907369,6.891495,-1.631,0,0.000
4200.00,2490.00,98.544228,0.9998897249453038,0.999953,348.204233,-780017.733708,33.888422,151.749484,-197.551703,2769.335788,-4.641,-0.000,2.907717,6.892378,-1.629,0,0.000
4200.00,2488.00,98.531447,0.9998895200797592,0.999953,348.056512,-780305.178567,33.879972,151.735019,-197.345748,2768.921793,-4.648,0.000,2.908065,6.893260,-1.628,0,0.000
4200.00,2486.00,98.518641,0.9998893147373537,0.999953,347.908662,-780592.538266,33.871518,151.720527,-197.139832,2768.507100,-4.655,-0.000,2.908412,6.894142,-1.626,0,0.000
4200.00,2484.00,98.505812,0.9998891089173239,0.999953,347.760680,-780879.812588,33.863061,151.706009,-196.933953,2768.091708,-4.662,0.000,2.908759,6.895025,-1.625,0,0.000
4200.00,2482.00,98.492959,0.9998889026189841,0.999953,347.612568,-781167.001319,33.854600,151.691465,-196.728112,2767.675615,-4.669,0.000,2.909106,6.895908,-1.623,0,0.000
4200.00,2480.00,98.480081,0.9998886958416140,0.999953,347.464325,-781454.104242,33.846135,151.676893,-196.522310,2767.258820,-4.676,-0.000,2.909453,6.896792,-1.621,0,0.000
4200.00,2478.00,98.467179,0.9998884885844519,0.999953,347.315951,-781741.121141,33.837667,151.662296,-196.316547,2766.841322,-4.683,0.000,2.909800,6.897675,-1.620,0,0.000
4200.00,2476.00,98.454253,0.9998882808468478,0.999953,347.167445,-782028.051800,33.829195,151.647672,-196.110822,2766.423118,-4.690,-0.000,2.910146,6.898559,-1.618,0,0.000
4200.00,2474.00,98.441302,0.9998880726280852,0.999953,347.018808,-782314.896000,33.820720,151.633021,-195.905137,2766.004207,-4.697,-0.000,2.910492,6.899443,-1.617,0,0.000
4200.00,2472.00,98.428327,0.9998878639274567,0.999953,346.870039,-782601.653525,33.812241,151.618343,-195.699491,2765.584588,-4.704,0.000,2.910838,6.900327,-1.615,0,0.000
4200.00,2470.00,98.415327,0.9998876547442594,0.999953,346.721139,-782888.324156,33.803758,151.603639,-195.493884,2765.164259,-4.711,0.000,2.911183,6.901211,-1.614,0,0.000
4200.00,2468.00,98.402303,0.9998874450778377,0.999953,346.572106,-783174.907674,33.795272,151.588908,-195.288317,2764.743219,-4.719,-0.000,2.911529,6.902096,-1.612,0,0.000
4200.00,2466.00,98.389254,0.9998872349274031,0.999952,346.422941,-783461.403860,33.786782,151.574150,-195.082791,2764.321465,-4.726,0.000,2.911874,6.902981,-1.610,0,0.000
4200.00,2464.00,98.376180,0.9998870242923003,0.999952,346.273643,-783747.812495,33.778288,151.559365,-194.877305,2763.898997,-4.733,0.000,2.912218,6.903866,-1.609,0,0.000
4200.00,2462.00,98.363082,0.9998868131719536,0.999952,346.124212,-784034.133357,33.769791,151.544553,-194.671859,2763.475813,-4.740,0.000,2.912563,6.904751,-1.607,0,0.000
4200.00,2460.00,98.349959,0.9998866015657112,0.999952,345.974649,-784320.366227,33.761290,151.529714,-194.466454,2763.051912,-4.747,-0.000,2.912907,6.905637,-1.606,0,0.000
4200.00,2458.00,98.336812,0.9998863894723229,0.999952,345.824953,-784606.510883,33.752785,151.514848,-194.261090,2762.627291,-4.754,-0.000,2.913251,6.906522,-1.604,0,0.000
4200.00,2456.00,98.323639,0.9998861768921722,0.999952,345.675123,-784892.567105,33.744277,151.499955,-194.055768,2762.201950,-4.762,0.000,2.913595,6.907408,-1.603,0,0.000
4200.00,2454.00,98.310442,0.9998859638234703,0.999952,345.525160,-785178.534669,33.735765,151.485035,-193.850487,2761.775886,-4.769,0.000,2.913939,6.908295,-1.601,0,0.000
4200.00,2452.00,98.297219,0.9998857502666695,0.999952,345.375063,-785464.413353,33.727250,151.470087,-193.645248,2761.349099,-4.776,0.000,2.914282,6.909181,-1.599,0,0.000
4200.00,2450.00,98.283972,0.9998855362200005,0.999952,345.224833,-785750.202934,33.718730,151.455112,-193.440051,2760.921586,-4.783,-0.000,2.914625,6.910068,-1.598,0,0.000
4200.00,2448.00,98.270700,0.9998853216834894,0.999952,345.074468,-786035.903189,33.710207,151.440110,-193.234896,2760.493346,-4.791,0.000,2.914968,6.910955,-1.596,0,0.000
4200.00,2446.00,98.257402,0.9998851066563207,0.999952,344.923969,-786321.513894,33.701680,151.425080,-193.029784,2760.064378,-4.798,0.000,2.915311,6.911842,-1.595,0,0.000
4200.00,2444.00,98.244080,0.9998848911378694,0.999951,344.773336,-786607.034824,33.693150,151.410023,-192.824715,2759.634679,-4.805,-0.000,2.915653,6.912729,-1.593,0,0.000
4200.00,2442.00,98.230732,0.9998846751273782,0.999951,344.622568,-786892.465755,33.684616,151.394938,-192.619688,2759.204250,-4.812,-0.000,2.915995,6.913617,-1.591,0,0.000
4200.00,2440.00,98.217359,0.9998844586243421,0.999951,344.471665,-787177.806461,33.676078,151.379825,-192.414705,2758.773087,-4.820,-0.000,2.916337,6.914504,-1.590,0,0.000
4200.00,2438.00,98.203960,0.9998842416280845,0.999951,344.320628,-787463.056716,33.667536,151.364685,-192.209766,2758.341189,-4.827,-0.000,2.916679,6.915392,-1.588,0,0.000
4200.00,2436.00,98.190536,0.9998840241379197,0.999951,344.169455,-787748.216294,33.658991,151.349518,-192.004870,2757.908555,-4.834,0.000,2.917020,6.916281,-1.586,0,0.000
4200.00,2434.00,98.177087,0.9998838061533054,0.999951,344.018146,-788033.284969,33.650441,151.334322,-191.800019,2757.475183,-4.842,-0.000,2.917361,6.917169,-1.585,0,0.000
4200.00,2432.00,98.163613,0.9998835876734389,0.999951,343.866703,-788318.262512,33.641889,151.319099,-191.595212,2757.041072,-4.849,-0.000,2.917702,6.918058,-1.583,0,0.000
4200.00,2430.00,98.150113,0.9998833686979542,0.999951,343.715123,-788603.148697,33.633332,151.303847,-191.390449,2756.606220,-4.856,-0.000,2.918043,6.918947,-1.582,0,0.000
4200.00,2428.00,98.136587,0.9998831492260972,0.999951,343.563407,-788887.943295,33.624771,151.288568,-191.185731,2756.170626,-4.864,-0.000,2.918383,6.919836,-1.580,0,0.000
4200.00,2426.00,98.123036,0.9998829292572625,0.999951,343.411556,-789172.646078,33.616207,151.273261,-190.981059,2755.734287,-4.871,0.000,2.918723,6.920725,-1.578,0,0.000
4200.00,2424.00,98.109459,0.9998827087907274,0.999951,343.259568,-789457.256816,33.607639,151.257925,-190.776432,2755.297203,-4.878,-0.000,2.919063,6.921615,-1.577,0,0.000
4200.00,2422.00,98.095856,0.9998824878264120,0.999950,343.107443,-789741.775280,33.599067,151.242562,-190.571850,2754.859371,-4.886,0.000,2.919402,6.922505,-1.575,0,0.000
4200.00,2420.00,98.082227,0.9998822663629546,0.999950,342.955182,-790026.201241,33.590491,151.227170,-190.367314,2754.420791,-4.893,0.000,2.919741,6.923395,-1.573,0,0.000
4200.00,2418.00,98.068573,0.9998820444002648,0.999950,342.802784,-790310.534467,33.581912,151.211750,-190.162825,2753.981461,-4.900,-0.000,2.920080,6.924285,-1.572,0,0.000
4200.00,2416.00,98.054893,0.9998818219376389,0.999950,342.650248,-790594.774727,33.573329,151.196302,-189.958382,2753.541379,-4.908,-0.000,2.920419,6.925176,-1.570,0,0.000
4200.00,2414.00,98.041187,0.9998815989744936,0.999950,342.497576,-790878.921791,33.564742,151.180826,-189.753986,2753.100543,-4.915,-0.000,2.920758,6.926067,-1.569,0,0.000
4200.00,2412.00,98.027455,0.9998813755102799,0.999950,342.344765,-791162.975426,33.556151,151.165321,-189.549636,2752.658952,-4.923,0.000,2.921096,6.926958,-1.567,0,0.000
4200.00,2410.00,98.013697,0.9998811515443496,0.999950,342.191818,-791446.935400,33.547556,151.149787,-189.345334,2752.216605,-4.930,0.000,2.921434,6.927849,-1.565,0,0.000
4200.00,2408.00,97.999913,0.9998809270762300,0.999950,342.038732,-791730.801481,33.538957,151.134226,-189.141079,2751.773500,-4.938,-0.000,2.921771,6.928740,-1.564,0,0.000
