Title:,HD78964B

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,104.816281,0.9479255190353089,0.977305,361.870442,-769916.760664,34.915882,157.202883,-200.999394,2838.317639,-4.606,0.000,2.911723,6.887969,-1.639,0,0.000
4200.00,2498.00,99.356068,0.9998889043136077,0.999953,351.040988,-780128.703911,34.116512,152.586354,-200.393727,2787.315280,-4.613,-0.000,2.912071,6.888850,-1.637,0,0.000
4200.00,2496.00,99.343065,0.9998886961311866,0.999953,350.892289,-780417.653051,34.107972,152.571638,-200.184479,2786.894107,-4.620,0.000,2.912418,6.889732,-1.636,0,0.000
4200.00,2494.00,99.330038,0.9998884874553718,0.999953,350.743457,-780706.515564,34.099429,152.556894,-199.975268,2786.472220,-4.627,-0.000,2.912766,6.890614,-1.634,0,0.000
4200.00,2492.00,99.316986,0.9998882782844295,0.999953,350.594494,-780995.291228,34.090881,152.542124,-199.766094,2786.049615,-4.634,-0.000,2.913113,6.891495,-1.632,0,0.000
4200.00,2490.00,99.303909,0.9998880686189443,0.999953,350.445398,-781283.979822,34.082330,152.527327,-199.556958,2785.626293,-4.641,-0.000,2.913460,6.892378,-1.631,0,0.000
4200.00,2488.00,99.290807,0.9998878584571291,0.999953,350.296170,-781572.581124,34.073775,152.512502,-199.347860,2785.202250,-4.648,0.000,2.913806,6.893260,-1.629,0,0.000
4200.00,2486.00,99.277681,0.9998876477984404,0.999953,350.146809,-781861.094910,34.065217,152.497651,-199.138800,2784.777486,-4.655,-0.000,2.914153,6.894142,-1.628,0,0.000
4200.00,2484.00,99.264529,0.9998874366420839,0.999952,349.997315,-782149.520958,34.056654,152.482772,-198.929779,2784.351999,-4.662,0.000,2.914499,6.895025,-1.626,0,0.000
4200.00,2482.00,99.251352,0.9998872249872701,0.999952,349.847688,-782437.859045,34.048089,152.467866,-198.720797,2783.925787,-4.669,0.000,2.914845,6.895908,-1.625,0,0.000
4200.00,2480.00,99.238151,0.9998870128331735,0.999952,349.697928,-782726.108946,34.039519,152.452932,-198.511853,2783.498849,-4.676,-0.000,2.915190,6.896792,-1.623,0,0.000
4200.00,2478.00,99.224924,0.9998868001790985,0.999952,349.548035,-783014.270437,34.030945,152.437971,-198.302949,2783.071183,-4.683,0.000,2.915536,6.897675,-1.622,0,0.000
4200.00,2476.00,99.211672,0.9998865870238939,0.999952,349.398007,-783302.343292,34.022368,152.422983,-198.094085,2782.642788,-4.690,-0.000,2.915881,6.898559,-1.620,0,0.000
4200.00,2474.00,99.198395,0.9998863733672997,0.999952,349.247846,-783590.327286,34.013787,152.407967,-197.885260,2782.213661,-4.697,-0.000,2.916226,6.899443,-1.618,0,0.000
4200.00,2472.00,99.185093,0.9998861592081981,0.999952,349.097551,-783878.222194,34.005203,152.392923,-197.676475,2781.783801,-4.704,0.000,2.916571,6.900327,-1.617,0,0.000
4200.00,2470.00,99.171765,0.9998859445458808,0.999952,348.947121,-784166.027787,33.996614,152.377852,-197.467730,2781.353207,-4.711,0.000,2.916915,6.901211,-1.615,0,0.000
4200.00,2468.00,99.158412,0.9998857293795699,0.999952,348.796557,-784453.743840,33.988022,152.362753,-197.259025,2780.921877,-4.719,-0.000,2.917259,6.902096,-1.614,0,0.000
4200.00,2466.00,99.145034,0.9998855137084824,0.999952,348.645859,-784741.370124,33.979426,152.347626,-197.050362,2780.489809,-4.726,0.000,2.917603,6.902981,-1.612,0,0.000
4200.00,2464.00,99.131630,0.9998852975318395,0.999952,348.495025,-785028.906411,33.970826,152.332471,-196.841739,2780.057002,-4.733,0.000,2.917947,6.903866,-1.611,0,0.000
4200.00,2462.00,99.118201,0.9998850808489926,0.999951,348.344057,-785316.352473,33.962222,152.317288,-196.633157,2779.623454,-4.740,0.000,2.918290,6.904751,-1.609,0,0.000
