Title:,HIP12147

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,106.594736,0.9544286863826710,0.980431,372.132597,-817580.116731,36.038287,163.408475,-204.339570,2943.807494,-4.606,0.000,2.879374,6.887969,-1.644,0,0.000
4200.00,2498.00,101.735473,0.9999037188706287,0.999960,362.478228,-826715.540685,35.326066,159.300055,-203.778367,2898.419466,-4.613,-0.000,2.879737,6.888850,-1.642,0,0.000
4200.00,2496.00,101.724072,0.9999035530724462,0.999960,362.329418,-827019.786768,35.317660,159.287118,-203.569965,2898.047300,-4.620,0.000,2.880099,6.889732,-1.641,0,0.000
4200.00,2494.00,101.712651,0.9999033869267071,0.999960,362.180483,-827323.958326,35.309251,159.274160,-203.361599,2897.674553,-4.627,-0.000,2.880461,6.890614,-1.639,0,0.000
4200.00,2492.00,101.701210,0.9999032204320464,0.999960,362.031423,-827628.055185,35.300840,159.261179,-203.153269,2897.301226,-4.634,-0.000,2.880823,6.891495,-1.638,0,0.000
4200.00,2490.00,101.689748,0.9999030535889220,0.999959,361.882238,-827932.077169,35.292425,159.248176,-202.944974,2896.927315,-4.641,-0.000,2.881185,6.892378,-1.636,0,0.000
4200.00,2488.00,101.678266,0.9999028863968440,0.999959,361.732929,-828236.024100,35.284008,159.235152,-202.736715,2896.552821,-4.648,0.000,2.881547,6.893260,-1.635,0,0.000
4200.00,2486.00,101.666764,0.9999027188555408,0.999959,361.583494,-828539.895804,35.275587,159.222105,-202.528491,2896.177743,-4.655,-0.000,2.881908,6.894142,-1.633,0,0.000
4200.00,2484.00,101.655241,0.9999025509647181,0.999959,361.433933,-828843.692103,35.267164,159.209035,-202.320305,2895.802078,-4.662,0.000,2.882270,6.895025,-1.631,0,0.000
4200.00,2482.00,101.643698,0.9999023827241478,0.999959,361.284247,-829147.412820,35.258738,159.195944,-202.112154,2895.425826,-4.669,0.000,2.882631,6.895908,-1.630,0,0.000
