Title:,CD-571633

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.086597,1.0000000000000000,1.000000,376.148941,-1039550.796958,37.404165,-nan,-122.183333,2736.349239,-0.124,-0.000,2.675814,0.000000,-1.604,0,0.000
10000.00,2498.00,100.086524,1.0000000000000000,1.000000,376.022004,-1039900.719619,37.398591,-nan,-122.108521,2736.200965,-0.130,0.000,2.676211,0.000000,-1.602,0,0.000
10000.00,2496.00,100.086451,1.0000000000000000,1.000000,375.894978,-1040250.641423,37.393018,-nan,-122.033665,2736.052682,-0.136,-0.000,2.676608,0.000000,-1.601,0,0.000
10000.00,2494.00,100.086379,1.0000000000000000,1.000000,375.767861,-1040600.562374,37.387445,-nan,-121.958765,2735.904389,-0.143,-0.000,2.677005,0.000000,-1.599,0,0.000
10000.00,2492.00,100.086306,1.0000000000000000,1.000000,375.640653,-1040950.482474,37.381872,-nan,-121.883822,2735.756086,-0.149,-0.000,2.677402,0.000000,-1.598,0,0.000
10000.00,2490.00,100.086234,1.0000000000000000,1.000000,375.513355,-1041300.401728,37.376301,-nan,-121.808835,2735.607774,-0.156,0.000,2.677799,0.000000,-1.596,0,0.000
10000.00,2488.00,100.086161,1.0000000000000000,1.000000,375.385967,-1041650.320137,37.370729,-nan,-121.733804,2735.459451,-0.162,-0.000,2.678197,0.000000,-1.595,0,0.000
10000.00,2486.00,100.086089,1.0000000000000000,1.000000,375.258487,-1042000.237704,37.365158,-nan,-121.658730,2735.311118,-0.168,0.000,2.678594,0.000000,-1.594,0,0.000
10000.00,2484.00,100.086017,1.0000000000000000,1.000000,375.130916,-1042350.154434,37.359588,-nan,-121.583612,2735.162774,-0.175,0.000,2.678991,0.000000,-1.592,0,0.000
10000.00,2482.00,100.085944,1.0000000000000000,1.000000,375.003255,-1042700.070330,37.354018,-nan,-121.508450,2735.014420,-0.181,-0.000,2.679389,0.000000,-1.591,0,0.000
10000.00,2480.00,100.085872,1.0000000000000000,1.000000,374.875502,-1043049.985393,37.348448,-nan,-121.433245,2734.866055,-0.188,-0.000,2.679787,0.000000,-1.589,0,0.000
10000.00,2478.00,100.085800,1.0000000000000000,1.000000,374.747657,-1043399.899628,37.342879,-nan,-121.357996,2734.717679,-0.194,0.000,2.680184,0.000000,-1.588,0,0.000
10000.00,2476.00,100.085729,1.0000000000000000,1.000000,374.619721,-1043749.813038,37.337310,-nan,-121.282703,2734.569292,-0.201,-0.000,2.680582,0.000000,-1.586,0,0.000
10000.00,2474.00,100.085657,1.0000000000000000,1.000000,374.491694,-1044099.725625,37.331742,-nan,-121.207366,2734.420894,-0.207,0.000,2.680980,0.000000,-1.585,0,0.000
10000.00,2472.00,100.085585,1.0000000000000000,1.000000,374.363575,-1044449.637394,37.326175,-nan,-121.131986,2734.272485,-0.214,-0.000,2.681378,0.000000,-1.583,0,0.000
10000.00,2470.00,100.085513,1.0000000000000000,1.000000,374.235363,-1044799.548346,37.320607,-nan,-121.056563,2734.124064,-0.220,-0.000,2.681776,0.000000,-1.582,0,0.000
10000.00,2468.00,100.085442,1.0000000000000000,1.000000,374.107060,-1045149.458486,37.315041,-nan,-120.981095,2733.975632,-0.227,0.000,2.682174,0.000000,-1.580,0,0.000
10000.00,2466.00,100.085370,1.0000000000000000,1.000000,373.978664,-1045499.367816,37.309474,-nan,-120.905584,2733.827187,-0.233,-0.000,2.682573,0.000000,-1.579,0,0.000
10000.00,2464.00,100.085299,1.0000000000000000,1.000000,373.850176,-1045849.276341,37.303909,-nan,-120.830029,2733.678731,-0.240,-0.000,2.682971,0.000000,-1.577,0,0.000
10000.00,2462.00,100.085228,1.0000000000000000,1.000000,373.721596,-1046199.184061,37.298343,-nan,-120.754431,2733.530263,-0.246,0.000,2.683369,0.000000,-1.576,0,0.000
10000.00,2460.00,100.085156,1.0000000000000000,1.000000,373.592923,-1046549.090982,37.292778,-nan,-120.678789,2733.381782,-0.253,0.000,2.683768,0.000000,-1.574,0,0.000
10000.00,2458.00,100.085085,1.0000000000000000,1.000000,373.464157,-1046898.997106,37.287214,-nan,-120.603103,2733.233289,-0.259,0.000,2.684166,0.000000,-1.573,0,0.000
10000.00,2456.00,100.085014,1.0000000000000000,1.000000,373.335298,-1047248.902437,37.281650,-nan,-120.527373,2733.084784,-0.266,-0.000,2.684565,0.000000,-1.571,0,0.000
10000.00,2454.00,100.084943,1.0000000000000000,1.000000,373.206347,-1047598.806977,37.276087,-nan,-120.451600,2732.936266,-0.272,-0.000,2.684964,0.000000,-1.570,0,0.000
10000.00,2452.00,100.084872,1.0000000000000000,1.000000,373.077302,-1047948.710730,37.270524,-nan,-120.375783,2732.787735,-0.279,0.000,2.685363,0.000000,-1.568,0,0.000
10000.00,2450.00,100.084801,1.0000000000000000,1.000000,372.948164,-1048298.613700,37.264961,-nan,-120.299922,2732.639191,-0.286,0.000,2.685762,0.000000,-1.567,0,0.000
10000.00,2448.00,100.084731,1.0000000000000000,1.000000,372.818932,-1048648.515888,37.259399,-nan,-120.224018,2732.490634,-0.292,0.000,2.686161,0.000000,-1.565,0,0.000
10000.00,2446.00,100.084660,1.0000000000000000,1.000000,372.689607,-1048998.417299,37.253837,-nan,-120.148070,2732.342063,-0.299,-0.000,2.686560,0.000000,-1.564,0,0.000
10000.00,2444.00,100.084590,1.0000000000000000,1.000000,372.560188,-1049348.317936,37.248276,-nan,-120.072078,2732.193479,-0.305,-0.000,2.686959,0.000000,-1.562,0,0.000
10000.00,2442.00,100.084519,1.0000000000000000,1.000000,372.430675,-1049698.217802,37.242715,-nan,-119.996042,2732.044882,-0.312,0.000,2.687358,0.000000,-1.561,0,0.000
10000.00,2440.00,100.084449,1.0000000000000000,1.000000,372.301068,-1050048.116900,37.237155,-nan,-119.919963,2731.896270,-0.319,0.000,2.687758,0.000000,-1.559,0,0.000
10000.00,2438.00,100.084378,1.0000000000000000,1.000000,372.171367,-1050398.015233,37.231596,-nan,-119.843840,2731.747645,-0.325,-0.000,2.688157,0.000000,-1.558,0,0.000
10000.00,2436.00,100.084308,1.0000000000000000,1.000000,372.041572,-1050747.912806,37.226036,-nan,-119.767673,2731.599006,-0.332,-0.000,2.688557,0.000000,-1.556,0,0.000
10000.00,2434.00,100.084238,1.0000000000000000,1.000000,371.911682,-1051097.809620,37.220477,-nan,-119.691463,2731.450353,-0.339,0.000,2.688956,0.000000,-1.555,0,0.000
10000.00,2432.00,100.084168,1.0000000000000000,1.000000,371.781698,-1051447.705680,37.214919,-nan,-119.615209,2731.301685,-0.345,-0.000,2.689356,0.000000,-1.553,0,0.000
10000.00,2430.00,100.084098,1.0000000000000000,1.000000,371.651619,-1051797.600988,37.209361,-nan,-119.538911,2731.153003,-0.352,0.000,2.689756,0.000000,-1.552,0,0.000
10000.00,2428.00,100.084028,1.0000000000000000,1.000000,371.521446,-1052147.495548,37.203804,-nan,-119.462569,2731.004306,-0.359,-0.000,2.690156,0.000000,-1.550,0,0.000
10000.00,2426.00,100.083958,1.0000000000000000,1.000000,371.391177,-1052497.389363,37.198247,-nan,-119.386183,2730.855594,-0.365,-0.000,2.690556,0.000000,-1.549,0,0.000
10000.00,2424.00,100.083889,1.0000000000000000,1.000000,371.260813,-1052847.282436,37.192690,-nan,-119.309754,2730.706867,-0.372,-0.000,2.690956,0.000000,-1.547,0,0.000
10000.00,2422.00,100.083819,1.0000000000000000,1.000000,371.130354,-1053197.174771,37.187134,-nan,-119.233281,2730.558125,-0.379,0.000,2.691356,0.000000,-1.545,0,0.000
10000.00,2420.00,100.083750,1.0000000000000000,1.000000,370.999799,-1053547.066372,37.181579,-nan,-119.156764,2730.409368,-0.386,0.000,2.691756,0.000000,-1.544,0,0.000
10000.00,2418.00,100.083680,1.0000000000000000,1.000000,370.869149,-1053896.957240,37.176024,-nan,-119.080203,2730.260596,-0.392,-0.000,2.692157,0.000000,-1.542,0,0.000
10000.00,2416.00,100.083611,1.0000000000000000,1.000000,370.738403,-1054246.847380,37.170469,-nan,-119.003599,2730.111808,-0.399,-0.000,2.692557,0.000000,-1.541,0,0.000
10000.00,2414.00,100.083542,1.0000000000000000,1.000000,370.607562,-1054596.736795,37.164915,-nan,-118.926951,2729.963004,-0.406,-0.000,2.692958,0.000000,-1.539,0,0.000
10000.00,2412.00,100.083472,1.0000000000000000,1.000000,370.476624,-1054946.625489,37.159361,-nan,-118.850259,2729.814184,-0.413,0.000,2.693358,0.000000,-1.538,0,0.000
10000.00,2410.00,100.083403,1.0000000000000000,1.000000,370.345590,-1055296.513464,37.153808,-nan,-118.773523,2729.665349,-0.419,-0.000,2.693759,0.000000,-1.536,0,0.000
10000.00,2408.00,100.083334,1.0000000000000000,1.000000,370.214460,-1055646.400723,37.148255,-nan,-118.696744,2729.516497,-0.426,-0.000,2.694160,0.000000,-1.535,0,0.000
10000.00,2406.00,100.083265,1.0000000000000000,1.000000,370.083234,-1055996.287271,37.142703,-nan,-118.619920,2729.367629,-0.433,0.000,2.694561,0.000000,-1.533,0,0.000
10000.00,2404.00,100.083197,1.0000000000000000,1.000000,369.951911,-1056346.173111,37.137151,-nan,-118.543053,2729.218744,-0.440,0.000,2.694962,0.000000,-1.532,0,0.000
10000.00,2402.00,100.083128,1.0000000000000000,1.000000,369.820491,-1056696.058246,37.131600,-nan,-118.466142,2729.069843,-0.447,0.000,2.695363,0.000000,-1.530,0,0.000
10000.00,2400.00,100.083059,1.0000000000000000,1.000000,369.688975,-1057045.942679,37.126049,-nan,-118.389187,2728.920925,-0.453,0.000,2.695764,0.000000,-1.528,0,0.000
10000.00,2398.00,100.082991,1.0000000000000000,1.000000,369.557361,-1057395.826413,37.120499,-nan,-118.312189,2728.771991,-0.460,0.000,2.696165,0.000000,-1.527,0,0.000
10000.00,2396.00,100.082922,1.0000000000000000,1.000000,369.425650,-1057745.709453,37.114949,-nan,-118.235146,2728.623039,-0.467,-0.000,2.696566,0.000000,-1.525,0,0.000
10000.00,2394.00,100.082854,1.0000000000000000,1.000000,369.293842,-1058095.591801,37.109399,-nan,-118.158060,2728.474070,-0.474,-0.000,2.696968,0.000000,-1.524,0,0.000
10000.00,2392.00,100.082785,1.0000000000000000,1.000000,369.161937,-1058445.473461,37.103850,-nan,-118.080930,2728.325084,-0.481,0.000,2.697369,0.000000,-1.522,0,0.000
10000.00,2390.00,100.082717,1.0000000000000000,1.000000,369.029933,-1058795.354436,37.098302,-nan,-118.003756,2728.176080,-0.488,-0.000,2.697771,0.000000,-1.521,0,0.000
10000.00,2388.00,100.082649,1.0000000000000000,1.000000,368.897833,-1059145.234730,37.092753,-nan,-117.926538,2728.027058,-0.495,-0.000,2.698173,0.000000,-1.519,0,0.000
10000.00,2386.00,100.082581,1.0000000000000000,1.000000,368.765634,-1059495.114346,37.087206,-nan,-117.849276,2727.878019,-0.502,-0.000,2.698574,0.000000,-1.517,0,0.000
10000.00,2384.00,100.082513,1.0000000000000000,1.000000,368.633337,-1059844.993287,37.081659,-nan,-117.771970,2727.728962,-0.509,-0.000,2.698976,0.000000,-1.516,0,0.000
10000.00,2382.00,100.082445,1.0000000000000000,1.000000,368.500942,-1060194.871557,37.076112,-nan,-117.694621,2727.579886,-0.515,-0.000,2.699378,0.000000,-1.514,0,0.000
10000.00,2380.00,100.082377,1.0000000000000000,1.000000,368.368449,-1060544.749159,37.070566,-nan,-117.617227,2727.430793,-0.522,0.000,2.699780,0.000000,-1.513,0,0.000
10000.00,2378.00,100.082310,1.0000000000000000,1.000000,368.235857,-1060894.626097,37.065020,-nan,-117.539790,2727.281681,-0.529,-0.000,2.700182,0.000000,-1.511,0,0.000
10000.00,2376.00,100.082242,1.0000000000000000,1.000000,368.103167,-1061244.502374,37.059475,-nan,-117.462309,2727.132550,-0.536,-0.000,2.700584,0.000000,-1.509,0,0.000
10000.00,2374.00,100.082175,1.0000000000000000,1.000000,367.970377,-1061594.377993,37.053930,-nan,-117.384784,2726.983401,-0.543,0.000,2.700987,0.000000,-1.508,0,0.000
10000.00,2372.00,100.082107,1.0000000000000000,1.000000,367.837489,-1061944.252958,37.048386,-nan,-117.307215,2726.834233,-0.550,0.000,2.701389,0.000000,-1.506,0,0.000
10000.00,2370.00,100.082040,1.0000000000000000,1.000000,367.704502,-1062294.127273,37.042842,-nan,-117.229602,2726.685046,-0.557,-0.000,2.701792,0.000000,-1.505,0,0.000
10000.00,2368.00,100.081972,1.0000000000000000,1.000000,367.571416,-1062644.000941,37.037298,-nan,-117.151945,2726.535840,-0.564,-0.000,2.702194,0.000000,-1.503,0,0.000
