Title:,HD134929B

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.118914,1.0000000000000000,1.000000,380.052872,-1005962.838544,37.578204,-nan,-142.809148,2749.832522,-0.124,-0.000,2.664281,0.000000,-1.479,0,0.000
10000.00,2498.00,100.118817,1.0000000000000000,1.000000,379.926124,-1006311.701291,37.572569,-nan,-142.752087,2749.581363,-0.130,0.000,2.664678,0.000000,-1.478,0,0.000
10000.00,2496.00,100.118719,1.0000000000000000,1.000000,379.799286,-1006660.562891,37.566935,-nan,-142.694948,2749.330278,-0.136,-0.000,2.665076,0.000000,-1.476,0,0.000
10000.00,2494.00,100.118622,1.0000000000000000,1.000000,379.672358,-1007009.423348,37.561301,-nan,-142.637731,2749.079267,-0.143,-0.000,2.665473,0.000000,-1.474,0,0.000
10000.00,2492.00,100.118525,1.0000000000000000,1.000000,379.545341,-1007358.282666,37.555669,-nan,-142.580436,2748.828330,-0.149,-0.000,2.665870,0.000000,-1.473,0,0.000
10000.00,2490.00,100.118427,1.0000000000000000,1.000000,379.418233,-1007707.140849,37.550036,-nan,-142.523062,2748.577467,-0.156,0.000,2.666267,0.000000,-1.471,0,0.000
10000.00,2488.00,100.118330,1.0000000000000000,1.000000,379.291035,-1008055.997901,37.544405,-nan,-142.465609,2748.326677,-0.162,-0.000,2.666664,0.000000,-1.469,0,0.000
10000.00,2486.00,100.118233,1.0000000000000000,1.000000,379.163747,-1008404.853825,37.538774,-nan,-142.408079,2748.075960,-0.168,0.000,2.667062,0.000000,-1.468,0,0.000
10000.00,2484.00,100.118137,1.0000000000000000,1.000000,379.036369,-1008753.708627,37.533144,-nan,-142.350470,2747.825315,-0.175,0.000,2.667459,0.000000,-1.466,0,0.000
10000.00,2482.00,100.118040,1.0000000000000000,1.000000,378.908899,-1009102.562310,37.527515,-nan,-142.292783,2747.574743,-0.181,-0.000,2.667857,0.000000,-1.465,0,0.000
10000.00,2480.00,100.117943,1.0000000000000000,1.000000,378.781339,-1009451.414877,37.521887,-nan,-142.235018,2747.324244,-0.188,-0.000,2.668255,0.000000,-1.463,0,0.000
10000.00,2478.00,100.117847,1.0000000000000000,1.000000,378.653688,-1009800.266333,37.516259,-nan,-142.177175,2747.073816,-0.194,0.000,2.668652,0.000000,-1.461,0,0.000
10000.00,2476.00,100.117750,1.0000000000000000,1.000000,378.525947,-1010149.116682,37.510632,-nan,-142.119254,2746.823459,-0.201,-0.000,2.669050,0.000000,-1.460,0,0.000
10000.00,2474.00,100.117654,1.0000000000000000,1.000000,378.398114,-1010497.965928,37.505005,-nan,-142.061255,2746.573174,-0.207,0.000,2.669448,0.000000,-1.458,0,0.000
10000.00,2472.00,100.117558,1.0000000000000000,1.000000,378.270189,-1010846.814075,37.499380,-nan,-142.003178,2746.322959,-0.214,-0.000,2.669846,0.000000,-1.456,0,0.000
10000.00,2470.00,100.117462,1.0000000000000000,1.000000,378.142173,-1011195.661127,37.493755,-nan,-141.945023,2746.072815,-0.220,-0.000,2.670244,0.000000,-1.455,0,0.000
10000.00,2468.00,100.117366,1.0000000000000000,1.000000,378.014066,-1011544.507087,37.488131,-nan,-141.886791,2745.822742,-0.227,0.000,2.670642,0.000000,-1.453,0,0.000
10000.00,2466.00,100.117270,1.0000000000000000,1.000000,377.885867,-1011893.351961,37.482507,-nan,-141.828480,2745.572738,-0.233,-0.000,2.671040,0.000000,-1.451,0,0.000
10000.00,2464.00,100.117174,1.0000000000000000,1.000000,377.757576,-1012242.195751,37.476885,-nan,-141.770092,2745.322804,-0.240,-0.000,2.671438,0.000000,-1.450,0,0.000
10000.00,2462.00,100.117079,1.0000000000000000,1.000000,377.629194,-1012591.038463,37.471263,-nan,-141.711626,2745.072940,-0.246,0.000,2.671836,0.000000,-1.448,0,0.000
10000.00,2460.00,100.116983,1.0000000000000000,1.000000,377.500719,-1012939.880099,37.465641,-nan,-141.653082,2744.823145,-0.253,0.000,2.672235,0.000000,-1.447,0,0.000
10000.00,2458.00,100.116888,1.0000000000000000,1.000000,377.372152,-1013288.720665,37.460021,-nan,-141.594460,2744.573418,-0.259,0.000,2.672633,0.000000,-1.445,0,0.000
10000.00,2456.00,100.116792,1.0000000000000000,1.000000,377.243492,-1013637.560164,37.454401,-nan,-141.535761,2744.323760,-0.266,-0.000,2.673031,0.000000,-1.443,0,0.000
10000.00,2454.00,100.116697,1.0000000000000000,1.000000,377.114741,-1013986.398601,37.448782,-nan,-141.476985,2744.074170,-0.272,-0.000,2.673430,0.000000,-1.442,0,0.000
10000.00,2452.00,100.116602,1.0000000000000000,1.000000,376.985896,-1014335.235979,37.443163,-nan,-141.418130,2743.824649,-0.279,0.000,2.673829,0.000000,-1.440,0,0.000
10000.00,2450.00,100.116507,1.0000000000000000,1.000000,376.856959,-1014684.072302,37.437546,-nan,-141.359199,2743.575194,-0.286,0.000,2.674227,0.000000,-1.438,0,0.000
10000.00,2448.00,100.116412,1.0000000000000000,1.000000,376.727928,-1015032.907575,37.431929,-nan,-141.300190,2743.325808,-0.292,0.000,2.674626,0.000000,-1.437,0,0.000
10000.00,2446.00,100.116317,1.0000000000000000,1.000000,376.598805,-1015381.741802,37.426312,-nan,-141.241103,2743.076488,-0.299,-0.000,2.675025,0.000000,-1.435,0,0.000
10000.00,2444.00,100.116223,1.0000000000000000,1.000000,376.469589,-1015730.574987,37.420697,-nan,-141.181939,2742.827235,-0.305,-0.000,2.675424,0.000000,-1.433,0,0.000
10000.00,2442.00,100.116128,1.0000000000000000,1.000000,376.340279,-1016079.407133,37.415082,-nan,-141.122698,2742.578048,-0.312,0.000,2.675823,0.000000,-1.432,0,0.000
10000.00,2440.00,100.116034,1.0000000000000000,1.000000,376.210876,-1016428.238246,37.409468,-nan,-141.063379,2742.328928,-0.319,0.000,2.676222,0.000000,-1.430,0,0.000
10000.00,2438.00,100.115939,1.0000000000000000,1.000000,376.081379,-1016777.068329,37.403855,-nan,-141.003983,2742.079874,-0.325,-0.000,2.676621,0.000000,-1.428,0,0.000
10000.00,2436.00,100.115845,1.0000000000000000,1.000000,375.951788,-1017125.897387,37.398242,-nan,-140.944510,2741.830885,-0.332,-0.000,2.677020,0.000000,-1.427,0,0.000
10000.00,2434.00,100.115751,1.0000000000000000,1.000000,375.822104,-1017474.725423,37.392630,-nan,-140.884960,2741.581961,-0.339,0.000,2.677419,0.000000,-1.425,0,0.000
10000.00,2432.00,100.115657,1.0000000000000000,1.000000,375.692325,-1017823.552442,37.387019,-nan,-140.825332,2741.333103,-0.345,-0.000,2.677819,0.000000,-1.423,0,0.000
10000.00,2430.00,100.115563,1.0000000000000000,1.000000,375.562452,-1018172.378447,37.381408,-nan,-140.765628,2741.084309,-0.352,0.000,2.678218,0.000000,-1.421,0,0.000
10000.00,2428.00,100.115470,1.0000000000000000,1.000000,375.432485,-1018521.203444,37.375799,-nan,-140.705846,2740.835580,-0.359,-0.000,2.678618,0.000000,-1.420,0,0.000
10000.00,2426.00,100.115376,1.0000000000000000,1.000000,375.302424,-1018870.027437,37.370190,-nan,-140.645987,2740.586915,-0.365,-0.000,2.679017,0.000000,-1.418,0,0.000
10000.00,2424.00,100.115282,1.0000000000000000,1.000000,375.172268,-1019218.850429,37.364581,-nan,-140.586051,2740.338314,-0.372,-0.000,2.679417,0.000000,-1.416,0,0.000
10000.00,2422.00,100.115189,1.0000000000000000,1.000000,375.042017,-1019567.672424,37.358974,-nan,-140.526039,2740.089776,-0.379,0.000,2.679816,0.000000,-1.415,0,0.000
10000.00,2420.00,100.115096,1.0000000000000000,1.000000,374.911671,-1019916.493428,37.353367,-nan,-140.465949,2739.841301,-0.386,0.000,2.680216,0.000000,-1.413,0,0.000
10000.00,2418.00,100.115002,1.0000000000000000,1.000000,374.781231,-1020265.313443,37.347761,-nan,-140.405782,2739.592890,-0.392,-0.000,2.680616,0.000000,-1.411,0,0.000
10000.00,2416.00,100.114909,1.0000000000000000,1.000000,374.650695,-1020614.132475,37.342155,-nan,-140.345539,2739.344541,-0.399,-0.000,2.681016,0.000000,-1.410,0,0.000
10000.00,2414.00,100.114816,1.0000000000000000,1.000000,374.520064,-1020962.950528,37.336550,-nan,-140.285219,2739.096255,-0.406,-0.000,2.681416,0.000000,-1.408,0,0.000
10000.00,2412.00,100.114723,1.0000000000000000,1.000000,374.389337,-1021311.767606,37.330946,-nan,-140.224822,2738.848031,-0.413,0.000,2.681816,0.000000,-1.406,0,0.000
10000.00,2410.00,100.114631,1.0000000000000000,1.000000,374.258515,-1021660.583713,37.325343,-nan,-140.164348,2738.599868,-0.419,-0.000,2.682216,0.000000,-1.404,0,0.000
10000.00,2408.00,100.114538,1.0000000000000000,1.000000,374.127597,-1022009.398853,37.319741,-nan,-140.103797,2738.351768,-0.426,-0.000,2.682616,0.000000,-1.403,0,0.000
10000.00,2406.00,100.114445,1.0000000000000000,1.000000,373.996583,-1022358.213031,37.314139,-nan,-140.043170,2738.103728,-0.433,0.000,2.683016,0.000000,-1.401,0,0.000
10000.00,2404.00,100.114353,1.0000000000000000,1.000000,373.865473,-1022707.026251,37.308538,-nan,-139.982466,2737.855750,-0.440,0.000,2.683417,0.000000,-1.399,0,0.000
10000.00,2402.00,100.114261,1.0000000000000000,1.000000,373.734267,-1023055.838517,37.302937,-nan,-139.921685,2737.607832,-0.447,0.000,2.683817,0.000000,-1.398,0,0.000
10000.00,2400.00,100.114169,1.0000000000000000,1.000000,373.602965,-1023404.649834,37.297337,-nan,-139.860828,2737.359974,-0.453,0.000,2.684218,0.000000,-1.396,0,0.000
10000.00,2398.00,100.114076,1.0000000000000000,1.000000,373.471566,-1023753.460206,37.291738,-nan,-139.799895,2737.112177,-0.460,0.000,2.684618,0.000000,-1.394,0,0.000
10000.00,2396.00,100.113984,1.0000000000000000,1.000000,373.340071,-1024102.269637,37.286140,-nan,-139.738884,2736.864440,-0.467,-0.000,2.685019,0.000000,-1.392,0,0.000
10000.00,2394.00,100.113893,1.0000000000000000,1.000000,373.208479,-1024451.078131,37.280543,-nan,-139.677798,2736.616762,-0.474,-0.000,2.685419,0.000000,-1.391,0,0.000
10000.00,2392.00,100.113801,1.0000000000000000,1.000000,373.076790,-1024799.885694,37.274946,-nan,-139.616635,2736.369143,-0.481,0.000,2.685820,0.000000,-1.389,0,0.000
10000.00,2390.00,100.113709,1.0000000000000000,1.000000,372.945003,-1025148.692329,37.269350,-nan,-139.555395,2736.121584,-0.488,-0.000,2.686221,0.000000,-1.387,0,0.000
10000.00,2388.00,100.113618,1.0000000000000000,1.000000,372.813120,-1025497.498040,37.263754,-nan,-139.494079,2735.874083,-0.495,-0.000,2.686622,0.000000,-1.385,0,0.000
10000.00,2386.00,100.113526,1.0000000000000000,1.000000,372.681139,-1025846.302832,37.258160,-nan,-139.432687,2735.626640,-0.502,-0.000,2.687023,0.000000,-1.384,0,0.000
10000.00,2384.00,100.113435,1.0000000000000000,1.000000,372.549061,-1026195.106710,37.252566,-nan,-139.371218,2735.379256,-0.509,-0.000,2.687424,0.000000,-1.382,0,0.000
10000.00,2382.00,100.113344,1.0000000000000000,1.000000,372.416886,-1026543.909677,37.246972,-nan,-139.309673,2735.131929,-0.515,-0.000,2.687825,0.000000,-1.380,0,0.000
10000.00,2380.00,100.113253,1.0000000000000000,1.000000,372.284612,-1026892.711738,37.241380,-nan,-139.248052,2734.884661,-0.522,0.000,2.688226,0.000000,-1.378,0,0.000
10000.00,2378.00,100.113162,1.0000000000000000,1.000000,372.152241,-1027241.512898,37.235788,-nan,-139.186355,2734.637449,-0.529,-0.000,2.688627,0.000000,-1.377,0,0.000
10000.00,2376.00,100.113071,1.0000000000000000,1.000000,372.019771,-1027590.313161,37.230197,-nan,-139.124581,2734.390294,-0.536,-0.000,2.689029,0.000000,-1.375,0,0.000
10000.00,2374.00,100.112980,1.0000000000000000,1.000000,371.887203,-1027939.112531,37.224607,-nan,-139.062732,2734.143197,-0.543,0.000,2.689430,0.000000,-1.373,0,0.000
10000.00,2372.00,100.112890,1.0000000000000000,1.000000,371.754537,-1028287.911012,37.219017,-nan,-139.000806,2733.896155,-0.550,0.000,2.689832,0.000000,-1.371,0,0.000
10000.00,2370.00,100.112799,1.0000000000000000,1.000000,371.621772,-1028636.708610,37.213428,-nan,-138.938804,2733.649170,-0.557,-0.000,2.690233,0.000000,-1.370,0,0.000
10000.00,2368.00,100.112709,1.0000000000000000,1.000000,371.488909,-1028985.505329,37.207840,-nan,-138.876726,2733.402241,-0.564,-0.000,2.690635,0.000000,-1.368,0,0.000
10000.00,2366.00,100.112619,1.0000000000000000,1.000000,371.355946,-1029334.301172,37.202252,-nan,-138.814572,2733.155367,-0.571,-0.000,2.691037,0.000000,-1.366,0,0.000
10000.00,2364.00,100.112528,1.0000000000000000,1.000000,371.222885,-1029683.096146,37.196665,-nan,-138.752342,2732.908548,-0.578,-0.000,2.691438,0.000000,-1.364,0,0.000
10000.00,2362.00,100.112438,1.0000000000000000,1.000000,371.089725,-1030031.890253,37.191079,-nan,-138.690036,2732.661785,-0.585,0.000,2.691840,0.000000,-1.363,0,0.000
10000.00,2360.00,100.112349,1.0000000000000000,1.000000,370.956465,-1030380.683498,37.185494,-nan,-138.627654,2732.415076,-0.592,0.000,2.692242,0.000000,-1.361,0,0.000
10000.00,2358.00,100.112259,1.0000000000000000,1.000000,370.823106,-1030729.475887,37.179909,-nan,-138.565196,2732.168422,-0.599,0.000,2.692644,0.000000,-1.359,0,0.000
10000.00,2356.00,100.112169,1.0000000000000000,1.000000,370.689647,-1031078.267423,37.174325,-nan,-138.502662,2731.921822,-0.607,0.000,2.693046,0.000000,-1.357,0,0.000
10000.00,2354.00,100.112079,1.0000000000000000,1.000000,370.556089,-1031427.058111,37.168742,-nan,-138.440053,2731.675277,-0.614,-0.000,2.693448,0.000000,-1.355,0,0.000
10000.00,2352.00,100.111990,1.0000000000000000,1.000000,370.422430,-1031775.847955,37.163160,-nan,-138.377367,2731.428784,-0.621,0.000,2.693850,0.000000,-1.354,0,0.000
10000.00,2350.00,100.111901,1.0000000000000000,1.000000,370.288672,-1032124.636961,37.157578,-nan,-138.314606,2731.182345,-0.628,0.000,2.694253,0.000000,-1.352,0,0.000
10000.00,2348.00,100.111811,1.0000000000000000,1.000000,370.154813,-1032473.425132,37.151997,-nan,-138.251769,2730.935959,-0.635,0.000,2.694655,0.000000,-1.350,0,0.000
10000.00,2346.00,100.111722,1.0000000000000000,1.000000,370.020854,-1032822.212473,37.146416,-nan,-138.188857,2730.689627,-0.642,-0.000,2.695057,0.000000,-1.348,0,0.000
10000.00,2344.00,100.111633,1.0000000000000000,1.000000,369.886794,-1033170.998989,37.140837,-nan,-138.125868,2730.443346,-0.649,0.000,2.695460,0.000000,-1.346,0,0.000
10000.00,2342.00,100.111544,1.0000000000000000,1.000000,369.752634,-1033519.784684,37.135258,-nan,-138.062804,2730.197118,-0.656,-0.000,2.695862,0.000000,-1.345,0,0.000
