Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD13808,10000.00,1128.00,2.124316,5.410834,-24262.780743,0.753955,2.982707,4.179,57.5842,1.85956,15.2229,1.73249,0,14.8666,0.855768,5.35289,2.52562
HD181428,10000.00,1128.00,1.830277,4.681613,-21016.552418,0.654417,2.569735,4.315,58.919,2.077,14.6689,1.6823,0,14.1615,0.908529,4.67764,2.90517
HD121504,10000.00,1128.00,3.150494,8.024294,-36228.857946,1.119205,4.437607,4.174,57.4127,2.53671,15.2276,1.6686,0,13.9871,1.00727,5.75428,2.40565
HD30278,10000.00,1128.00,2.947877,7.498269,-33817.566083,1.044895,4.150551,4.140,57.0502,2.30636,15.4755,1.6902,0,14.3499,0.969141,5.85624,2.30245
HD203413,10000.00,1128.00,3.097512,7.884596,-35485.813449,1.098775,4.357018,4.151,57.3027,2.24659,15.1897,1.7105,0,14.4227,0.926817,5.79483,2.4061
HD106275,10000.00,1128.00,2.477597,6.313770,-28509.984216,0.880964,3.489785,4.193,57.5776,2.55747,15.1795,1.66094,0,13.9089,1.01589,5.64867,2.45112
HD221356,10000.00,1128.00,2.616286,6.657074,-30048.019950,0.928034,3.684798,4.155,57.1441,2.35031,15.5129,1.67584,0,14.2416,0.991684,5.76561,2.31792
HD208672,10000.00,1128.00,3.101002,7.893645,-35700.982800,1.101039,4.371273,4.173,57.2196,2.51774,15.5692,1.64773,0,13.9782,1.04552,5.7026,2.31941
CD-4512460,10000.00,1128.00,3.278397,8.335077,-37782.035578,1.161925,4.626016,4.127,56.7598,2.86205,15.6101,1.64011,0,13.7636,1.04835,6.13128,2.18479
HD21977,10000.00,1128.00,3.194314,8.136464,-36728.038711,1.134855,4.498915,4.175,57.4371,2.53265,15.1967,1.67068,0,13.9922,1.00297,5.75202,2.41565
HD20492,10000.00,1128.00,1.338251,3.413297,-15136.917151,0.474696,1.870500,4.152,57.9998,1.4382,14.386,1.84419,0,15.7076,0.66894,5.10525,2.84997
HD211369,10000.00,1128.00,0.979861,2.499737,-11124.726875,0.348005,1.371532,4.169,58.0749,1.67978,14.3554,1.81411,0,15.2538,0.726632,5.28579,2.80961
HD96116,10000.00,1128.00,2.078706,5.292826,-23776.520508,0.737497,2.921413,4.157,57.4291,2.10881,15.0958,1.72742,0,14.596,0.888914,5.68869,2.46522
HD214094,10000.00,1128.00,3.057683,7.789014,-35164.103735,1.086466,4.306694,4.178,57.4568,2.54506,15.1945,1.66834,0,13.9694,1.00688,5.73897,2.42005
HD160836,10000.00,1128.00,2.540089,6.463991,-29174.196820,0.901205,3.577243,4.161,57.1898,2.32734,15.5236,1.67436,0,14.2499,0.990873,5.71411,2.33003
HD218379,10000.00,1128.00,2.321799,5.921086,-26632.347713,0.826180,3.264037,4.218,57.9211,2.18526,15.0415,1.69391,0,14.3039,0.929335,5.33869,2.58627
HD224230,10000.00,1128.00,0.929788,2.384676,-10531.598674,0.332499,1.297031,4.259,59.6762,1.54965,13.1566,1.85791,0,15.2036,0.648751,4.43448,3.47282
HD13789,10000.00,1128.00,2.305833,5.869760,-26248.851774,0.816944,3.234584,4.129,57.3912,1.84259,14.8953,1.78062,0,15.0791,0.795951,5.69125,2.5239
HD19423,10000.00,1128.00,3.014669,7.668742,-34590.670227,1.068736,4.244765,4.143,57.073,2.31028,15.4833,1.68756,0,14.333,0.972821,5.83321,2.30688
HD750,10000.00,1128.00,1.938361,4.933091,-22067.437147,0.686538,2.719477,4.127,57.3167,1.82057,15.0004,1.77661,0,15.1087,0.801115,5.68155,2.4944
HD101367,10000.00,1128.00,1.414455,3.615677,-16288.649780,0.505477,1.989257,4.299,58.6466,2.36055,14.8183,1.65193,0,13.8283,0.983337,4.93077,2.78027
HD149724,10000.00,1128.00,1.741013,4.452759,-19930.742550,0.621993,2.441364,4.301,58.9065,1.8765,14.5991,1.71369,0,14.5006,0.848202,4.60903,2.94637
HD91267,10000.00,1128.00,1.981528,5.049668,-22622.723914,0.703713,2.781033,4.188,57.7462,1.84606,15.0761,1.73932,0,14.8723,0.841291,5.29057,2.5882
HD57568,10000.00,1128.00,0.186242,0.496956,-1998.398463,0.067166,0.259803,3.029,56.9286,0.267564,8.70857,3.04583,0,16.72,1.39335,1.47298,11.4631
HD18822,10000.00,1128.00,1.588865,4.046772,-18076.199033,0.563289,2.227598,4.144,57.5667,1.76988,14.8272,1.78516,0,15.1497,0.780015,5.53011,2.59115
HD106589,10000.00,1128.00,3.345939,8.516544,-38362.975223,1.186969,4.708300,4.151,57.2694,2.31432,15.2258,1.70152,0,14.3328,0.945798,5.82348,2.38684
HD109723,10000.00,1128.00,2.060908,5.242370,-23528.692665,0.729973,2.895271,4.140,57.1589,1.86219,15.4466,1.73492,0,14.9557,0.864428,5.58886,2.38833
HD15337,10000.00,1128.00,1.984035,5.062605,-22744.364908,0.706569,2.787421,4.240,58.1322,2.06144,15.0167,1.69725,0,14.4031,0.907785,5.12182,2.65965
HD14452,10000.00,1128.00,2.896294,7.597970,-32031.425840,1.011723,4.248204,1.446,37.6505,0.449979,17.4555,3.71074,0,10.8048,0.589503,15.9969,13.3421
HD16141,10000.00,1128.00,2.877517,7.321639,-33010.415388,1.020516,4.050581,4.155,57.1698,2.23815,15.5018,1.68739,0,14.3851,0.964851,5.71738,2.33553
HD203897,10000.00,1128.00,1.405392,3.580605,-16006.901706,0.498606,1.970938,4.158,57.6646,1.82204,14.8247,1.77337,0,15.0272,0.79752,5.48454,2.60592
HD106116,10000.00,1128.00,2.555739,6.511859,-29375.802959,0.908702,3.597594,4.214,57.6154,2.21236,15.5213,1.66087,0,14.2317,0.988221,5.32014,2.44997
HD204287,10000.00,1128.00,2.805770,7.137223,-32149.680913,0.994463,3.948156,4.143,57.1022,2.17905,15.4705,1.70116,0,14.504,0.941656,5.77317,2.32826
HD23030,10000.00,1128.00,1.584051,4.044664,-18180.890971,0.564701,2.226125,4.244,58.3003,2.27967,14.7007,1.69476,0,14.1259,0.925954,5.25798,2.71481
HD38772,10000.00,1128.00,2.699008,6.870629,-31007.141514,0.958159,3.800620,4.177,57.3049,2.28088,15.5541,1.66914,0,14.255,0.99161,5.5846,2.35982
HIP9398,10000.00,1128.00,2.166986,5.835511,-23866.513100,0.772575,3.155900,1.810,41.1508,0.525535,18.7888,3.41747,0,12.0803,1.15519,6.46787,16.414
HD139879,10000.00,1128.00,0.550896,1.480986,-6010.235216,0.197708,0.788136,2.593,50.7377,0.240681,13.4002,2.96234,0,15.075,2.85035,1.44371,13.2899
HD165131,10000.00,1128.00,2.650730,6.755055,-30453.556872,0.942634,3.730190,4.217,57.6804,2.18366,15.4537,1.66688,0,14.2677,0.974796,5.29569,2.47719
HD212918,10000.00,1128.00,3.559246,9.054385,-40925.678924,1.262163,5.016475,4.142,57.0172,2.52983,15.507,1.66544,0,14.0662,1.024,5.91517,2.27511
HD68978A,10000.00,1128.00,3.174269,8.084538,-36496.783184,1.127566,4.470878,4.173,57.4045,2.52363,15.2302,1.67024,0,14.006,1.0041,5.75726,2.40409
HD119629,10000.00,1128.00,6.225903,15.802043,-70280.086045,2.169117,8.752561,3.739,54.1429,4.29198,15.1364,1.78063,0,15.3519,1.13637,5.91658,2.24326
