Title:,2M18561467+4530246

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(IW-1.4),rhol,rhos,viscosity,aH2O,chisqr
4200.00,2500.00,106.389251,0.9502581058322401,0.978429,368.720556,-792995.279849,35.617214,160.816850,-204.269853,2893.528285,-4.606,0.000,2.901015,6.887969,-1.641,0,0.000
4200.00,2498.00,101.095393,0.9998943884249968,0.999956,358.215042,-802913.058281,34.841917,156.340976,-203.673840,2844.080236,-4.613,-0.000,2.901368,6.888850,-1.639,0,0.000
4200.00,2496.00,101.082855,0.9998941960383917,0.999955,358.065007,-803210.039141,34.833366,156.326773,-203.462174,2843.672992,-4.620,0.000,2.901720,6.889732,-1.638,0,0.000
4200.00,2494.00,101.070293,0.9998940032136870,0.999955,357.914841,-803506.937015,34.824812,156.312545,-203.250544,2843.265078,-4.627,-0.000,2.902071,6.890614,-1.636,0,0.000
4200.00,2492.00,101.057709,0.9998938099500501,0.999955,357.764545,-803803.751697,34.816254,156.298291,-203.038952,2842.856490,-4.634,-0.000,2.902423,6.891495,-1.635,0,0.000
4200.00,2490.00,101.045101,0.9998936162465946,0.999955,357.614119,-804100.482979,34.807693,156.284011,-202.827397,2842.447228,-4.641,-0.000,2.902774,6.892378,-1.633,0,0.000
4200.00,2488.00,101.032470,0.9998934221031827,0.999955,357.463562,-804397.130654,34.799128,156.269706,-202.615880,2842.037291,-4.648,0.000,2.903126,6.893260,-1.632,0,0.000
4200.00,2486.00,101.019815,0.9998932275191849,0.999955,357.312873,-804693.694517,34.790560,156.255375,-202.404401,2841.626676,-4.655,-0.000,2.903476,6.894142,-1.630,0,0.000
4200.00,2484.00,101.007137,0.9998930324931208,0.999955,357.162054,-804990.174358,34.781988,156.241019,-202.192959,2841.215382,-4.662,0.000,2.903827,6.895025,-1.629,0,0.000
4200.00,2482.00,100.994435,0.9998928370257789,0.999955,357.011103,-805286.569969,34.773413,156.226637,-201.981556,2840.803409,-4.669,0.000,2.904178,6.895908,-1.627,0,0.000
4200.00,2480.00,100.981710,0.9998926411156596,0.999955,356.860020,-805582.881142,34.764834,156.212229,-201.770192,2840.390754,-4.676,-0.000,2.904528,6.896792,-1.625,0,0.000
4200.00,2478.00,100.968961,0.9998924447624031,0.999955,356.708805,-805879.107667,34.756252,156.197796,-201.558867,2839.977416,-4.683,0.000,2.904878,6.897675,-1.624,0,0.000
4200.00,2476.00,100.956188,0.9998922479654163,0.999955,356.557459,-806175.249336,34.747667,156.183337,-201.347580,2839.563394,-4.690,-0.000,2.905228,6.898559,-1.622,0,0.000
4200.00,2474.00,100.943392,0.9998920507241718,0.999955,356.405981,-806471.305936,34.739078,156.168851,-201.136333,2839.148685,-4.697,-0.000,2.905578,6.899443,-1.621,0,0.000
