Star,Mass
Sun,1.92847
BD+062932,3.110244
BD+063077,
BD+083095,
BD-002387,9.087361
BD-010184,4.805613
BD-012505,3.07658
BD-033746,5.494756
BD-034797,3.299186
BD-044138,2.416143
BD-050484,
BD-050578,2.300094
BD-053176,3.132799
BD-053596,1.967516
BD-054065,1.449462
BD-060904,1.830064
BD-063481,2.168451
BD-064196,3.826421
BD-064756,1.775438
BD-082534,
BD-082823,3.87984
BD-090872,1.823457
BD-091261,3.139362
BD-092670,1.954706
BD-094191,2.269284
BD-112763,2.156104
BD-120327,
BD-123458,
BD-130116,3.008866
BD-130321,3.772156
BD-131161,5.021244
BD-140184,
BD-145003,
BD-160308,
BD-160931,6.381442
BD-170063,
BD-173242,1.266529
BD-195953,4.677685
BD-213153,2.573856
BD-223528,2.529621
CD-2310879,5.410461
CD-436810,
CD-4512460,3.737844
CD-452997,
CD-571633,7.513053
HD10002,1.951686
HD100289,1.519243
HD100508,2.585932
HD100777,
HD101339,2.224887
HD101367,1.722593
HD101581,1.71296
HD101612,2.396242
HD101644,1.296212
HD101650,
HD10166,
HD10180,2.046692
HD101930,0.974714
HD102117,2.18828
HD102136,2.375474
HD102300,
HD102365,
HD102438,
HD102843,2.734104
HD103197,1.527574
HD103720,3.714175
HD103891,
HD103949,2.042857
HD104006,
HD104067,1.387699
HD104263,
HD104760A,2.50498
HD104800,
HD104982,2.007703
HD105004,
HD105671,4.067735
HD105779,2.160685
HD105837,
HD105938,4.493835
HD106116,1.729515
HD106275,2.85345
HD106290,4.542912
HD10647,3.710955
HD106589,3.148356
HD10700,
HD107094,
HD107148,1.217827
HD108063,0.361477
HD108147,4.20361
HD108309,2.22008
HD108341,3.511768
HD108564,
HD108768,2.090308
HD108935,1.025226
HD10895,1.107593
HD109098,2.302883
HD109200,
HD109271,2.845977
HD109310,
HD109368,1.772624
HD109409,1.705925
HD109423,3.459618
HD109684,
HD109723,1.716709
HD109988,
HD110291,1.93492
HD110557,1.667736
HD110619,
HD110668,3.125674
HD111031,1.986191
HD111232,
HD111515,
HD111564,1.961749
HD111777,
HD112100,1.527995
HD11226,2.198987
HD112283,2.723199
HD112540,2.877326
HD113101,
HD113513,7.426195
HD113569,1.329971
HD113679,
HD11397,
HD114076,
HD114386,1.741096
HD114561,2.353981
HD114613,1.767807
HD114729,
HD114747,
HD114783,
HD114853,2.944567
HD11505,
HD115341,2.343394
HD115499,1.944989
HD115585,0.475728
HD115617,2.105315
HD115674,1.982432
HD115773,2.734904
HD115902,2.361801
HD11608,5.704465
HD116259,
HD116284,2.963364
HD116410,2.281183
HD11683,0.992553
HD116858,2.817513
HD116883,1.899874
HD116920,2.29243
HD116963,5.395229
HD1171,
HD117105,
HD117207,1.883741
HD117359,2.123363
HD117618,2.135684
HD117938,2.014914
HD118466,3.286258
HD118563,2.070212
HD119173,
HD119291,0.555584
HD11938,4.638746
HD119503,4.895243
