Star,Mass
2M19481670+4031304,1.174505
2M19040872+4936522,3.439059
2M18590868+4825236,
2M19441136+4244348,3.960568
2M19220642+3808347,3.489629
2M19342609+4211516,
2M19283191+4132511,
2M19313914+4103393,
2M19312961+4257580,3.838372
2M19491018+4958538,3.02106
2M19342205+4105425,1.618209
2M19342073+4255440,5.517389
2M19253263+4159249,2.468557
2M19052120+4844387,2.319938
2M18561431+4431052,
2M19284485+4143373,4.404196
2M19353364+4231408,
2M19284107+4054587,9.732243
2M19284793+4202459,4.920001
2M19405434+5033323,4.316605
2M19505021+4804508,1.796292
2M19174175+4643342,1.299111
2M19343286+4249298,2.583594
2M19364610+3937084,3.874383
2M19240775+4902249,51.829821
2M19063321+3929164,1.379491
2M19144528+4109042,5.126628
2M19262685+4206574,0.556617
2M19004979+4523036,2.083298
2M19340476+4116386,8.236025
2M19492496+4118001,1.398037
2M19325217+4243145,9.630941
2M19322220+4121198,5.514109
2M19562938+4152003,1.020588
2M19202447+4815040,3.274958
2M19394766+4626191,1.69111
Sun,1.92847
2M19353074+4139423,
2M19542140+4045024,6.59795
2M19331737+4252028,2.332831
2M19394922+4408593,1.265266
2M19415676+5100486,0.783991
2M19004386+4349519,
2M19010446+4833360,1.270101
2M19004559+4601406,3.166271
2M19370743+4217274,1.196241
2M19285614+4134307,2.153588
2M19274845+4304289,2.381533
2M19254047+3907387,1.942668
2M19344207+4117432,
2M18561467+4530246,0.993712
2M19295476+4208322,1.029166
2M19255247+4020378,1.892317
2M19155629+4003522,0.921654
2M19263232+4150019,
2M19294569+4312339,3.136259
2M19140739+4056322,0.872744
2M19571668+4123047,1.6989
2M19233947+4217116,5.38925
2M19510878+4753100,1.264334
2M19162065+4133465,3.737272
2M19253372+4210501,5.702849
2M19310830+4312575,1.67226
2M19384178+4204321,4.047672
2M19290877+4204208,
2M19254039+3840204,1.591993
2M19342430+4222471,3.329777
2M19421779+4248231,2.317269
2M19294013+4125007,1.965488
2M19351783+4246469,
2M19344300+4651099,1.739829
2M18523616+4508233,3.233533
2M18575579+4423529,3.997858
2M19322256+4253471,1.589376
2M18473976+4246318,3.430102
2M19282524+4222491,3.213944
2M19300081+4304593,0.922759
2M19283906+4101236,2.034843
2M19092707+3838585,1.663921
2M19275056+4225588,1.569375
2M19443187+4858386,1.525184
2M18585736+4935542,2.077172
2M19455215+4235555,
2M19260389+4214535,
2M19383520+4153027,2.417261
2M19071403+4918590,1.215335
2M19165219+4753040,0.552488
2M19351595+4212449,4.98247
2M19432625+4756222,1.065267
2M19214099+3751064,1.870678
2M19095484+3813438,3.174134
2M19293325+4213597,2.107639
2M19223006+4452262,
2M19331205+4131240,5.671577
2M19330298+4121544,3.187666
2M19263381+4114277,1.006679
2M19360227+4252507,3.444359
2M19103720+3914394,
2M19263090+4112309,
2M19480452+5024323,1.463284
2M19092683+3842505,2.81249
2M19322962+4056051,6.453638
2M19024305+5014286,
2M18444674+4729496,1.41566
2M19315309+4102087,1.897695
2M19244068+4238269,10.851093
2M19104752+4220194,2.780768
2M19283288+4225459,0.766503
2M19011470+4750549,2.565149
2M19290865+4054489,0.772779
2M19022767+5008087,
2M18495813+4358487,1.000964
2M19345452+4248243,
2M19324327+4137039,0.840678
2M19045932+5014326,3.302133
2M18472048+4409213,3.77294
2M19134816+4014431,2.632185
2M19310175+4325368,1.449601
2M19345587+4154030,
2M19352029+4237298,1.329437
2M18455585+4712289,1.400548
2M19180152+4522155,1.836762
2M19102533+4931237,0.663892
2M19280049+4147130,
