Star,Pressure,Temperature,Mass
2M19481670+4031304,10000,1328,16.6507
2M19040872+4936522,10000,1328,18.444518
2M18590868+4825236,,,
2M19441136+4244348,10000,1328,21.645746
2M19220642+3808347,10000,1328,19.859359
2M19342609+4211516,,,
2M19283191+4132511,,,
2M19313914+4103393,,,
2M19312961+4257580,10000,1328,23.192624
2M19491018+4958538,10000,1328,23.08468
2M19342205+4105425,10000,1328,33.83969
2M19342073+4255440,10000,1328,26.293612
2M19253263+4159249,10000,1328,20.822968
2M19052120+4844387,10000,1328,19.651804
2M18561431+4431052,,,
2M19284485+4143373,10000,1328,24.85159
2M19353364+4231408,,,
2M19284107+4054587,10000,1328,37.124833
2M19284793+4202459,10000,1328,26.525363
2M19405434+5033323,10000,1328,25.207302
2M19505021+4804508,10000,1328,23.967139
2M19174175+4643342,10000,1328,19.490283
2M19343286+4249298,10000,1328,22.345933
2M19364610+3937084,10000,1328,24.281127
2M19240775+4902249,10000,1470,51.829821
2M19063321+3929164,10000,1328,21.811568
2M19144528+4109042,10000,1328,21.784735
2M19262685+4206574,10000,1328,19.573789
2M19004979+4523036,10000,1328,19.6818
2M19340476+4116386,10000,1328,30.294087
2M19492496+4118001,10000,1328,21.296265
2M19325217+4243145,10000,1328,32.981634
2M19322220+4121198,10000,1328,24.514554
2M19562938+4152003,10000,1328,20.121041
2M19202447+4815040,10000,1328,24.330575
2M19394766+4626191,10000,1328,21.123787
Sun,10000,1328,20.333966
2M19353074+4139423,,,
2M19542140+4045024,10000,1328,21.513108
2M19331737+4252028,10000,1328,22.89618
2M19394922+4408593,10000,1328,18.792359
2M19415676+5100486,10000,1328,27.310684
2M19004386+4349519,,,
2M19010446+4833360,10000,1328,16.841533
2M19004559+4601406,10000,1328,20.791529
2M19370743+4217274,10000,1328,17.753498
2M19285614+4134307,10000,1328,25.228998
2M19274845+4304289,10000,1328,18.463101
2M19254047+3907387,10000,1328,20.744111
2M19344207+4117432,,,
2M18561467+4530246,10000,1328,18.466345
2M19295476+4208322,10000,1328,21.992642
2M19255247+4020378,10000,1328,21.762816
2M19155629+4003522,10000,1328,19.42602
2M19263232+4150019,,,
2M19294569+4312339,10000,1328,24.460105
2M19140739+4056322,10000,1328,19.287099
2M19571668+4123047,10000,1328,21.391624
2M19233947+4217116,10000,1328,16.608029
2M19510878+4753100,10000,1328,20.026583
2M19162065+4133465,10000,1328,21.538564
2M19253372+4210501,10000,1328,23.189515
2M19310830+4312575,10000,1328,18.286253
2M19384178+4204321,10000,1328,17.298977
2M19290877+4204208,,,
2M19254039+3840204,10000,1328,19.355024
2M19342430+4222471,10000,1328,29.704085
2M19421779+4248231,10000,1328,20.814756
2M19294013+4125007,10000,1328,22.903877
2M19351783+4246469,,,
2M19344300+4651099,10000,1328,19.033069
2M18523616+4508233,10000,1328,18.250138
2M18575579+4423529,10000,1328,19.998512
2M19322256+4253471,10000,1328,18.276303
2M18473976+4246318,10000,1328,19.890435
2M19282524+4222491,10000,1328,34.022034
2M19300081+4304593,10000,1328,20.876991
2M19283906+4101236,10000,1328,21.642597
2M19092707+3838585,10000,1328,20.15309
2M19275056+4225588,10000,1328,22.72897
2M19443187+4858386,10000,1328,21.980477
2M18585736+4935542,10000,1328,16.368109
2M19455215+4235555,,,
2M19260389+4214535,,,
2M19383520+4153027,10000,1328,32.240458
2M19071403+4918590,10000,1328,21.218203
2M19165219+4753040,10000,1328,19.815707
2M19351595+4212449,10000,1328,36.764057
2M19432625+4756222,10000,1328,18.075759
2M19214099+3751064,10000,1328,20.835826
2M19095484+3813438,10000,1328,18.850841
2M19293325+4213597,10000,1328,17.047475
2M19223006+4452262,,,
2M19331205+4131240,10000,1328,28.119106
2M19330298+4121544,10000,1328,21.34754
2M19263381+4114277,10000,1328,25.577909
2M19360227+4252507,10000,1328,20.078214
2M19103720+3914394,,,
2M19263090+4112309,,,
2M19480452+5024323,10000,1328,22.288172
2M19092683+3842505,10000,1328,21.483323
2M19322962+4056051,10000,1328,25.73763
2M19024305+5014286,,,
2M18444674+4729496,10000,1328,24.00123
2M19315309+4102087,10000,1328,18.206542
2M19244068+4238269,10000,1328,30.470874
2M19104752+4220194,10000,1328,21.382821
2M19283288+4225459,10000,1328,22.447315
2M19011470+4750549,10000,1328,21.377087
2M19290865+4054489,10000,1328,23.044643
2M19022767+5008087,,,
2M18495813+4358487,10000,1328,22.13333
2M19345452+4248243,,,
2M19324327+4137039,10000,1328,17.066917
2M19045932+5014326,10000,1328,29.317164
2M18472048+4409213,10000,1328,19.330186
2M19134816+4014431,10000,1328,19.830916
2M19310175+4325368,10000,1328,22.441263
2M19345587+4154030,,,
2M19352029+4237298,10000,1328,27.700876
2M18455585+4712289,10000,1328,17.570541
2M19180152+4522155,10000,1328,20.983642
2M19102533+4931237,10000,1328,19.438918
2M19280049+4147130,,,
